iteracoes: 32, count: 0
iteracoes: 64, count: 63
iteracoes: 128, count: 210
iteracoes: 256, count: 486
iteracoes: 512, count: 946
iteracoes: 1024, count: 1656
iteracoes: 2048, count: 2691
iteracoes: 4096, count: 3911
iteracoes: 8192, count: 5381
iteracoes: 16384, count: 7101
iteracoes: 32768, count: 9071
iteracoes: 65536, count: 11291
iteracoes: 131072, count: 13761
iteracoes: 262144, count: 16481
iteracoes: 524288, count: 19451
iteracoes: 1048576, count: 22671
iteracoes: 2097152, count: 26099
iteracoes: 4194304, count: 29679
iteracoes: 8388608, count: 33339
iteracoes: 16777216, count: 36989
iteracoes: 33554432, count: 40519
iteracoes: 67108864, count: 43799
iteracoes: 134217728, count: 46829
