gx,gy,gz,bx,by,bz,smefficiency
2,2,4,8,1,32,10.72
8,16,1,32,1,1,18.16
1,2,8,4,2,32,10.55
1,1,64,8,1,8,10.55
4,4,8,1,16,2,18.22
1,16,8,2,1,16,18.32
16,1,1,8,32,1,10.51
8,1,8,8,8,1,11.62
4,8,4,1,4,8,18.22
4,32,1,2,4,4,18.22
4,2,2,8,2,16,10.75
8,4,4,16,1,2,18.39
4,2,2,128,1,2,10.71
2,64,1,2,4,4,18.24
8,1,8,1,1,64,10.54
32,2,2,8,1,4,18.38
16,2,4,4,4,2,18.41
32,1,4,2,2,8,19.29
8,1,16,4,1,8,18.36
2,4,4,64,2,1,10.57
4,1,2,8,4,16,9.69
2,1,32,32,1,2,10.75
64,2,1,4,8,1,18.31
4,4,1,1,4,64,12.61
2,16,4,2,16,1,18.23
1,2,2,64,16,1,8.67
4,4,1,1,32,8,10.43
8,8,2,16,1,2,18.38
2,4,1,1,16,32,9.8
4,4,1,1,64,4,10.44
32,1,1,2,64,1,10.52
1,1,8,128,1,4,9.62
1,16,1,8,4,8,10.57
2,8,4,4,1,16,10.75
1,16,1,1,64,4,10.52
16,4,2,16,1,2,18.36
32,1,1,8,2,8,10.72
1,8,2,1,32,8,10.53
2,2,8,16,1,8,10.73
4,1,4,1,4,64,10.55
2,2,2,16,1,32,9.73
16,1,4,8,2,4,10.68
8,8,1,1,32,2,10.61
2,64,1,1,8,4,19.72
8,1,4,4,32,1,10.65
2,1,4,2,8,32,9.69
1,8,2,8,8,4,10.56
1,2,32,2,1,32,10.67
4,2,1,16,2,16,9.65
16,1,8,4,2,4,18.31
4,8,2,64,1,1,10.58
8,4,2,16,4,1,10.57
8,2,4,16,4,1,10.58
4,4,1,1,256,1,10.53
2,1,32,8,2,4,10.68
64,1,1,2,32,1,10.53
1,1,16,2,16,8,10.56
1,1,32,64,1,2,10.54
1,4,1,1,16,64,8.66
4,4,1,16,4,4,10.55
8,4,1,8,1,16,10.53
8,2,2,16,2,4,10.77
8,1,8,1,2,32,10.55
1,64,2,2,1,16,18.3
8,1,1,1,256,2,9.6
8,2,2,16,1,8,10.72
8,4,2,4,16,1,10.58
4,2,2,1,16,16,10.54
128,1,1,1,8,4,18.17
1,4,4,4,4,16,10.56
2,8,1,4,8,8,10.56
1,32,4,16,1,2,18.32
