gx,gy,gz,bx,by,bz,gpuId,smefficiency   
1,1,128,32,1,1,0,18.16 
1,2,64,32,1,1,0,18.17 
1,4,32,32,1,1,0,18.17 
1,8,16,32,1,1,0,18.17 
1,16,8,32,1,1,0,18.21 
1,32,4,32,1,1,0,18.16 
1,64,2,32,1,1,0,18.15 
1,128,1,32,1,1,0,18.19 
2,1,64,32,1,1,0,18.26 
2,2,32,32,1,1,0,18.23 
2,4,16,32,1,1,0,18.24 
2,8,8,32,1,1,0,18.23 
2,16,4,32,1,1,0,18.22 
2,32,2,32,1,1,0,18.21 
2,64,1,32,1,1,0,18.16 
4,1,32,32,1,1,0,18.26 
4,2,16,32,1,1,0,18.23 
4,4,8,32,1,1,0,18.2 
4,8,4,32,1,1,0,18.22 
4,16,2,32,1,1,0,18.21 
4,32,1,32,1,1,0,18.16 
8,1,16,32,1,1,0,18.27 
8,2,8,32,1,1,0,18.21 
8,4,4,32,1,1,0,18.19 
8,8,2,32,1,1,0,18.22 
8,16,1,32,1,1,0,18.18 
16,1,8,32,1,1,0,18.26 
16,2,4,32,1,1,0,18.23 
16,4,2,32,1,1,0,18.23 
16,8,1,32,1,1,0,18.15 
32,1,4,32,1,1,0,18.25 
32,2,2,32,1,1,0,18.21 
32,4,1,32,1,1,0,18.15 
64,1,2,32,1,1,0,18.27 
64,2,1,32,1,1,0,18.15 
128,1,1,32,1,1,0,18.29 
1,1,64,64,1,1,0,10.5 
1,2,32,64,1,1,0,10.49 
1,4,16,64,1,1,0,10.5 
1,8,8,64,1,1,0,10.49 
1,16,4,64,1,1,0,10.5 
1,32,2,64,1,1,0,10.5 
1,64,1,64,1,1,0,10.53 
2,1,32,64,1,1,0,10.62 
2,2,16,64,1,1,0,10.57 
2,4,8,64,1,1,0,10.56 
2,8,4,64,1,1,0,10.56 
2,16,2,64,1,1,0,10.57 
2,32,1,64,1,1,0,10.51 
4,1,16,64,1,1,0,10.61 
4,2,8,64,1,1,0,10.56 
4,4,4,64,1,1,0,10.56 
4,8,2,64,1,1,0,10.57 
4,16,1,64,1,1,0,10.52 
8,1,8,64,1,1,0,10.61 
8,2,4,64,1,1,0,10.56 
8,4,2,64,1,1,0,10.56 
8,8,1,64,1,1,0,10.5 
16,1,4,64,1,1,0,10.62 
16,2,2,64,1,1,0,10.56 
16,4,1,64,1,1,0,10.51 
32,1,2,64,1,1,0,10.61 
32,2,1,64,1,1,0,10.5 
64,1,1,64,1,1,0,10.62 
1,1,32,128,1,1,0,10.49 
1,2,16,128,1,1,0,10.49 
1,4,8,128,1,1,0,10.47 
1,8,4,128,1,1,0,10.48 
1,16,2,128,1,1,0,10.48 
1,32,1,128,1,1,0,10.52 
2,1,16,128,1,1,0,10.59 
2,2,8,128,1,1,0,10.59 
2,4,4,128,1,1,0,10.53 
2,8,2,128,1,1,0,10.54 
2,16,1,128,1,1,0,10.5 
4,1,8,128,1,1,0,10.58 
4,2,4,128,1,1,0,10.54 
4,4,2,128,1,1,0,10.54 
4,8,1,128,1,1,0,10.5 
8,1,4,128,1,1,0,10.59 
8,2,2,128,1,1,0,10.59 
8,4,1,128,1,1,0,10.49 
16,1,2,128,1,1,0,10.59 
16,2,1,128,1,1,0,10.49 
32,1,1,128,1,1,0,10.59 
1,1,16,256,1,1,0,10.52 
1,2,8,256,1,1,0,10.46 
1,4,4,256,1,1,0,10.46 
1,8,2,256,1,1,0,10.46 
1,16,1,256,1,1,0,10.5 
2,1,8,256,1,1,0,10.59 
2,2,4,256,1,1,0,10.53 
2,4,2,256,1,1,0,10.54 
2,8,1,256,1,1,0,10.49 
4,1,4,256,1,1,0,10.6 
4,2,2,256,1,1,0,10.54 
4,4,1,256,1,1,0,10.48 
8,1,2,256,1,1,0,10.57 
8,2,1,256,1,1,0,10.47 
16,1,1,256,1,1,0,10.57 
1,1,8,512,1,1,0,9.59 
1,2,4,512,1,1,0,9.58 
1,4,2,512,1,1,0,9.58 
1,8,1,512,1,1,0,9.58 
2,1,4,512,1,1,0,9.62 
2,2,2,512,1,1,0,9.61 
2,4,1,512,1,1,0,9.58 
