Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 8,  32,  32,  2,  4,  4, 0 , 0.939256
 0, 64,  4,  2,  8,  16,  4, 0 , 0.621705
 0, 2,  1,  4096,  1,  16,  2, 0 , 0.948395
 0, 2048,  1,  2,  4,  8,  2, 0 , 0.911004
 0, 1,  4,  128,  32,  1,  16, 0 , 0.678064
 0, 16,  256,  2,  2,  2,  8, 0 , 0.939253
 0, 8,  128,  1,  2,  16,  8, 0 , 0.703307
 0, 2,  16,  16,  128,  2,  2, 0 , 0.62158
 0, 2,  4,  64,  8,  64,  1, 0 , 0.650359
 0, 4096,  1,  1,  2,  2,  16, 0 , 0.924348
 0, 8,  16,  2,  2,  256,  2, 0 , 0.622016
 0, 64,  1,  4,  2,  64,  8, 0 , 0.622333
 0, 16,  16,  8,  4,  2,  16, 0 , 0.83083
 0, 1,  1024,  8,  1,  2,  16, 0 , 0.948408
 0, 8,  32,  2,  128,  2,  2, 0 , 0.621201
 0, 2,  16,  16,  8,  8,  8, 0 , 0.620885
 0, 8,  4,  256,  1,  16,  2, 0 , 0.943817
 0, 16,  4,  16,  32,  2,  4, 0 , 0.703348
 0, 32,  32,  4,  4,  8,  2, 0 , 0.910961
 0, 1,  2,  2048,  2,  1,  32, 0 , 0.924325
 0, 256,  2,  1,  4,  32,  4, 0 , 0.621443
 0, 4,  2,  64,  16,  32,  1, 0 , 0.650529
 0, 4,  32,  8,  32,  4,  2, 0 , 0.703287
 0, 4,  256,  2,  32,  4,  1, 0 , 0.843959
 0, 2,  256,  8,  4,  1,  16, 0 , 0.917616
 0, 1024,  2,  1,  4,  1,  32, 0 , 0.856449
 0, 1,  4,  64,  32,  1,  32, 0 , 0.678275
 0, 16,  32,  4,  16,  1,  8, 0 , 0.844072
 0, 32,  16,  4,  2,  1,  64, 0 , 0.844131
 0, 4,  512,  2,  1,  4,  16, 0 , 0.917524
 0, 8,  128,  2,  8,  8,  2, 0 , 0.830791
 0, 4,  8,  16,  2,  128,  2, 0 , 0.621296
 0, 32,  32,  8,  2,  1,  16, 0 , 0.943837
 0, 8,  32,  16,  16,  2,  2, 0 , 0.91095
 0, 1,  8,  512,  64,  1,  1, 0 , 0.930931
 0, 4,  64,  32,  8,  4,  1, 0 , 0.943832
 0, 64,  8,  16,  1,  2,  16, 0 , 0.943807
 0, 16,  32,  16,  4,  8,  1, 0 , 0.943838
 0, 8,  256,  2,  4,  2,  8, 0 , 0.910928
 0, 128,  8,  2,  8,  8,  2, 0 , 0.830791
 0, 8,  32,  2,  32,  8,  2, 0 , 0.621257
 0, 8,  2,  64,  2,  16,  8, 0 , 0.703102
 0, 1,  8,  64,  8,  32,  2, 0 , 0.621353
 0, 2,  8,  512,  2,  16,  1, 0 , 0.943813
 0, 16,  16,  1,  4,  8,  32, 0 , 0.622653
 0, 2,  128,  8,  4,  16,  2, 0 , 0.830799
 0, 8,  32,  4,  4,  8,  8, 0 , 0.703097
 0, 4,  32,  32,  1,  64,  1, 0 , 0.924284
 0, 4,  128,  4,  32,  1,  4, 0 , 0.844058
 0, 4,  64,  1,  1,  64,  16, 0 , 0.758842
 0, 16,  16,  8,  64,  2,  1, 0 , 0.843825
 0, 4,  2,  512,  2,  4,  8, 0 , 0.910969
 0, 1,  8,  128,  128,  2,  1, 0 , 0.747872
 0, 1,  256,  16,  8,  4,  2, 0 , 0.910914
 0, 128,  4,  16,  16,  2,  1, 0 , 0.943829
 0, 1,  1,  2048,  2,  2,  32, 0 , 0.856343
 0, 2,  2,  64,  16,  32,  2, 0 , 0.621927
 0, 128,  1,  64,  2,  4,  4, 0 , 0.939309
 0, 2,  64,  8,  64,  2,  2, 0 , 0.703325
 0, 1,  128,  4,  128,  2,  2, 0 , 0.621135
 0, 8,  1,  64,  32,  2,  8, 0 , 0.622169
 0, 64,  4,  8,  2,  2,  32, 0 , 0.830825
 0, 8,  64,  4,  16,  1,  8, 0 , 0.844045
 0, 1024,  1,  1,  16,  4,  4, 0 , 0.74794
 0, 2,  4,  32,  32,  4,  8, 0 , 0.622336
 0, 1,  1,  4096,  16,  2,  2, 0 , 0.92426
 0, 16,  1,  16,  32,  8,  4, 0 , 0.622771
 0, 64,  32,  2,  1,  8,  8, 0 , 0.917492
 0, 16,  8,  4,  8,  32,  2, 0 , 0.621078
 0, 64,  1,  8,  64,  2,  4, 0 , 0.621873
 0, 256,  2,  8,  8,  2,  4, 0 , 0.910886
 0, 32,  4,  16,  4,  4,  8, 0 , 0.830862
 0, 1,  128,  8,  1,  16,  16, 0 , 0.74792
 0, 1,  512,  16,  2,  16,  1, 0 , 0.948391
 0, 8,  2,  512,  4,  8,  1, 0 , 0.943821
 0, 2,  1,  4096,  1,  2,  16, 0 , 0.948372
