Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  24,  6,  2,  4,  16, 0 , 0.874131 
 0, 96,  2,  1,  8,  24,  1, 0 , 0.779484 
 0, 4,  12,  2,  96,  4,  1, 0 , 0.785083 
 0, 12,  2,  4,  24,  1,  16, 0 , 0.78562 
 0, 3,  4,  4,  3,  8,  32, 0 , 0.802731 
 0, 1,  2,  36,  256,  1,  2, 0 , 0.777765 
 0, 3,  3,  8,  2,  64,  4, 0 , 0.776367 
 0, 8,  9,  4,  16,  8,  1, 0 , 0.874734 
 0, 4,  6,  8,  1,  8,  24, 0 , 0.785881 
 0, 8,  8,  3,  1,  48,  4, 0 , 0.786248 
 0, 8,  4,  3,  1,  384,  1, 0 , 0.786225 
 0, 1,  1,  96,  32,  2,  6, 0 , 0.785512 
 0, 1,  72,  8,  64,  1,  1, 0 , 0.937261 
 0, 1,  2,  72,  2,  4,  32, 0 , 0.776435 
 0, 9,  4,  4,  8,  32,  1, 0 , 0.777012 
 0, 16,  72,  1,  16,  2,  1, 0 , 0.972397 
 0, 4,  18,  2,  32,  1,  8, 0 , 0.776569 
 0, 6,  6,  4,  64,  1,  4, 0 , 0.776855 
 0, 1,  24,  16,  1,  48,  2, 0 , 0.892782 
 0, 1,  2,  64,  72,  1,  4, 0 , 0.779801 
 0, 2,  9,  64,  1,  1,  32, 0 , 0.972212 
 0, 2,  2,  12,  12,  64,  1, 0 , 0.804246 
 0, 36,  8,  1,  2,  8,  8, 0 , 0.874026 
 0, 2,  6,  24,  8,  8,  2, 0 , 0.874268 
 0, 96,  1,  1,  6,  64,  1, 0 , 0.785388 
 0, 36,  2,  1,  1,  32,  16, 0 , 0.678856 
 0, 3,  12,  32,  2,  4,  4, 0 , 0.971689 
 0, 4,  2,  16,  12,  4,  6, 0 , 0.778889 
 0, 24,  12,  1,  64,  1,  2, 0 , 0.875106 
 0, 2,  8,  9,  256,  1,  1, 0 , 0.777009 
 0, 1,  64,  1,  2,  32,  9, 0 , 0.798405 
 0, 24,  2,  3,  1,  256,  1, 0 , 0.776624 
 0, 8,  4,  2,  32,  1,  18, 0 , 0.796576 
 0, 12,  8,  4,  4,  4,  6, 0 , 0.890116 
 0, 12,  24,  2,  1,  2,  32, 0 , 0.937319 
 0, 2,  12,  16,  16,  1,  6, 0 , 0.890991 
 0, 2,  3,  12,  16,  2,  16, 0 , 0.776464 
 0, 1,  3,  16,  96,  1,  8, 0 , 0.804496 
 0, 1,  12,  4,  2,  8,  48, 0 , 0.803249 
 0, 2,  1,  36,  64,  8,  1, 0 , 0.777712 
 0, 6,  2,  4,  64,  3,  4, 0 , 0.80127 
 0, 6,  2,  24,  8,  16,  1, 0 , 0.874957 
 0, 96,  2,  3,  8,  8,  1, 0 , 0.937296 
 0, 18,  64,  1,  1,  16,  2, 0 , 0.96521 
 0, 1,  6,  16,  8,  1,  48, 0 , 0.786303 
 0, 2,  4,  8,  6,  4,  24, 0 , 0.793348 
 0, 8,  4,  3,  3,  2,  64, 0 , 0.785017 
 0, 32,  6,  2,  12,  4,  2, 0 , 0.890266 
 0, 2,  36,  16,  2,  16,  1, 0 , 0.972276 
 0, 4,  16,  1,  48,  1,  12, 0 , 0.798384 
 0, 192,  2,  3,  2,  4,  4, 0 , 0.971684 
 0, 2,  8,  9,  1,  64,  4, 0 , 0.775535 
 0, 9,  2,  64,  1,  1,  32, 0 , 0.972217 
 0, 1,  288,  1,  16,  2,  4, 0 , 0.874639 
 0, 1,  64,  1,  96,  6,  1, 0 , 0.798147 
 0, 1,  6,  24,  1,  8,  32, 0 , 0.777013 
 0, 16,  3,  2,  8,  4,  12, 0 , 0.785415 
 0, 4,  12,  4,  6,  1,  32, 0 , 0.784169 
 0, 2,  1,  72,  16,  1,  16, 0 , 0.777135 
 0, 4,  8,  18,  1,  4,  16, 0 , 0.937365 
 0, 1,  12,  16,  1,  96,  2, 0 , 0.786382 
 0, 6,  24,  8,  1,  2,  16, 0 , 0.972372 
 0, 12,  4,  2,  64,  2,  3, 0 , 0.784907 
 0, 1,  1,  288,  1,  16,  8, 0 , 0.874856 
 0, 6,  2,  48,  2,  32,  1, 0 , 0.937215 
 0, 32,  1,  12,  6,  2,  8, 0 , 0.891855 
 0, 36,  1,  32,  2,  2,  8, 0 , 0.972071 
 0, 16,  36,  1,  16,  4,  1, 0 , 0.936077 
 0, 2,  24,  3,  2,  8,  16, 0 , 0.776819 
 0, 1,  144,  8,  16,  2,  1, 0 , 0.972499 
 0, 32,  6,  6,  32,  1,  1, 0 , 0.972563 
 0, 8,  1,  8,  4,  6,  24, 0 , 0.795334 
 0, 1,  3,  24,  128,  4,  1, 0 , 0.777379 
 0, 1,  4,  36,  8,  16,  2, 0 , 0.776303 
 0, 1,  36,  1,  32,  2,  16, 0 , 0.77542 
 0, 3,  2,  64,  3,  8,  4, 0 , 0.890257 
 0, 1,  64,  2,  32,  3,  3, 0 , 0.777228 
 0, 8,  3,  3,  512,  1,  1, 0 , 0.777501 
 0, 3,  64,  1,  2,  2,  48, 0 , 0.786025 
 0, 1,  4,  16,  3,  32,  6, 0 , 0.795127 
 0, 9,  2,  32,  1,  1,  64, 0 , 0.936533 
 0, 4,  3,  8,  1,  96,  4, 0 , 0.785675 
 0, 1,  12,  4,  1,  384,  2, 0 , 0.804308 
 0, 2,  9,  2,  512,  1,  2, 0 , 0.776187 
 0, 2,  8,  24,  32,  3,  1, 0 , 0.892583 
 0, 18,  2,  2,  64,  1,  8, 0 , 0.777346 
 0, 8,  8,  2,  2,  16,  9, 0 , 0.779315 
 0, 96,  2,  2,  2,  1,  48, 0 , 0.891036 
 0, 2,  48,  4,  24,  4,  1, 0 , 0.892418 
 0, 8,  4,  2,  4,  24,  6, 0 , 0.792285 
 0, 48,  2,  4,  1,  8,  12, 0 , 0.892495 
 0, 4,  2,  8,  16,  9,  4, 0 , 0.793977 
 0, 4,  1,  48,  4,  48,  1, 0 , 0.785696 
 0, 1,  3,  128,  1,  24,  4, 0 , 0.892724 
 0, 3,  32,  2,  3,  16,  4, 0 , 0.785351 
 0, 12,  32,  1,  2,  12,  4, 0 , 0.892102 
 0, 2,  1,  96,  96,  2,  1, 0 , 0.785657 
 0, 6,  4,  16,  24,  1,  4, 0 , 0.890928 
 0, 1,  48,  1,  12,  1,  64, 0 , 0.806139 
 0, 16,  4,  3,  1,  32,  6, 0 , 0.78616 
 0, 8,  2,  4,  144,  1,  4, 0 , 0.795934 
 0, 4,  9,  4,  32,  2,  4, 0 , 0.7766 
 0, 1,  16,  8,  6,  3,  16, 0 , 0.778869 
 0, 24,  1,  4,  6,  32,  2, 0 , 0.785276 
 0, 6,  1,  8,  64,  4,  3, 0 , 0.803426 
 0, 16,  3,  1,  3,  256,  1, 0 , 0.797011 
 0, 8,  12,  4,  3,  1,  32, 0 , 0.890925 
 0, 2,  32,  1,  2,  6,  48, 0 , 0.796881 
 0, 12,  4,  2,  48,  2,  4, 0 , 0.785885 
 0, 1,  192,  1,  12,  1,  16, 0 , 0.786274 
 0, 1,  6,  48,  1,  16,  8, 0 , 0.874761 
 0, 4,  16,  2,  6,  4,  12, 0 , 0.778812 
 0, 1,  1,  64,  1,  288,  2, 0 , 0.798506 
 0, 6,  8,  6,  32,  1,  4, 0 , 0.874374 
 0, 12,  6,  2,  32,  8,  1, 0 , 0.776395 
 0, 12,  48,  1,  2,  32,  1, 0 , 0.936206 
 0, 1,  36,  8,  4,  1,  32, 0 , 0.875065 
 0, 12,  2,  2,  1,  128,  6, 0 , 0.804685 
 0, 3,  32,  4,  2,  24,  2, 0 , 0.890184 
 0, 6,  12,  16,  4,  1,  8, 0 , 0.972005 
 0, 1,  9,  32,  2,  1,  64, 0 , 0.875254 
 0, 8,  18,  2,  32,  1,  4, 0 , 0.874354 
 0, 3,  128,  1,  1,  48,  2, 0 , 0.892814 
 0, 2,  16,  6,  192,  1,  1, 0 , 0.785718 
