gx,gy,gz,bx,by,bz,smefficiency
4,1,64,2,32,16,10.26
16,2,256,4,4,2,98.71
32,16,2,16,1,16,19.1
2,8,512,8,1,4,98.74
1024,2,1,8,8,2,35.18
1,32,64,8,1,16,35.16
1,32,32,2,4,32,19.15
4,16,8,256,2,1,10.19
4,64,8,8,2,8,35.16
2048,2,1,4,1,16,67.26
16,8,4,16,8,4,10.21
8,2,16,128,8,1,10.21
128,4,2,1,4,64,19.05
2,1024,4,8,1,4,98.85
1,128,2,32,32,1,10.2
128,2,2,4,4,32,10.21
2,128,8,4,1,32,35.19
32,2,32,32,4,1,35.12
16,16,1,2,16,32,10.25
1,32,32,4,16,4,19.13
2,2,512,16,1,8,35.18
64,2,64,8,1,4,98.65
16,256,1,1,16,4,67.62
1024,2,2,2,8,4,67.26
256,8,1,2,8,8,35.21
32,1,64,8,2,8,35.2
8,32,32,4,4,2,98.82
1,1,2048,8,8,2,35.11
2048,1,2,2,16,2,67.3
16,8,16,2,4,16,35.21
2,128,1,2,64,8,10.24
1,1,8192,4,1,8,98.84
4,4,32,16,32,1,10.19
512,4,2,32,1,2,67.23
1,512,1,32,1,16,10.2
256,1,1,4,256,1,10.2
2,2,64,2,8,64,10.23
1,1,2048,2,4,16,35.1
4,4,16,4,4,64,10.22
2,1,1024,32,2,2,35.23
4,32,8,4,1,64,19.07
16,512,1,1,16,2,98.17
4,32,16,1,2,64,35.15
2,4,32,32,4,8,10.22
128,2,32,4,1,8,98.84
32,1,16,64,1,8,10.22
32,2,64,2,32,1,67.24
256,1,4,4,64,1,19.09
16,8,2,512,2,1,10.21
512,2,4,4,16,1,67.31
16,2,64,2,16,4,35.17
16,1,32,16,2,16,10.23
4,1024,1,1,4,16,67.79
1,32,8,1,64,16,10.2
16,4,4,4,8,32,10.23
16,4,128,4,8,1,98.87
512,2,1,2,4,32,19.08
128,16,4,1,2,16,98.83
1,32,64,2,2,32,35.25
1,4,512,4,4,8,35.23
4,256,2,4,2,16,35.2
2,8,512,1,32,1,98.85
16,16,2,512,1,1,10.19
4,16,32,4,16,2,35.17
1,512,8,2,32,1,67.21
32,32,4,1,1,64,67.19
32,2,4,128,8,1,10.22
512,16,1,1,2,16,98.32
2,32,32,2,64,1,35.16
16,1,256,16,2,2,67.32
1,16,256,1,8,8,67.26
64,64,2,2,8,2,98.84
2,128,8,1,16,8,35.15
8,4,8,4,8,32,10.23
1,4096,2,8,2,2,98.76
2,16,128,1,16,4,67.26
32,8,32,2,2,8,98.79
16,64,4,2,1,32,67.22
16,2,8,256,4,1,10.2
