Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 2,  10,  40,  4,  32,  1, 1,67.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 10,  1,  10,  4,  64,  4, 1,75.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 40,  80,  1,  1,  1,  32, 1,51.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 32,  1,  4,  200,  2,  2, 1,75.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 8,  2,  8,  40,  2,  10, 1,75.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 80,  2,  1,  10,  64,  1, 1,59.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 1,  5,  20,  16,  64,  1, 1,59.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 20,  5,  16,  1,  4,  16, 1,67.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 32,  20,  1,  2,  80,  1, 1,59.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 16,  4,  10,  40,  4,  1, 1,67.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 20,  16,  1,  32,  2,  5, 1,75.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 50,  2,  4,  2,  16,  8, 1,75.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 32,  5,  2,  80,  1,  4, 1,67.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 2,  160,  10,  1,  16,  2, 1,67.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 2,  16,  4,  50,  8,  2, 1,75.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 16,  2,  5,  2,  80,  4, 1,75.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 2,  40,  20,  16,  4,  1, 1,67.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 1,  50,  8,  16,  16,  1, 1,59.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 16,  8,  1,  16,  5,  10, 1,75.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 4,  4,  40,  1,  20,  8, 1,67.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 1,  16,  40,  10,  16,  1, 1,59.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 1,  4,  100,  4,  32,  2, 1,75.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 25,  2,  32,  8,  4,  2, 1,75.403125
Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp 
 0, 25,  1,  16,  2,  8,  16, 1,75.403125
