Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 1,  100,  4,  4,  4,  16, 0 , 0.403285
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 20,  4,  40,  16,  1,  2, 0 , 0.163036
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 16,  50,  2,  1,  16,  4, 0 , 0.239783
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 2,  8,  8,  5,  4,  40, 0 , 0.467675
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 20,  4,  10,  4,  32,  1, 0 , 0.338162
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 5,  5,  4,  64,  16,  1, 0 , 0.41643
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 2,  1,  64,  2,  10,  40, 0 , 0.467078
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 2,  16,  5,  32,  4,  5, 0 , 0.464968
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 32,  20,  1,  1,  40,  4, 0 , 0.395207
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 8,  20,  2,  40,  8,  1, 0 , 0.415538
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 32,  20,  1,  5,  8,  4, 0 , 0.45917
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 4,  16,  2,  1,  20,  40, 0 , 0.417913
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 4,  40,  1,  4,  160,  1, 0 , 0.367102
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 1,  2,  100,  64,  4,  2, 0 , 0.463526
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 4,  1,  200,  4,  16,  2, 0 , 0.371054
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 4,  80,  2,  40,  1,  4, 0 , 0.411592
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 40,  2,  4,  16,  2,  10, 0 , 0.464701
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 4,  800,  1,  2,  2,  8, 0 , 0.182095
Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc 
 0, 2,  5,  64,  8,  20,  1, 0 , 0.408224
