Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
0,8,32,16,16,2,2,0,0.253049
0,4,4,256,4,16,1,0,0.226291
0,128,1,16,1,64,2,0,0.297717
0,4,64,1,8,4,32,0,0.465311
0,1,1,256,4,8,32,0,0.370601
0,2,512,8,4,2,4,0,0.149675
0,2,64,4,8,16,4,0,0.46747
0,2,4,128,16,16,1,0,0.417188
0,32,1,64,128,1,1,0,0.259966
0,4,128,8,8,4,2,0,0.25266
0,4,256,4,4,2,8,0,0.253518
0,64,1,8,4,8,16,0,0.465186
0,2,16,8,256,1,4,0,0.420774
0,32,1,8,16,32,2,0,0.468561
0,4,8,8,128,2,4,0,0.469772
0,8,512,1,2,4,8,0,0.253248
0,2,512,1,16,8,2,0,0.462508
0,32,16,4,16,2,4,0,0.37868
0,2,2,2048,2,4,4,0,0.149653
0,16,4,32,8,4,4,0,0.380683
0,1,32,32,2,128,1,0,0.367395
0,1,32,8,4,32,8,0,0.469604
0,8,64,4,4,1,32,0,0.340036
0,4,1,1024,1,32,2,0,0.200914
0,1,256,2,4,128,1,0,0.368211
0,2,16,16,32,4,4,0,0.467349
0,128,4,1,4,64,2,0,0.463968
0,512,1,1,8,4,16,0,0.368533
0,8,1,64,2,4,64,0,0.463135
0,256,1,1,64,8,2,0,0.370305
0,64,32,4,1,2,16,0,0.133586
0,16,16,16,2,8,4,0,0.254021
0,8,1,32,16,8,8,0,0.466937
0,4,128,8,8,2,4,0,0.254961
0,128,1,64,4,1,8,0,0.117072
0,512,1,2,64,4,1,0,0.36771
0,2,8,16,32,1,32,0,0.420004
0,64,8,2,64,1,4,0,0.417106
0,8,16,8,16,2,8,0,0.466206
0,16,256,2,1,1,32,0,0.117219
0,1024,1,8,2,4,4,0,0.149461
0,256,1,8,4,8,4,0,0.380647
0,1,64,16,128,1,2,0,0.367397
0,2,16,64,128,1,1,0,0.299308
0,4,32,2,64,4,4,0,0.469348
0,4,4,16,2,32,16,0,0.469699
0,256,4,8,32,1,1,0,0.117672
0,1,16,32,4,8,16,0,0.467583
0,8,128,2,16,2,4,0,0.379987
0,1,128,32,4,16,1,0,0.201469
0,8,8,4,8,4,32,0,0.469585
0,4,2,64,128,2,2,0,0.467435
0,4,128,2,16,2,8,0,0.466313
0,4,64,16,8,4,2,0,0.254511
0,4,32,16,2,16,4,0,0.380542
0,2,2,64,32,16,2,0,0.469988
0,4,4,64,8,32,1,0,0.417158
0,32,32,8,2,1,16,0,0.133159
0,2,128,1,1,32,32,0,0.301341
0,2,256,16,2,1,16,0,0.133105
0,1,1,256,32,16,2,0,0.36983
0,8,4,8,4,256,1,0,0.419426
0,2,128,4,4,8,8,0,0.465674
0,8,2,256,2,2,16,0,0.253919
0,16,64,4,4,8,2,0,0.253168
0,2,256,4,2,1,64,0,0.338952
0,1,8,128,64,1,4,0,0.367012
0,4,1,128,1,128,4,0,0.368998
0,1,128,4,1,32,16,0,0.366754
0,2,2,2048,1,32,1,0,0.117445
0,2,16,128,1,8,8,0,0.227026
0,2,64,16,1,8,16,0,0.340278
0,4,8,256,2,1,16,0,0.133645
0,16,32,2,64,2,2,0,0.466717
0,32,64,2,4,4,4,0,0.253623
0,1,1024,2,8,4,4,0,0.381723
0,256,4,1,4,4,16,0,0.463131
0,512,1,2,2,2,64,0,0.465048
0,64,4,1,1,16,64,0,0.345568
0,16,16,1,1,16,64,0,0.345303
0,32,128,1,2,32,1,0,0.200345
0,1,128,8,8,2,16,0,0.467116
0,512,2,2,1,16,8,0,0.338803
0,64,16,8,4,2,4,0,0.14926
0,4,4,256,1,1,64,0,0.199915
0,16,4,16,16,2,8,0,0.464862
0,8,128,8,8,2,2,0,0.149357
0,16,1,16,32,32,1,0,0.370248
0,128,1,4,128,4,1,0,0.368109
0,32,128,1,1,64,1,0,0.174134
0,4,32,2,1,64,16,0,0.420111
0,4,256,8,2,8,2,0,0.149386
0,4,512,4,1,1,32,0,0.117065
0,16,1,256,2,16,2,0,0.254613
0,16,2,16,2,4,64,0,0.467632
0,8,32,8,16,4,2,0,0.380937
0,16,8,32,4,16,1,0,0.224778
0,4,8,64,2,16,4,0,0.381251
0,2,4,128,2,2,64,0,0.466149
0,8,16,2,16,1,64,0,0.419399
0,2,128,4,2,4,32,0,0.466313
0,2048,4,1,4,2,4,0,0.14884
0,4,16,16,16,4,4,0,0.466274
0,4,256,8,1,1,32,0,0.117646
0,1,512,16,4,4,2,0,0.149405
0,1,256,2,128,4,1,0,0.367141
0,1,2,4096,1,8,4,0,0.117421
0,16,128,4,2,2,8,0,0.149838
0,2,64,32,16,2,2,0,0.254642
0,256,2,1,64,1,8,0,0.368259
0,4,16,4,256,2,2,0,0.469747
0,16,4,8,8,64,1,0,0.418283
0,8,512,2,2,4,4,0,0.149575
0,1,4,512,4,4,8,0,0.382779
0,64,4,2,1,32,16,0,0.418212
0,1,32,64,2,32,2,0,0.380246
0,512,1,1,4,64,2,0,0.368503
0,64,8,2,2,16,8,0,0.465923
0,4,32,4,64,1,8,0,0.418149
0,1,64,16,8,32,1,0,0.36756
0,128,1,8,16,16,1,0,0.367817
0,1024,2,1,2,16,4,0,0.380334
0,128,2,1,4,4,64,0,0.467141
0,64,8,4,32,4,1,0,0.340468
0,8,16,8,8,1,32,0,0.417661
0,32,32,2,16,2,4,0,0.379533
0,64,1,128,16,1,2,0,0.116852
0,4,2,32,128,8,1,0,0.419811
0,2048,2,2,1,2,16,0,0.1338
0,1,32,128,4,8,2,0,0.254185
0,128,1,8,16,1,16,0,0.367545
0,1,2,2048,2,32,1,0,0.199133
0,4,1,64,2,64,8,0,0.466387
0,2,128,4,1,16,16,0,0.416911
0,1,128,8,1,4,64,0,0.366922
0,2,512,8,2,16,1,0,0.133769
0,2,2,128,32,2,8,0,0.467496
0,4,32,64,8,1,4,0,0.13352
0,32,4,4,1,64,8,0,0.417981
0,128,2,1,64,1,16,0,0.368939
0,2,16,128,8,1,8,0,0.226572
0,256,2,4,64,2,1,0,0.338806
0,4,16,4,32,32,1,0,0.420373
0,128,1,8,128,1,2,0,0.367416
0,8,8,16,64,2,2,0,0.466072
0,8,32,8,4,2,16,0,0.380416
0,4,64,8,2,64,1,0,0.3389
0,8,32,8,4,32,1,0,0.340174
0,256,4,4,2,32,1,0,0.225922
0,16,8,8,32,8,1,0,0.415986
0,2,64,16,16,8,1,0,0.339821
0,64,16,2,1,128,1,0,0.300746
0,4,256,1,16,16,1,0,0.367878
0,1,1,8192,8,4,1,0,0.101952
0,64,16,1,1,64,4,0,0.404363
0,2,32,64,2,2,16,0,0.253747
0,4,64,8,4,4,8,0,0.380237
0,256,1,4,4,8,8,0,0.464393
0,16,1,128,16,2,4,0,0.378758
0,4,4,16,8,4,32,0,0.470546
0,4,32,2,1,512,2,0,0.419933
0,1,16,256,1,32,2,0,0.199619
0,2,64,4,2,16,16,0,0.46757
0,512,2,1,64,2,2,0,0.462742
0,8,4,32,32,4,2,0,0.466277
0,4,8,64,1,16,8,0,0.339331
0,1,4,128,1,256,2,0,0.366599
0,16,8,4,8,64,1,0,0.417983
0,4,1,2048,8,1,4,0,0.117747
0,8,2,256,4,4,4,0,0.254466
0,256,2,16,1,2,16,0,0.133619
0,32,1,16,4,2,64,0,0.465677
0,1024,4,2,2,2,8,0,0.149631
0,1,512,1,1,8,64,0,0.318157
0,256,2,16,32,1,1,0,0.118003
0,2,32,8,2,256,1,0,0.417741
0,16,256,1,1,16,4,0,0.249788
0,1,32,256,16,2,1,0,0.117999
0,32,1,64,2,2,32,0,0.378068
0,16,16,1,1,32,32,0,0.30135
0,1,2,2048,16,2,2,0,0.253716
0,16,2,64,1,32,4,0,0.339683
0,64,2,8,4,8,8,0,0.466082
0,2,8,256,4,1,16,0,0.227469
0,4,8,256,16,2,1,0,0.133364
0,4,16,8,64,1,8,0,0.417691
0,1,4,128,1,512,1,0,0.318891
0,2,32,32,4,1,32,0,0.341437
0,32,128,2,8,4,1,0,0.133379
0,2,2048,2,1,16,2,0,0.133639
0,4096,1,1,64,1,1,0,0.145988
0,64,16,2,128,1,1,0,0.298925
0,256,1,2,32,2,8,0,0.464825
0,16,4,32,32,1,4,0,0.341184
0,2048,2,2,8,2,2,0,0.149857
0,1,64,4,16,8,8,0,0.470416
0,8,1,128,256,1,1,0,0.320367
0,4,32,4,8,2,32,0,0.467616
0,8,32,1,64,4,4,0,0.467204
0,256,2,4,1,8,16,0,0.340433
0,4,256,8,1,16,2,0,0.133826
0,8,64,1,16,16,2,0,0.462639
0,8,4,8,4,32,8,0,0.469658
0,1,256,1,16,1,64,0,0.320165
0,64,16,2,32,4,1,0,0.33918
0,32,16,4,2,64,1,0,0.337219
0,16,16,16,32,2,1,0,0.227128
0,32,1,32,4,8,8,0,0.464639
0,8,2,32,4,32,4,0,0.467447
0,256,16,1,1,1,64,0,0.173785
0,2,256,1,256,1,2,0,0.368212
0,4,1,256,2,8,16,0,0.463492
0,2,1024,2,16,2,2,0,0.252479
