Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 48,  2,  3,  8,  18,  2, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 12,  24,  1,  16,  9,  2, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 9,  12,  4,  24,  2,  4, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 108,  2,  2,  192,  1,  1, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 3,  108,  1,  8,  4,  8, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 6,  1,  72,  24,  1,  8, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 108,  6,  4,  1,  16,  2, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 3,  12,  4,  12,  1,  48, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 6,  3,  16,  1,  72,  4, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 1,  16,  18,  12,  4,  6, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 1,  3,  27,  256,  2,  2, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 2,  72,  1,  72,  1,  8, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 8,  3,  36,  12,  1,  8, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 2,  16,  3,  6,  144,  1, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 1,  216,  6,  16,  4,  1, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 2,  24,  3,  2,  96,  3, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 8,  4,  3,  36,  12,  2, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 3,  4,  54,  1,  2,  64, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 3,  12,  8,  4,  2,  36, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 4,  324,  1,  1,  16,  4, 1,6.69
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 1,  81,  2,  64,  2,  4, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 18,  8,  2,  6,  1,  48, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 12,  12,  1,  36,  1,  16, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 4,  9,  24,  12,  1,  8, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 3,  54,  1,  16,  32,  1, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 1,  27,  3,  8,  64,  2, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 9,  18,  4,  8,  8,  2, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 3,  2,  16,  48,  18,  1, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 6,  12,  12,  1,  12,  8, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 27,  4,  2,  3,  2,  64, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 6,  16,  1,  32,  3,  9, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 1,  9,  24,  64,  6,  1, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 1,  18,  8,  16,  1,  36, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 4,  4,  18,  4,  24,  3, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 4,  12,  6,  2,  24,  6, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 27,  1,  16,  64,  3,  1, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 6,  4,  6,  3,  4,  48, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 4,  4,  18,  24,  2,  6, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 3,  72,  1,  3,  32,  4, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 3,  1,  32,  36,  24,  1, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 96,  1,  1,  8,  6,  18, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 9,  24,  3,  16,  4,  2, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 48,  1,  2,  18,  3,  16, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 9,  1,  12,  48,  2,  8, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 12,  2,  54,  4,  8,  2, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 12,  108,  1,  8,  4,  2, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 4,  36,  1,  2,  24,  12, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 54,  2,  1,  4,  32,  6, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 6,  24,  1,  8,  12,  6, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 72,  6,  1,  2,  2,  48, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 1,  2,  216,  1,  4,  48, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 36,  9,  8,  2,  4,  4, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 2,  36,  12,  3,  16,  2, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 2,  8,  162,  1,  32,  1, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 18,  4,  12,  32,  3,  1, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 2,  1,  162,  256,  1,  1, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 3,  1,  48,  144,  4,  1, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 1,  1,  864,  8,  1,  12, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 36,  1,  36,  8,  1,  8, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 8,  1,  27,  1,  6,  64, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 12,  1,  54,  2,  8,  8, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 16,  9,  1,  9,  16,  4, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 0, 18,  6,  3,  1,  16,  16, 1,100.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 4,  3,  12,  12,  8,  6, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 4,  1,  72,  24,  6,  2, 1,12.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency 
 1, 36,  8,  3,  1,  48,  2, 1,12.5
