Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp
1,196,1,4,1,32,2,1,15939.0
1,49,16,1,32,1,2,1,15939.0
1,98,4,2,16,2,2,1,15947.0
1,28,1,8,4,14,4,1,15947.0
1,49,2,1,32,16,1,1,15939.0
1,1,98,16,32,1,1,1,15935.0
1,28,1,28,2,1,32,1,15939.0
1,1,2,49,256,1,2,1,15939.0
1,2,98,2,1,4,32,1,15943.0
1,2,7,56,4,1,16,1,15943.0
1,14,8,14,16,2,1,1,15943.0
1,4,1,28,28,16,1,1,15939.0
1,7,112,2,1,16,2,1,15943.0
0,16,1,14,2,112,1,1,96.0
1,14,14,2,64,2,1,1,15943.0
1,2,98,2,16,1,8,1,15943.0
1,16,1,7,14,8,4,1,15947.0
0,98,1,1,64,8,1,1,92.0
1,2,7,8,224,2,1,1,15943.0
1,28,1,14,8,16,1,1,15939.0
1,1,16,98,2,16,1,1,15939.0
0,1,7,112,16,4,1,1,96.0
0,14,8,14,2,4,4,1,104.0
0,4,2,14,16,4,7,1,104.0
0,1,56,7,1,2,64,1,96.0
0,2,4,14,7,8,8,1,104.0
0,392,1,1,8,2,8,1,96.0
0,2,4,14,4,56,2,1,104.0
0,196,1,1,1,32,8,1,92.0
0,1,2,49,32,4,4,1,104.0
0,1,2,56,224,2,1,1,96.0
0,1,56,2,2,16,14,1,104.0
0,16,14,1,16,1,14,1,96.0
0,1,2,784,1,32,1,1,92.0
0,1,28,14,2,32,2,1,104.0
0,16,14,1,1,4,56,1,99.0
0,49,1,16,8,2,4,1,104.0
0,32,1,7,2,56,2,1,104.0
0,14,1,8,112,1,4,1,96.0
0,14,2,4,7,64,1,1,100.0
1,98,1,1,64,8,1,1,15935.0
0,28,1,2,1,16,56,1,96.0
0,1,112,2,7,2,16,1,104.0
0,4,2,7,14,64,1,1,100.0
1,1,2,28,4,112,2,1,15947.0
0,2,784,1,16,2,1,1,96.0
0,1,7,56,2,32,2,1,104.0
0,2,28,2,4,8,14,1,104.0
0,2,49,8,4,2,8,1,104.0
0,1,224,1,4,28,2,1,96.0
0,2,1,392,1,4,16,1,96.0
0,14,8,14,1,32,1,1,96.0
1,1,28,56,8,2,2,1,15947.0
0,1,49,4,1,256,1,1,92.0
1,2,1,56,4,8,14,1,15947.0
1,1,7,8,2,14,32,1,15947.0
0,14,16,7,2,16,1,1,100.0
1,28,2,7,1,128,1,1,15939.0
1,16,1,14,56,2,2,1,15947.0
1,7,16,7,32,2,1,1,15943.0
0,16,7,1,4,7,16,1,104.0
0,1,28,14,2,16,4,1,104.0
0,28,8,1,4,7,8,1,104.0
0,1,49,2,1,8,64,1,96.0
0,14,112,1,2,4,4,1,104.0
0,1,14,4,2,7,64,1,104.0
0,7,4,4,2,7,32,1,104.0
0,7,4,2,4,56,4,1,104.0
0,7,14,16,8,1,4,1,100.0
1,1,56,4,8,7,4,1,15947.0
0,2,112,1,7,2,16,1,104.0
0,1,7,8,128,1,7,1,96.0
0,4,2,7,16,1,56,1,100.0
0,2,14,8,56,2,2,1,104.0
0,49,4,8,8,1,4,1,100.0
0,28,7,1,1,4,64,1,99.0
0,7,16,1,16,1,28,1,96.0
0,7,7,8,1,8,16,1,100.0
0,16,1,98,16,2,1,1,96.0
0,112,2,1,2,4,28,1,104.0
0,4,1,28,7,1,64,1,96.0
0,2,2,28,14,1,32,1,100.0
0,14,4,14,8,8,1,1,100.0
0,2,2,392,1,1,32,1,96.0
1,28,2,14,1,1,64,1,15939.0
0,112,1,2,14,16,1,1,96.0
0,8,1,7,2,56,8,1,104.0
1,1,8,28,7,4,8,1,15947.0
1,7,2,4,2,112,4,1,15947.0
0,2,49,1,64,8,1,1,96.0
0,16,2,7,16,7,2,1,104.0
0,14,1,8,28,16,1,1,96.0
0,1,8,49,1,32,4,1,96.0
0,196,4,2,1,8,4,1,100.0
