Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
0,8,1,3,8,12,4,1,0.329078
1,18,1,4,4,8,4,1,0.097651
1,2,1,6,2,384,1,1,0.11545
1,1,2,9,2,64,4,1,0.117085
1,2,4,4,12,6,4,1,0.104212
1,16,2,1,8,36,1,1,0.103773
1,1,1,32,3,3,32,1,0.103938
1,4,3,8,1,32,3,1,0.098352
0,3,2,3,2,16,16,1,0.334379
1,2,9,4,1,2,64,1,0.097967
1,2,6,3,32,8,1,1,0.107913
1,1,2,16,3,4,24,1,0.104327
1,1,9,1,32,16,2,1,0.15827
1,36,1,1,2,128,1,1,0.11007
1,8,3,3,64,1,2,1,0.095995
1,16,3,1,8,24,1,1,0.102751
1,32,1,1,3,3,32,1,0.105237
1,2,4,6,24,8,1,1,0.102555
1,32,1,1,3,8,12,1,0.104487
1,4,1,3,4,4,48,1,0.113803
1,2,2,18,8,4,4,1,0.096994
1,4,6,1,12,8,4,1,0.129789
1,4,36,2,16,1,2,1,0.091104
1,2,72,2,8,2,2,1,0.092148
1,4,2,2,1,12,48,1,0.106251
1,4,1,3,8,12,8,1,0.113706
1,48,2,1,2,12,4,1,0.097866
1,2,18,2,8,4,4,1,0.095734
1,2,24,3,64,1,1,1,0.094697
1,12,3,2,8,1,16,1,0.096559
1,3,16,2,2,48,1,1,0.097686
1,2,9,16,16,1,2,1,0.092566
1,32,1,1,1,48,6,1,0.104534
1,12,1,2,24,1,16,1,0.129347
1,8,2,6,1,4,24,1,0.09893
0,24,6,2,1,8,4,1,0.320734
0,2,8,3,16,1,12,1,0.310817
0,1,3,32,12,2,4,1,0.322099
1,12,1,12,16,4,1,1,0.093946
1,2,2,3,2,192,2,1,0.114894
1,12,12,2,8,1,4,1,0.090889
1,3,12,2,2,64,1,1,0.097213
1,2,4,6,192,1,1,1,0.102934
1,24,6,2,16,1,2,1,0.091895
1,16,1,2,8,2,18,1,0.103218
1,3,1,16,1,64,3,1,0.103958
1,2,3,6,8,16,2,1,0.11004
1,1,3,24,4,32,1,1,0.09709
1,1,1,48,1,4,48,1,0.103137
1,8,3,6,8,8,1,1,0.095482
1,16,1,1,16,9,4,1,0.10741
1,1,4,4,12,48,1,1,0.109599
1,3,8,3,8,1,16,1,0.09741
1,2,4,2,48,2,6,1,0.10705
1,6,1,24,2,2,16,1,0.093693
1,16,2,3,1,6,16,1,0.098392
1,16,2,3,3,16,2,1,0.09884
1,4,6,1,32,4,3,1,0.133562
1,3,6,1,64,1,8,1,0.118459
1,1,12,4,3,16,4,1,0.102203
0,12,12,2,8,1,4,1,0.305007
0,2,8,6,16,3,2,1,0.330662
1,1,72,2,2,16,2,1,0.094547
1,144,1,1,4,16,1,1,0.093555
1,4,4,2,3,96,1,1,0.10456
1,3,16,2,2,16,3,1,0.099
1,1,8,2,96,2,3,1,0.107449
1,1,4,3,64,12,1,1,0.115559
1,16,1,9,2,1,32,1,0.094863
1,2,4,2,24,8,3,1,0.10674
1,1,16,1,4,24,6,1,0.108311
1,8,2,9,2,1,32,1,0.095123
1,1,4,6,4,6,16,1,0.130013
1,1,9,1,8,16,8,1,0.157823
0,2,4,18,16,1,4,1,0.320253
0,4,6,1,8,12,4,1,0.347984
0,2,3,2,192,4,1,1,0.387034
1,9,4,4,4,1,16,1,0.095323
1,1,9,2,4,16,8,1,0.11684
1,8,1,2,6,24,4,1,0.109203
1,3,2,6,2,32,4,1,0.109873
1,2,4,3,2,32,6,1,0.131033
1,1,16,2,24,12,1,1,0.104211
1,4,4,18,4,4,2,1,0.091345
1,4,2,6,2,4,24,1,0.102814
1,2,1,12,3,8,16,1,0.129537
1,2,2,3,8,12,8,1,0.115265
0,1,1,48,6,2,16,1,0.307313
1,4,18,1,2,64,1,1,0.095419
0,16,1,1,72,2,4,1,0.32434
0,3,2,2,16,3,16,1,0.416214
1,1,32,1,6,4,12,1,0.105522
1,16,1,2,12,6,4,1,0.105836
1,2,48,1,1,6,16,1,0.984496
1,4,24,1,2,1,48,1,0.098531
1,8,2,3,1,48,4,1,0.105026
1,1,48,3,8,1,8,1,0.094125
1,8,3,6,1,16,4,1,0.094114
1,8,6,1,1,24,8,1,0.664096
1,3,6,8,1,1,64,1,0.094272
1,6,1,4,192,2,1,1,0.131005
1,8,1,9,1,64,2,1,0.097431
1,2,4,2,192,1,3,1,0.108833
1,1,12,4,1,32,6,1,0.103213
1,4,4,6,32,3,1,1,0.097425
1,3,4,4,24,4,2,1,0.103051
0,6,2,2,2,24,8,1,0.33592
1,12,24,1,4,4,2,1,0.091519
1,3,2,3,16,2,16,1,0.116847
1,1,12,2,24,4,4,1,0.130928
1,2,144,1,32,1,1,1,0.090708
1,1,24,4,3,2,16,1,0.09858
1,1,144,1,2,8,4,1,0.095255
1,1,2,48,3,4,8,1,0.097877
1,24,1,6,4,4,4,1,0.094259
1,3,1,12,32,4,2,1,0.109346
1,4,3,3,1,8,32,1,0.109385
1,4,1,12,2,32,3,1,0.102328
0,8,6,1,4,4,12,1,0.346671
1,2,1,48,8,12,1,1,0.098104
1,3,12,8,16,1,2,1,0.091559
1,1,2,12,8,16,3,1,0.130428
1,6,3,8,4,4,4,1,0.094426
1,6,48,1,1,16,2,1,0.526532
1,1,6,4,96,1,4,1,0.131947
1,16,3,1,1,48,4,1,0.599834
1,1,1,96,6,4,4,1,0.09718
1,3,4,1,96,4,2,1,0.113763
1,4,4,9,1,2,32,1,0.093816
1,4,12,1,1,12,16,1,0.798833
1,1,4,12,16,4,3,1,0.103403
1,16,6,3,8,4,1,1,0.091163
1,1,6,8,12,4,4,1,0.102549
1,1,24,2,6,32,1,1,0.102584
1,1,72,4,4,1,8,1,0.091798
1,1,16,3,8,24,1,1,0.103837
1,2,1,12,384,1,1,1,0.128851
1,3,12,1,32,1,8,1,0.110571
1,1,6,12,32,4,1,1,0.096873
1,36,8,1,8,1,4,1,0.09134
1,9,1,16,8,1,8,1,0.09399
1,9,2,2,2,32,4,1,0.109618
1,1,2,8,576,1,1,1,0.107506
1,4,2,6,1,64,3,1,0.102954
0,2,12,3,8,1,16,1,0.320798
0,1,2,8,9,32,2,1,0.324068
0,2,2,72,4,4,2,1,0.330987
1,2,3,48,4,4,2,1,0.091366
1,1,9,1,8,8,16,1,0.158471
1,1,6,24,8,8,1,1,0.093889
1,3,1,48,16,1,4,1,0.095321
1,6,6,2,1,32,4,1,0.096212
1,1,2,16,9,32,1,1,0.103888
1,3,1,4,48,16,1,1,0.115862
1,9,8,1,8,8,2,1,0.096846
0,1,4,8,24,3,4,1,0.323372
1,2,3,4,2,64,3,1,0.13048
1,1,8,3,4,24,4,1,0.128228
1,6,2,12,1,64,1,1,0.095049
1,3,12,4,1,64,1,1,0.0955
1,3,12,4,2,8,4,1,0.093997
1,3,2,6,16,1,16,1,0.111707
1,3,1,24,8,4,4,1,0.096542
1,1,96,1,2,4,12,1,0.097492
1,6,4,1,8,12,4,1,0.131201
0,2,144,1,32,1,1,1,0.28058
1,2,24,1,24,4,2,1,0.104239
1,1,2,16,6,3,16,1,0.104355
1,1,36,4,1,1,64,1,0.094093
1,2,3,16,12,8,1,1,0.098411
1,2,6,4,1,96,2,1,0.104136
0,12,2,6,8,8,1,1,0.319298
0,3,6,1,1,32,16,1,0.339328
1,3,2,48,8,2,2,1,0.092706
1,2,8,3,2,2,48,1,0.10459
1,2,9,1,8,4,16,1,0.118157
1,2,2,8,6,24,2,1,0.10484
1,1,2,12,1,48,8,1,0.131954
1,4,8,1,1,72,4,1,0.595138
1,2,4,4,12,1,24,1,0.104408
1,3,1,4,8,16,6,1,0.1137
1,8,4,3,1,96,1,1,0.096723
1,2,12,2,3,2,32,1,0.103944
0,3,4,2,16,6,4,1,0.33515
1,24,2,1,2,48,2,1,0.104439
1,2,36,4,1,8,4,1,0.090887
1,6,4,2,1,6,32,1,0.102994
1,12,2,3,32,1,4,1,0.09601
1,3,2,4,8,48,1,1,0.131488
1,2,2,4,6,48,2,1,0.106798
1,4,12,1,32,2,3,1,0.10259
1,1,36,4,1,64,1,1,0.094893
1,3,1,8,2,3,64,1,0.130758
1,3,2,8,6,4,8,1,0.102508
1,2,3,8,8,4,6,1,0.10343
1,18,4,1,8,1,16,1,0.096257
1,1,3,8,24,8,2,1,0.130393
0,2,3,3,4,128,1,1,0.319351
0,2,3,8,3,64,1,1,0.32052
1,48,1,1,16,1,12,1,0.103524
1,1,4,3,24,2,16,1,0.113704
1,24,2,3,16,2,2,1,0.094584
1,12,2,1,6,1,64,1,0.130728
1,1,32,3,16,2,3,1,0.097978
1,1,2,8,24,4,6,1,0.107053
1,4,1,3,48,1,16,1,0.114749
0,6,1,12,8,8,2,1,0.345296
0,1,8,2,1,12,48,1,0.301049
1,4,6,4,1,8,12,1,0.097943
1,2,1,6,6,8,16,1,0.114962
1,2,8,1,8,36,2,1,0.107405
1,4,2,2,64,3,3,1,0.107037
1,3,1,3,256,1,4,1,0.159771
1,16,3,2,48,2,1,1,0.097343
1,1,9,1,16,64,1,1,0.158002
1,2,6,6,1,16,8,1,0.098026
1,4,2,2,1,96,6,1,0.107515
1,4,8,1,24,4,3,1,0.105765
1,1,2,8,96,6,1,1,0.109003
1,2,72,2,2,16,1,1,0.091342
1,16,1,3,32,1,6,1,0.103202
1,4,6,2,2,8,12,1,0.103015
0,36,1,4,32,2,1,1,0.307727
1,6,1,16,32,3,1,1,0.098334
0,24,1,4,3,1,32,1,0.311117
0,6,8,1,4,16,3,1,0.347306
0,1,4,24,8,12,1,1,0.294796
1,1,9,8,64,2,1,1,0.09705
1,16,1,6,48,2,1,1,0.097744
1,4,36,1,16,2,2,1,0.0949
1,4,8,3,2,1,48,1,0.09803
1,4,24,1,4,6,4,1,0.098728
1,16,3,1,3,8,8,1,0.103514
1,8,12,3,16,2,1,1,0.090646
1,32,1,3,16,3,2,1,0.096376
1,8,12,3,1,2,16,1,0.092282
1,2,4,3,2,96,2,1,0.130521
1,1,16,9,2,8,4,1,0.095356
1,4,9,1,4,4,16,1,0.108738
1,1,8,6,64,3,1,1,0.101869
1,3,4,1,1,768,1,1,0.113915
1,2,2,4,2,72,4,1,0.106899
1,8,1,4,1,12,24,1,0.1033
1,1,3,4,16,4,12,1,0.114357
1,24,1,1,64,3,2,1,0.129252
0,8,12,3,16,2,1,1,0.317614
1,36,1,2,16,1,8,1,0.098116
1,8,6,1,3,8,8,1,0.103335
1,4,6,1,6,4,16,1,0.129714
1,4,6,4,16,2,3,1,0.098001
1,1,8,36,4,8,1,1,0.091693
1,2,16,1,4,2,36,1,0.104689
1,2,4,18,32,2,1,1,0.095648
1,1,16,18,1,4,8,1,0.092103
1,2,3,6,64,2,2,1,0.109623
1,8,3,12,8,4,1,1,0.09154
1,4,3,2,128,1,3,1,0.132413
1,12,2,1,192,2,1,1,0.131711
1,16,1,3,3,2,32,1,0.103175
1,1,2,6,8,2,48,1,0.113882
1,1,2,8,48,1,12,1,0.107497
1,8,3,4,4,4,6,1,0.097859
1,6,1,2,16,48,1,1,0.11437
1,24,1,6,64,1,1,1,0.093233
1,1,4,6,1,8,48,1,0.130341
1,18,1,2,1,4,64,1,0.110126
1,24,2,2,16,6,1,1,0.09724
1,1,12,1,3,8,32,1,0.116525
1,4,4,6,4,12,2,1,0.097503
1,1,6,4,8,2,24,1,0.130845
1,16,1,2,32,3,3,1,0.103879
1,6,6,4,2,2,16,1,0.095788
1,1,9,32,1,2,16,1,0.091346
1,24,1,2,16,4,3,1,0.10361
1,8,6,3,2,2,16,1,0.09441
1,16,6,1,4,3,8,1,0.097262
