Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  1,  8,  64,  1,  1, 1,0.132921
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 2,  4,  1,  128,  4,  1, 1,0.247428
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 1,  2,  32,  1,  8,  8, 1,0.130979
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 1,  4,  16,  4,  1,  16, 1,0.131138
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 64,  2,  1,  1,  4,  8, 1,0.1323
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 1,  2,  4,  1,  512,  1, 1,0.248001
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 8,  1,  1,  256,  1,  2, 1,0.247932
