Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
0,1,48,3,1,64,4,1,0.819194
1,4,8,2,72,8,1,1,0.818684
1,32,2,6,6,16,1,1,0.937667
0,1,8,8,1,32,18,1,0.712561
0,4,3,6,8,8,8,1,0.852041
1,1,8,8,1,32,18,1,0.822813
0,576,1,1,2,1,32,1,0.759641
0,3,96,1,4,4,8,1,0.812856
1,12,12,2,64,2,1,1,0.982119
1,6,8,1,1,768,1,1,0.746878
0,3,16,12,2,16,2,1,0.752858
0,2,9,8,16,1,16,1,0.819108
0,4,8,6,6,4,8,1,0.779442
1,24,4,4,3,4,8,1,0.935692
1,2,9,2,1,16,64,1,0.9892
1,3,2,8,256,1,3,1,0.746746
1,1,2,48,12,32,1,1,0.920423
1,4,4,3,12,16,4,1,0.746984
0,16,2,9,64,1,2,1,0.810301
1,3,16,8,2,6,8,1,0.932417
1,2,12,8,1,4,48,1,0.911512
1,3,6,8,1,4,64,1,0.98243
1,4,1,48,96,1,2,1,0.911645
1,1,12,12,4,8,8,1,0.987738
0,1,6,6,8,8,16,1,0.924688
0,3,3,16,2,16,8,1,0.820533
0,6,96,2,1,4,8,1,0.394345
0,4,16,2,24,1,12,1,0.810146
0,8,4,4,8,2,18,1,0.805722
1,6,96,2,1,4,8,1,0.492694
0,2,1,24,6,2,64,1,0.656752
0,3,4,12,2,32,4,1,0.811491
0,24,1,8,1,48,4,1,0.765471
0,4,12,3,32,4,2,1,0.819197
0,9,8,8,16,4,1,1,0.761141
0,6,6,2,2,32,8,1,0.849352
0,12,8,4,4,24,1,1,0.797412
0,6,32,2,12,1,8,1,0.793217
0,4,8,4,16,1,18,1,0.792715
1,1,32,9,4,32,1,1,0.980667
0,8,9,1,4,128,1,1,0.840495
0,8,1,48,2,3,16,1,0.796187
1,1,32,3,16,6,4,1,0.916033
1,4,16,3,4,48,1,1,0.911
0,2,12,4,48,8,1,1,0.76842
0,16,12,2,1,32,3,1,0.789478
1,6,6,8,16,8,1,1,0.985616
0,2,8,4,18,4,8,1,0.714297
0,16,2,3,128,3,1,1,0.770526
0,2,1,36,2,256,1,1,0.854458
0,6,1,64,3,1,32,1,0.78365
0,1,9,4,16,8,8,1,0.924241
0,4,24,3,2,16,4,1,0.801186
0,64,3,1,4,3,16,1,0.780052
0,64,2,3,12,8,1,1,0.782115
1,8,3,2,12,64,1,1,0.74678
1,1,4,32,2,12,12,1,0.954265
0,8,72,2,1,8,4,1,0.389456
0,1,8,72,4,8,2,1,0.777419
0,4,2,8,16,18,2,1,0.701324
0,4,8,36,8,2,2,1,0.394464
0,4,6,4,16,8,3,1,0.771672
0,36,1,16,32,2,1,1,0.762213
1,4,12,2,1,8,48,1,0.927636
1,3,64,3,2,32,1,1,0.961668
1,3,1,32,8,24,2,1,0.918966
1,144,1,4,32,2,1,1,0.967647
1,8,3,16,6,1,16,1,0.942257
1,16,9,1,1,64,4,1,0.976395
1,4,12,12,1,4,16,1,0.970283
1,4,48,1,4,24,2,1,0.911044
1,8,16,1,8,12,3,1,0.957819
0,8,24,1,64,1,3,1,0.774822
1,1,2,48,4,96,1,1,0.925347
1,1,16,6,2,6,32,1,0.919935
0,2,32,1,4,36,4,1,0.719702
1,8,72,2,1,8,4,1,0.492677
0,96,3,2,4,4,4,1,0.754214
1,128,1,1,8,18,2,1,0.958261
0,1,8,48,3,32,1,1,0.786748
1,16,4,18,1,16,2,1,0.490356
0,1,64,9,2,2,16,1,0.775725
0,8,8,2,36,8,1,1,0.796372
0,2,4,9,256,1,2,1,0.848012
0,4,1,9,2,512,1,1,0.922091
0,288,2,2,1,2,16,1,0.394771
1,8,4,4,16,6,3,1,0.957587
1,6,12,8,16,1,4,1,0.967713
0,1,36,32,2,4,4,1,0.393712
1,12,4,2,8,48,1,1,0.918633
1,4,2,8,32,18,1,1,0.818759
1,18,32,1,2,4,8,1,0.973249
1,2,3,6,16,32,2,1,0.989272
0,16,1,18,1,16,8,1,0.796129
0,1,1,192,4,16,3,1,0.772725
0,16,6,1,8,6,8,1,0.775921
0,2,64,1,1,36,8,1,0.773714
0,3,8,2,24,8,4,1,0.64005
0,16,3,6,32,1,4,1,0.802434
0,18,8,1,16,1,16,1,0.801679
0,3,1,32,16,3,8,1,0.766848
0,1,6,16,2,48,4,1,0.786216
1,1,2,18,16,2,32,1,0.9899
0,6,16,4,16,2,3,1,0.778289
0,1,16,8,288,1,1,1,0.79996
0,18,1,32,2,4,8,1,0.770171
1,12,1,48,1,1,64,1,0.9687
0,2,9,8,2,4,32,1,0.816353
0,6,8,24,1,16,2,1,0.389073
0,6,1,6,8,32,4,1,0.915362
0,4,4,3,768,1,1,1,0.654459
0,1,96,2,8,3,8,1,0.767055
0,16,6,1,24,8,2,1,0.778514
0,3,1,16,4,6,32,1,0.650132
0,8,6,2,4,3,32,1,0.780173
0,12,2,16,2,48,1,1,0.784559
0,16,4,3,1,4,48,1,0.775237
0,24,24,1,1,8,8,1,0.730503
0,16,3,24,2,4,4,1,0.394583
0,2,1,64,24,12,1,1,0.807629
0,4,3,16,6,4,8,1,0.755918
0,16,12,1,1,12,16,1,0.741243
0,48,2,2,6,16,2,1,0.776105
0,32,1,6,2,48,2,1,0.768408
0,24,4,6,8,2,4,1,0.760859
0,4,18,2,8,16,2,1,0.816326
0,3,2,16,32,4,3,1,0.777045
0,32,1,12,24,1,4,1,0.784282
1,16,72,1,1,1,32,1,0.494068
0,8,1,6,256,1,3,1,0.656823
0,1,288,2,16,1,4,1,0.750381
0,12,8,1,8,24,2,1,0.778597
0,1,2,144,8,1,16,1,0.8123
0,1,72,1,32,16,1,1,0.84814
0,18,2,1,4,128,2,1,0.914357
0,1,12,8,4,2,48,1,0.767023
0,1,3,32,2,6,32,1,0.776502
0,1,6,8,2,24,16,1,0.653133
0,2,64,3,12,2,4,1,0.792176
0,6,4,2,4,16,12,1,0.656133
0,1,32,4,2,9,16,1,0.813062
0,64,1,3,8,24,1,1,0.776083
0,8,4,6,2,48,2,1,0.775553
0,16,1,24,2,48,1,1,0.795703
0,18,1,4,16,2,16,1,0.845024
0,1,12,32,4,1,24,1,0.777739
0,2,3,32,8,3,8,1,0.771691
0,12,4,4,2,2,48,1,0.763236
0,2,2,16,16,1,36,1,0.718713
0,2,6,6,2,32,8,1,0.833985
0,4,32,1,16,1,18,1,0.806129
1,4,9,1,16,8,8,1,0.984391
1,4,4,4,64,9,1,1,0.819452
1,4,48,6,4,4,2,1,0.494672
0,1,64,3,24,2,4,1,0.782919
0,16,3,4,2,96,1,1,0.774454
0,64,1,1,12,3,16,1,0.714732
1,1,16,6,4,16,6,1,0.916097
0,16,1,18,8,8,2,1,0.811614
0,576,2,1,4,2,4,1,0.391065
1,16,6,1,3,128,1,1,0.922652
1,1,32,4,72,4,1,1,0.95641
1,8,8,9,16,1,4,1,0.953022
1,16,2,18,1,16,4,1,0.971093
1,288,4,1,16,1,2,1,0.495271
1,48,8,1,8,1,12,1,0.936661
0,12,48,1,4,2,8,1,0.764993
0,144,2,4,1,32,1,1,0.393015
0,32,1,4,6,4,12,1,0.809845
0,1,24,8,6,1,32,1,0.768795
0,2,96,6,4,8,1,1,0.394916
1,8,6,4,32,2,3,1,0.904433
0,1,128,9,1,1,32,1,0.393276
0,2,16,4,6,1,48,1,0.79301
1,144,1,1,2,128,1,1,0.984839
0,16,12,2,4,2,12,1,0.782352
0,2,2,16,8,8,9,1,0.711778
1,2,3,32,1,48,4,1,0.915751
0,2,12,6,8,1,32,1,0.799542
0,6,1,16,1,12,32,1,0.772885
