Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 12,  1,  18,  3,  16,  8, 1,0.915306
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 1,  24,  12,  96,  1,  3, 1,0.914778
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 12,  4,  6,  24,  2,  6, 1,0.911113
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 36,  12,  1,  6,  1,  32, 1,0.906993
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 2,  18,  8,  9,  2,  16, 1,0.92723
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 4,  36,  1,  1,  48,  12, 1,0.82032
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 24,  4,  3,  3,  6,  16, 1,0.918693
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 2,  36,  3,  4,  32,  3, 1,0.922332
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 216,  1,  2,  12,  8,  2, 1,0.837436
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  36,  1,  1,  48,  12, 1,0.762162
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 12,  3,  4,  288,  2,  1, 1,0.825692
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  4,  72,  4,  36,  2, 1,0.881329
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  16,  3,  3,  64,  3, 1,0.7563
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 6,  18,  8,  1,  24,  4, 1,0.853314
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 72,  1,  3,  12,  8,  4, 1,0.845135
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 12,  8,  1,  8,  18,  6, 1,0.770371
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 6,  2,  18,  16,  24,  1, 1,0.840684
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 72,  2,  18,  16,  1,  2, 1,0.422216
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 24,  2,  6,  9,  32,  1, 1,0.871707
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 72,  3,  6,  16,  1,  4, 1,0.827138
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  3,  12,  9,  16,  4, 1,0.753842
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 12,  1,  9,  96,  1,  8, 1,0.662034
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 18,  36,  1,  4,  4,  8, 1,0.873548
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  9,  12,  192,  2,  1, 1,0.839831
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  24,  3,  2,  8,  36, 1,0.749691
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 27,  16,  1,  12,  2,  8, 1,0.821085
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  108,  2,  2,  1,  64, 1,0.874059
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  6,  12,  12,  48,  1, 1,0.745229
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 72,  4,  1,  3,  24,  4, 1,0.876792
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 24,  2,  9,  3,  4,  16, 1,0.900971
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  216,  3,  16,  2,  2, 1,0.802715
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 6,  3,  12,  2,  64,  3, 1,0.844283
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 12,  2,  12,  16,  2,  9, 1,0.908972
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 18,  8,  1,  3,  12,  16, 1,0.750185
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 1,  96,  1,  3,  24,  12, 1,0.8262
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 4,  12,  2,  12,  4,  18, 1,0.826361
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 6,  1,  48,  4,  18,  4, 1,0.931019
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 3,  32,  1,  4,  108,  2, 1,0.826368
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 216,  1,  3,  2,  16,  4, 1,0.865831
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 72,  2,  18,  16,  1,  2, 1,0.496263
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 32,  3,  1,  9,  32,  3, 1,0.751991
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  12,  12,  96,  6,  1, 1,0.755499
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 72,  1,  3,  32,  3,  4, 1,0.837661
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  54,  2,  4,  2,  24, 1,0.840822
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  12,  3,  3,  16,  16, 1,0.669403
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  9,  3,  48,  2,  8, 1,0.668354
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  144,  1,  2,  48,  2, 1,0.835786
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  1,  144,  48,  4,  1, 1,0.831131
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  108,  3,  4,  64,  1, 1,0.890212
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 96,  1,  3,  9,  32,  1, 1,0.885713
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  18,  9,  1,  32,  4, 1,0.867523
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 12,  8,  3,  16,  6,  3, 1,0.871791
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  36,  2,  4,  18,  8, 1,0.751168
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 3,  24,  2,  4,  4,  36, 1,0.825875
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  4,  18,  1,  12,  48, 1,0.758824
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 4,  1,  54,  6,  16,  4, 1,0.922088
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 9,  18,  2,  128,  2,  1, 1,0.936134
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  9,  48,  32,  2,  3, 1,0.842487
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 12,  6,  2,  288,  1,  2, 1,0.743587
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 4,  4,  9,  192,  3,  1, 1,0.825153
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 18,  8,  1,  32,  2,  9, 1,0.825502
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
