Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
1,1,16,8,2,8,8,1,97.68
0,1,4,16,8,1,32,1,60.09
1,4,2,2,32,1,32,1,89.85
0,1,64,1,4,32,2,1,61.54
0,16,2,2,128,2,1,1,61.05
0,32,2,1,2,16,8,1,60.37
0,1,16,2,32,2,8,1,62.01
1,2,8,16,8,8,1,1,99.77
1,2,8,4,8,16,2,1,97.41
0,16,1,1,512,2,1,1,61.12
0,32,16,1,2,4,4,1,60.76
0,2,4,16,8,8,2,1,59.86
0,8,8,4,16,4,1,1,60.62
0,2,8,4,256,1,1,1,60.12
0,32,1,4,16,1,8,1,59.79
0,2,64,2,1,1,64,1,60.64
0,1,32,4,16,1,8,1,59.61
0,1,32,8,8,8,1,1,60.27
0,32,1,8,32,1,2,1,59.33
0,16,1,8,8,1,16,1,59.96
0,256,1,1,8,2,4,1,59.69
0,128,1,4,8,1,4,1,63.4
0,16,8,2,1,64,1,1,60.76
0,4,8,16,1,1,32,1,63.62
0,4,2,64,16,2,1,1,63.17
0,8,4,4,2,2,32,1,59.9
0,4,1,32,128,1,1,1,59.99
0,8,16,1,1,8,16,1,58.14
0,1,16,2,32,1,16,1,57.26
0,1,1,256,2,2,16,1,59.25
0,8,4,1,64,4,2,1,61.08
0,1,32,2,32,4,2,1,61.09
0,1,1,512,1,1,32,1,62.54
0,2,1,128,1,8,8,1,58.15
0,2,2,32,1,8,16,1,59.98
0,2,8,1,128,8,1,1,59.88
0,4,8,8,16,2,2,1,59.75
0,8,16,4,8,1,4,1,63.73
0,2,1,16,128,2,2,1,61.14
0,2,16,1,32,2,8,1,60.67
0,4,2,16,1,8,16,1,60.14
0,256,2,1,2,4,4,1,62.51
0,16,1,1,32,16,2,1,60.01
0,16,1,8,64,2,1,1,60.02
0,1,4,16,8,4,8,1,61.17
0,1,128,2,4,1,16,1,59.2
0,8,4,2,2,16,8,1,60.8
1,1,1,256,1,32,2,1,99.69
0,2,4,8,2,16,8,1,61.21
0,1,64,1,32,4,2,1,60.0
0,32,1,8,4,8,2,1,59.69
0,2,16,2,16,4,4,1,61.35
1,1,16,2,32,1,16,1,94.76
0,2,8,8,1,8,16,1,60.93
0,4,32,4,8,2,2,1,62.69
0,16,1,4,4,16,4,1,60.27
0,4,32,1,8,8,2,1,58.93
0,2,64,4,4,8,1,1,63.25
0,1,16,1,1,512,2,1,61.07
0,4,32,2,2,8,4,1,59.42
0,1,2,8,4,8,32,1,62.03
0,64,4,1,8,2,4,1,59.03
0,1,16,2,32,4,4,1,61.38
1,1,2,64,4,1,32,1,97.63
0,8,8,1,1,16,16,1,58.28
0,8,4,1,32,2,8,1,60.06
0,1,1,64,1,128,2,1,60.38
0,8,2,8,1,8,16,1,60.73
0,1,16,4,4,16,4,1,61.22
0,4,8,16,4,1,8,1,63.34
0,8,8,2,2,64,1,1,60.26
0,16,1,4,1,16,16,1,59.68
0,2,16,1,1,512,1,1,61.55
0,2,2,16,256,1,1,1,60.68
1,4,8,8,16,1,4,1,99.73
0,2,2,32,2,2,32,1,59.8
0,64,4,1,1,4,16,1,58.33
0,8,4,2,16,8,2,1,62.17
0,8,4,2,2,64,2,1,61.68
0,1,32,16,2,2,8,1,63.9
0,16,8,1,4,2,16,1,59.02
1,1,2,64,2,1,64,1,97.8
0,1,4,16,1,4,64,1,61.43
0,8,4,2,64,4,1,1,61.33
0,8,4,1,32,4,4,1,60.69
0,2,16,2,1,8,32,1,59.09
0,4,2,64,2,1,16,1,62.96
0,16,2,1,32,8,2,1,60.21
0,2,2,4,32,1,32,1,61.06
0,16,2,2,4,2,32,1,61.24
0,2,32,1,32,2,4,1,60.56
0,16,1,8,2,8,8,1,60.41
1,4,1,8,16,16,2,1,94.77
0,4,8,8,16,4,1,1,60.78
1,16,2,16,1,16,2,1,95.46
1,8,2,1,16,32,2,1,89.95
0,2,16,8,4,16,1,1,57.69
0,8,1,16,1,4,32,1,58.41
1,2,2,32,4,1,32,1,97.75
1,2,32,4,1,16,4,1,99.68
0,2,16,2,8,16,2,1,61.64
0,16,4,4,2,1,32,1,59.7
0,1,128,1,4,32,1,1,58.7
0,2,2,16,16,2,8,1,60.99
0,8,4,1,16,16,2,1,60.57
0,8,4,16,1,8,4,1,63.06
0,32,16,1,16,2,1,1,62.18
0,2,2,16,128,1,2,1,62.21
0,4,32,4,4,8,1,1,63.29
0,1,16,32,1,32,1,1,62.38
1,1,16,1,32,1,32,1,89.81
0,1,2,8,4,128,2,1,62.29
0,4,4,8,1,8,16,1,60.52
1,1,4,4,4,128,2,1,89.91
0,2,8,8,4,1,32,1,60.85
0,8,1,4,512,1,1,1,61.83
0,16,4,1,2,64,2,1,59.94
1,4,8,8,16,4,1,1,99.73
0,32,8,2,16,1,2,1,63.27
0,16,8,1,16,4,2,1,60.01
0,32,2,4,16,2,2,1,60.39
1,1,16,16,2,4,8,1,99.67
0,1,2,16,1,512,1,1,61.91
0,1,2,256,1,16,2,1,63.47
1,1,8,4,8,2,32,1,94.83
0,2,128,1,1,16,4,1,57.9
1,256,1,1,1,32,2,1,99.75
0,4,1,64,1,8,8,1,58.77
0,4,4,32,32,1,1,1,63.61
0,8,1,64,1,8,4,1,61.99
0,256,1,1,32,2,1,1,60.25
0,1,2,64,16,4,2,1,61.05
1,16,1,1,1,256,4,1,89.98
1,1,64,1,32,4,2,1,97.51
0,4,1,16,32,8,1,1,61.76
0,1,8,4,8,1,64,1,61.01
0,8,2,16,32,1,2,1,60.32
0,2,2,64,4,1,16,1,60.73
0,8,2,1,1,1024,1,1,61.55
0,1,32,4,1,32,4,1,60.09
1,64,1,2,4,4,8,1,97.75
1,16,2,8,16,1,4,1,99.73
0,2,1,32,128,2,1,1,61.08
0,1,8,4,4,4,32,1,61.26
0,2,1,32,32,2,4,1,59.84
0,8,4,4,1,8,16,1,60.2
0,8,4,1,1,32,16,1,58.51
0,2,16,4,8,4,4,1,59.77
1,1,16,16,8,4,2,1,99.75
1,1,8,4,8,8,8,1,94.73
1,2,2,64,2,2,16,1,99.76
1,2,4,2,16,64,1,1,89.88
0,8,32,2,2,8,2,1,62.77
1,1,1,64,1,32,8,1,97.44
0,2,16,8,32,2,1,1,60.33
0,8,1,64,2,16,1,1,63.82
0,1,2,64,1,4,32,1,60.87
1,1,4,64,1,2,32,1,99.73
0,32,1,8,2,32,1,1,60.45
0,2,16,1,16,1,32,1,62.53
1,4,8,4,2,32,2,1,97.76
1,1,2,64,16,1,8,1,97.82
