Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 2,  3,  8,  1,  3,  64, 1,96.89
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 3,  1,  48,  1,  16,  4, 1,99.4
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 6,  8,  6,  2,  1,  16, 1,57.65
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 3,  2,  2,  2,  16,  24, 1,48.19
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  12,  4,  2,  8,  6, 1,59.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 3,  6,  16,  8,  2,  2, 1,57.35
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 6,  4,  1,  4,  8,  12, 1,60.16
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 6,  1,  3,  64,  4,  2, 1,60.32
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 3,  2,  2,  2,  16,  24, 1,79.66
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 16,  1,  3,  16,  12,  1, 1,96.92
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  4,  8,  2,  72,  2, 1,60.14
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 4,  24,  3,  4,  8,  1, 1,99.55
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  6,  6,  4,  4,  8, 1,58.83
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 6,  6,  8,  1,  1,  32, 1,99.6
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 24,  1,  4,  6,  4,  4, 1,58.06
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 3,  2,  2,  16,  16,  3, 1,79.47
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 1,  2,  36,  2,  32,  2, 1,97.02
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 3,  2,  16,  4,  24,  1, 1,98.9
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  16,  6,  16,  6,  1, 1,59.59
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  3,  48,  8,  8,  1, 1,58.47
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 8,  1,  2,  2,  18,  16, 1,88.69
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  1,  36,  64,  1,  2, 1,59.8
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 12,  8,  1,  3,  8,  4, 1,58.66
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 6,  2,  6,  16,  4,  2, 1,59.87
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  1,  36,  2,  8,  4, 1,57.56
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  6,  3,  512,  1,  1, 1,59.72
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  8,  9,  1,  8,  16, 1,59.87
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 2,  4,  18,  4,  16,  1, 1,99.43
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  4,  1,  6,  16,  3, 1,58.81
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  16,  3,  6,  1,  16, 1,59.07
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 3,  24,  1,  1,  8,  16, 1,56.37
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 18,  1,  2,  2,  16,  8, 1,59.69
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 1, 6,  2,  2,  16,  6,  4, 1,88.59
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 6,  2,  4,  12,  1,  16, 1,59.7
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  2,  6,  1,  48,  4, 1,59.62
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 6,  4,  2,  4,  24,  2, 1,59.96
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  8,  4,  12,  12,  2, 1,60.38
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  18,  2,  1,  16,  4, 1,56.7
