Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp
0,2,32,2,16,1,8,0,49.164062
0,8,8,1,32,8,1,0,45.164062
0,1,8,2,512,1,2,0,45.164062
0,1,1,32,4,16,8,0,45.164062
0,8,16,1,4,2,16,0,53.164062
0,16,4,1,1,64,4,0,60.328125
0,2,16,1,8,1,64,0,45.164062
0,1,64,2,16,4,2,0,53.164062
0,2,64,1,4,32,1,0,45.164062
0,2,128,1,2,1,32,0,45.164062
0,2,32,1,8,4,8,0,53.164062
0,1,2,32,2,4,32,0,53.164062
0,32,1,8,1,1,64,0,41.164062
0,4,2,2,16,4,16,0,53.164062
0,2,1,16,16,1,32,0,45.164062
0,4,4,4,1,16,16,0,49.164062
0,1,16,16,64,1,1,0,41.164062
0,4,8,8,1,2,32,0,49.164062
0,32,2,1,16,1,16,0,45.164062
0,1,16,4,8,8,4,0,53.164062
0,1,16,16,16,2,2,0,53.164062
0,16,2,4,16,8,1,0,49.164062
0,2,32,2,1,128,1,0,45.164062
0,8,1,8,1,4,64,0,45.164062
0,4,8,1,2,16,16,0,53.164062
0,2,8,1,1,1024,1,0,41.164062
0,2,2,64,2,16,2,0,53.164062
0,8,8,2,2,8,8,0,53.164062
0,16,1,32,32,1,1,0,41.164062
0,1,1,16,64,1,16,0,41.164062
0,16,4,8,2,8,2,0,53.164062
0,8,1,16,2,64,1,0,45.164062
0,32,4,1,8,1,16,0,45.164062
0,8,4,1,64,8,1,0,45.164062
0,8,8,4,8,1,8,0,49.164062
0,4,4,4,4,1,64,0,49.164062
0,64,1,1,64,4,1,0,41.164062
0,1,64,4,2,2,16,0,53.164062
0,4,2,64,1,4,8,0,49.164062
0,2,1,8,1024,1,1,0,41.164062
0,2,16,8,8,2,4,0,53.164062
0,16,4,1,1,8,32,0,60.328125
0,1,32,1,4,32,4,0,45.164062
0,64,2,4,2,8,2,0,53.164062
0,1,1,16,64,16,1,0,41.164062
0,16,1,2,4,16,8,0,53.164062
0,1,32,2,2,8,16,0,53.164062
0,16,1,32,2,1,16,0,45.164062
0,8,1,4,2,8,32,0,53.164062
0,4,2,32,32,1,2,0,49.164062
0,4,32,2,8,1,8,0,49.164062
0,32,2,1,1,4,64,0,60.328125
0,4,4,4,2,4,32,0,53.164062
0,64,4,2,4,2,4,0,53.164062
0,2,2,128,1,1,32,0,45.164062
0,2,4,2,1,1024,1,0,45.164062
0,8,2,2,1,32,16,0,49.164062
0,4,8,8,1,16,4,0,49.164062
0,1,2,8,1,1024,1,0,41.164062
0,2,32,8,4,2,4,0,53.164062
0,64,4,2,2,8,2,0,53.164062
0,1,8,8,1,64,4,0,45.164062
0,1,2,32,4,2,32,0,53.164062
0,128,1,4,1,16,2,0,45.164062
0,4,4,1,4,256,1,0,45.164062
0,32,2,2,128,1,1,0,45.164062
0,32,1,4,32,4,1,0,45.164062
0,2,64,2,16,2,2,0,53.164062
0,128,2,2,2,1,16,0,49.164062
0,8,16,4,2,4,4,0,53.164062
0,1,2,16,8,32,2,0,53.164062
0,2,16,4,8,1,16,0,49.164062
0,1,4,4,64,4,4,0,53.164062
0,1,1,16,1,32,32,0,41.164062
0,1,64,1,2,4,32,0,45.164062
0,2,8,8,32,2,2,0,53.164062
0,4,4,1,2,512,1,0,45.164062
0,64,4,1,1,4,16,0,47.164062
0,1,256,2,8,2,2,0,53.164062
0,1,4,16,32,4,2,0,53.164062
0,4,1,8,64,2,4,0,53.164062
0,4,2,4,1,16,32,0,49.164062
0,2,2,4,8,8,16,0,53.164062
0,4,4,1,2,256,2,0,53.164062
0,4,128,1,1,4,8,0,47.164062
0,2,8,4,4,4,16,0,53.164062
0,4,2,8,8,4,8,0,53.164062
0,1,16,4,2,32,4,0,53.164062
0,4,1,4,128,2,4,0,53.164062
0,16,2,1,4,4,32,0,53.164062
0,32,1,1,32,1,16,0,41.164062
0,32,2,2,8,1,16,0,49.164062
0,1,16,8,4,1,32,0,45.164062
0,1,32,2,8,1,32,0,45.164062
0,1,256,1,32,1,2,0,41.164062
0,2,1,32,8,16,2,0,53.164062
0,2,2,64,1,64,1,0,45.164062
0,2,1,32,16,1,16,0,45.164062
0,128,2,2,8,2,2,0,53.164062
0,1,32,16,1,32,1,0,41.164062
0,4,16,4,2,8,4,0,53.164062
0,8,1,2,8,128,1,0,45.164062
0,128,2,1,4,8,2,0,53.164062
0,2,64,1,32,2,2,0,53.164062
0,4,1,4,4,4,64,0,53.164062
0,1,2,8,8,64,2,0,53.164062
0,16,1,8,32,4,1,0,45.164062
0,32,2,1,2,16,8,0,53.164062
0,16,2,16,1,32,1,0,45.164062
0,128,2,1,64,1,1,0,41.164062
0,4,16,8,2,4,4,0,53.164062
0,32,1,4,2,2,32,0,53.164062
0,16,8,1,16,8,1,0,45.164062
0,2,2,4,16,64,1,0,49.164062
0,2,16,1,2,4,64,0,53.164062
0,8,1,2,2,16,32,0,53.164062
0,4,2,16,16,4,2,0,53.164062
0,4,1,32,1,4,32,0,45.164062
0,1,2,128,16,2,2,0,53.164062
0,2,128,1,64,1,1,0,41.164062
0,2,2,4,1,256,4,0,49.164062
0,32,16,1,32,1,1,0,41.164062
0,8,2,1,8,32,4,0,53.164062
0,8,2,1,32,2,16,0,53.164062
0,1,128,1,1,8,16,0,41.164062
0,8,1,4,8,64,1,0,45.164062
0,16,8,4,1,1,32,0,45.164062
0,4,2,16,2,32,2,0,53.164062
0,1,2,64,8,1,16,0,45.164062
0,2,16,4,4,1,32,0,49.164062
0,128,2,1,4,4,4,0,53.164062
0,2,16,1,16,32,1,0,45.164062
0,8,4,1,4,64,2,0,53.164062
0,1,64,1,1,32,8,0,41.164062
0,8,16,1,16,2,4,0,53.164062
0,4,8,2,2,128,1,0,49.164062
0,1,16,1,8,128,1,0,41.164062
0,1,2,16,512,1,1,0,41.164062
0,32,2,2,16,8,1,0,49.164062
0,1,16,2,256,1,2,0,45.164062
