Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  8,  2,  1,  192,  1, 0 , 0.88731
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  36,  1,  8,  8,  2, 0 , 0.887399
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  6,  1,  3,  32,  4, 0 , 0.886763
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  6,  4,  16,  6,  2, 0 , 0.882863
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  2,  16,  8,  2,  18, 0 , 0.886578
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 6,  1,  8,  2,  96,  1, 0 , 0.887233
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  1,  6,  12,  1,  32, 0 , 0.884216
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  8,  1,  1,  18,  32, 0 , 0.722428
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  4,  2,  9,  8,  8, 0 , 0.882499
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  8,  6,  2,  8,  6, 0 , 0.883076
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 48,  2,  1,  4,  2,  12, 0 , 0.887975
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  6,  16,  1,  16,  2, 0 , 0.965007
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  16,  9,  8,  2,  2, 0 , 0.963327
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 12,  3,  1,  1,  128,  2, 0 , 0.853785
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  2,  12,  48,  4,  2, 0 , 0.886266
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  1,  16,  48,  12,  1, 0 , 0.887831
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
