Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 14,  16,  1,  4,  28,  2, 0 , 0.75752
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  196,  4,  4,  8,  2, 0 , 0.946901
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 28,  2,  1,  16,  56,  1, 0 , 0.767195
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  4,  28,  64,  7,  1, 0 , 0.775453
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  196,  2,  128,  1,  1, 0 , 0.860001
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 392,  1,  1,  1,  16,  8, 0 , 0.863611
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 49,  4,  1,  64,  1,  4, 0 , 0.738048
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 14,  28,  2,  2,  2,  16, 0 , 0.945928
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  14,  2,  56,  1,  8, 0 , 0.772896
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  196,  4,  16,  1,  2, 0 , 0.972704
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  28,  1,  8,  1,  28, 0 , 0.755971
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  1,  196,  1,  2,  64, 0 , 0.863721
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 28,  2,  14,  8,  2,  4, 0 , 0.945933
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 16,  1,  7,  1,  56,  8, 0 , 0.775309
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 14,  4,  1,  896,  1,  1, 0 , 0.775059
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  112,  1,  2,  224,  1, 0 , 0.774927
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  1,  28,  4,  224,  1, 0 , 0.773445
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  28,  1,  4,  4,  28, 0 , 0.773474
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  4,  14,  112,  8,  1, 0 , 0.773081
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 14,  2,  2,  112,  4,  2, 0 , 0.772484
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 56,  2,  2,  7,  32,  1, 0 , 0.757285
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 14,  1,  7,  32,  1,  16, 0 , 0.755955
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 28,  4,  1,  7,  2,  32, 0 , 0.772911
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 16,  1,  7,  56,  4,  2, 0 , 0.773816
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  7,  7,  2,  64,  1, 0 , 0.862333
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  28,  2,  32,  1,  7, 0 , 0.757075
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 14,  8,  1,  2,  56,  4, 0 , 0.772961
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 7,  2,  28,  4,  1,  32, 0 , 0.861607
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 49,  4,  1,  8,  1,  32, 0 , 0.75605
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  112,  1,  8,  1,  56, 0 , 0.774793
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 56,  1,  14,  1,  2,  32, 0 , 0.947816
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 7,  1,  7,  32,  32,  1, 0 , 0.755419
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 49,  16,  2,  1,  32,  1, 0 , 0.973044
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
