Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
0,4,2,2,32,2,4,0,0.9303
0,8,2,4,8,4,2,0,0.930634
0,2,1,16,1,128,1,0,0.932154
0,1,2,32,1,16,4,0,0.933101
0,1,128,1,4,8,1,0,0.961005
0,4,1,2,1,256,2,0,0.925952
0,1,64,1,4,2,8,0,0.932783
0,1,1,64,16,2,2,0,0.92463
0,4,2,1,2,8,32,0,0.925093
0,2,1,32,1,16,4,0,0.933274
0,2,1,2,1,32,32,0,0.915957
0,1,2,2,64,2,8,0,0.913501
0,4,4,8,1,1,32,0,0.960333
0,2,2,4,16,4,4,0,0.930578
0,2,64,1,8,1,4,0,0.961862
0,4,2,4,2,64,1,0,0.932763
0,16,1,8,8,1,4,0,0.960361
0,8,2,2,2,4,16,0,0.930481
0,2,1,2,2,64,8,0,0.897936
0,4,1,1,32,16,2,0,0.91324
0,4,16,2,8,4,1,0,0.961473
0,4,4,8,4,8,1,0,0.961472
0,32,2,2,16,2,1,0,0.961476
0,1,4,4,1,256,1,0,0.933055
0,4,1,1,16,32,2,0,0.912915
0,16,1,1,4,16,4,0,0.922356
0,2,64,1,4,1,8,0,0.9616
0,1,8,4,4,4,8,0,0.932701
0,2,2,32,8,1,4,0,0.960197
0,1,1,32,64,1,2,0,0.933212
0,32,1,4,4,8,1,0,0.960768
0,16,4,2,2,4,4,0,0.959829
0,4,2,2,8,2,16,0,0.930366
0,64,1,1,1,2,32,0,0.933597
0,8,2,1,2,16,8,0,0.932547
0,1,8,2,8,8,4,0,0.932279
0,8,2,1,16,8,2,0,0.932438
0,4,16,1,4,2,8,0,0.933058
0,1,2,2,2,32,16,0,0.913519
0,32,1,1,32,2,2,0,0.931003
0,1,4,1,1,128,8,0,0.916922
0,2,2,16,32,2,1,0,0.933008
0,1,1,4,4,4,64,0,0.916075
0,1,8,16,2,1,16,0,0.960736
0,4,16,1,8,4,2,0,0.933158
0,1,32,2,8,4,2,0,0.932862
0,4,2,1,4,2,64,0,0.925038
0,2,4,8,8,8,1,0,0.932805
0,8,2,4,2,32,1,0,0.932939
0,2,64,1,8,2,2,0,0.961621
0,1,32,4,2,2,8,0,0.961494
0,64,1,1,64,1,1,0,0.932284
0,2,64,1,1,32,1,0,0.961675
0,4,1,1,32,4,8,0,0.913144
0,8,1,1,32,1,16,0,0.926323
0,2,8,2,1,128,1,0,0.922755
0,2,16,2,32,1,2,0,0.93119
0,8,2,1,32,1,8,0,0.932937
0,1,8,2,32,1,8,0,0.931522
0,2,1,16,32,1,4,0,0.931126
0,1,2,32,4,2,8,0,0.932886
0,32,2,1,4,2,8,0,0.933054
0,1,16,2,2,1,64,0,0.931671
0,4,4,1,64,1,4,0,0.932848
0,4,2,1,1,512,1,0,0.926248
0,32,1,1,4,16,2,0,0.922106
0,2,16,1,2,2,32,0,0.932866
0,4,16,1,2,16,2,0,0.928141
0,4,1,4,4,1,64,0,0.930971
0,8,4,2,2,32,1,0,0.932902
0,64,1,2,1,16,2,0,0.961751
0,4,16,2,4,8,1,0,0.961513
0,4,1,16,16,2,2,0,0.931878
0,1,8,4,2,1,64,0,0.931777
0,2,4,2,2,8,16,0,0.930476
0,16,1,2,1,128,1,0,0.925335
0,16,8,1,16,2,1,0,0.960824
0,16,4,2,1,32,1,0,0.960815
0,2,4,8,4,1,16,0,0.931203
0,8,1,8,64,1,1,0,0.93234
0,2,4,2,8,2,16,0,0.930411
0,4,2,1,8,4,16,0,0.925093
0,64,2,1,2,2,8,0,0.961603
0,2,2,1,8,16,8,0,0.913823
0,2,4,8,2,1,32,0,0.931226
0,64,1,1,16,4,1,0,0.933368
0,8,2,2,8,4,4,0,0.930645
0,32,2,1,4,8,2,0,0.93319
0,1,1,8,1,8,64,0,0.924981
0,1,32,1,64,1,2,0,0.931463
0,1,2,4,2,64,4,0,0.924787
0,1,2,4,1,8,64,0,0.925795
0,32,2,1,4,1,16,0,0.933256
0,2,2,4,128,1,2,0,0.921731
0,16,1,2,2,4,16,0,0.931454
0,2,16,1,32,4,1,0,0.931908
0,1,2,16,16,4,2,0,0.932704
0,4,2,2,32,8,1,0,0.924374
0,2,2,8,16,1,8,0,0.92226
0,1,8,4,2,64,1,0,0.932921
0,1,2,4,8,32,2,0,0.918452
0,1,2,2,256,2,2,0,0.904447
0,2,1,8,128,2,1,0,0.931627
0,32,2,2,16,1,2,0,0.960315
0,1,8,1,1,16,32,0,0.92621
0,1,4,16,2,16,2,0,0.924648
0,64,2,1,32,1,1,0,0.961961
0,1,2,8,4,4,16,0,0.932358
0,1,32,1,2,1,64,0,0.931535
0,1,2,16,1,4,32,0,0.932805
0,1,2,2,32,4,8,0,0.913101
0,2,2,2,8,4,16,0,0.912158
0,8,4,1,2,8,8,0,0.924846
0,1,4,2,16,1,32,0,0.924457
0,8,8,1,16,2,2,0,0.92926
0,64,2,1,1,32,1,0,0.961525
0,8,2,8,2,2,8,0,0.959269
0,4,4,4,1,4,16,0,0.932613
