Kernel,gx,gy,gz,bx,by,bz,gpuId,gld_efficiency
1,24,2,3,16,9,4,0,12.5
0,3,4,36,1,16,12,0,90.28
0,1,8,36,12,2,12,0,90.28
1,432,1,1,1,6,32,0,12.5
1,27,2,24,16,2,2,0,12.5
0,24,2,3,16,9,4,0,90.28
1,9,3,6,16,16,2,0,12.5
1,96,3,1,1,12,24,0,12.5
0,6,9,6,8,1,32,0,90.28
1,18,9,2,4,8,8,0,12.5
0,6,12,6,4,12,4,0,90.28
1,2,144,3,4,6,4,0,12.5
1,6,108,2,2,4,8,0,12.5
1,32,9,9,8,2,2,0,12.5
1,16,27,1,16,3,4,0,12.5
1,16,54,1,1,6,16,0,12.5
1,216,2,1,1,96,2,0,12.5
1,3,16,9,2,32,3,0,12.5
1,1,24,18,3,32,2,0,12.5
1,54,6,4,8,4,2,0,12.5
0,2,4,81,32,4,1,0,90.28
0,6,6,8,18,16,1,0,90.28
1,2,1,108,12,16,2,0,12.5
1,24,6,3,1,6,32,0,12.5
0,2,6,18,3,32,4,0,90.28
0,1,12,24,12,2,12,0,90.28
1,3,96,1,6,6,8,0,12.5
1,3,4,36,2,48,2,0,12.5
1,2,6,18,1,96,4,0,12.5
1,3,2,36,48,2,4,0,12.5
1,4,1,162,4,2,16,0,12.5
1,108,4,1,2,24,4,0,12.5
0,54,8,6,2,16,1,0,90.28
0,12,2,4,2,144,3,0,90.28
1,6,36,2,4,12,4,0,12.5
1,4,2,27,1,48,8,0,12.5
1,3,6,12,12,8,4,0,12.5
1,24,54,1,2,4,8,0,12.5
1,24,2,3,48,6,2,0,12.5
1,1,1296,2,32,1,1,0,12.5
1,108,4,1,1,96,2,0,12.5
0,1,1,216,96,1,4,0,90.28
1,4,216,1,1,24,4,0,12.5
1,16,3,18,1,3,32,0,12.5
1,54,4,4,1,12,8,0,12.5
1,1,12,27,1,4,64,0,12.5
1,9,16,1,9,64,1,0,12.5
1,3,108,2,4,1,32,0,12.5
0,12,1,8,12,72,1,0,90.28
1,6,4,4,16,54,1,0,12.5
0,12,1,108,2,4,8,0,90.28
1,3,24,3,2,64,3,0,12.5
1,108,3,2,16,4,2,0,12.5
1,2,27,8,24,4,2,0,12.5
1,54,2,8,12,8,1,0,12.5
1,1,3,32,4,8,27,0,12.5
1,16,1,18,12,4,6,0,12.5
1,4,9,3,32,12,2,0,12.5
0,16,27,1,8,1,24,0,90.28
1,6,1,18,24,2,16,0,12.5
0,1,1,288,36,8,1,0,90.28
0,6,1,24,12,8,6,0,90.28
1,4,12,3,2,36,8,0,12.5
1,36,1,18,4,8,4,0,12.5
1,1,2,54,1,24,32,0,12.5
1,6,8,6,6,3,16,0,12.5
1,2,8,27,2,8,12,0,12.5
0,18,24,1,16,1,12,0,90.28
1,216,3,2,16,2,2,0,12.5
1,1,72,2,288,2,1,0,12.5
1,9,2,6,4,24,8,0,12.5
1,18,2,6,384,1,1,0,12.5
1,6,8,2,4,27,8,0,12.5
1,2,4,12,2,72,6,0,12.5
1,2,18,12,12,2,8,0,12.5
1,54,2,6,4,4,8,0,12.5
1,3,2,36,12,1,32,0,12.5
1,2,108,1,12,1,32,0,12.5
1,48,2,1,6,18,8,0,12.5
0,16,27,3,4,8,2,0,90.28
1,2,648,2,2,8,2,0,12.5
1,1,9,24,4,96,1,0,12.5
1,8,6,3,18,4,8,0,12.5
1,12,4,2,18,1,48,0,12.5
1,36,4,3,6,32,1,0,12.5
1,81,16,1,4,8,2,0,12.5
1,6,2,9,32,1,24,0,12.5
1,1,288,1,2,48,3,0,12.5
1,12,1,18,64,1,6,0,12.5
1,72,1,3,1,96,4,0,12.5
1,36,4,3,32,1,6,0,12.5
1,12,18,1,3,128,1,0,12.5
1,1,48,18,3,32,1,0,12.5
1,3,1,32,32,1,27,0,12.5
0,16,27,2,1,48,2,0,90.28
1,1,4,72,1,8,36,0,12.5
1,72,12,1,4,8,3,0,12.5
1,1,3,72,12,16,2,0,12.5
1,8,54,1,2,24,4,0,12.5
1,72,2,9,64,1,1,0,12.5
1,2,3,27,1,128,4,0,12.5
0,8,9,2,4,72,2,0,90.28
1,16,2,3,1,432,2,0,12.5
1,48,1,18,2,1,48,0,12.5
1,3,1,48,96,1,6,0,12.5
1,4,12,3,4,72,2,0,12.5
1,4,18,2,3,6,32,0,12.5
1,48,1,3,8,36,2,0,12.5
1,27,16,2,48,2,1,0,12.5
0,1,9,18,128,4,1,0,90.28
1,1,162,1,16,4,8,0,12.5
1,1,18,8,8,8,9,0,12.5
1,81,4,1,32,4,2,0,12.5
1,3,36,4,3,32,2,0,12.5
1,18,1,8,32,18,1,0,12.5
1,2,2,81,64,4,1,0,12.5
1,2,9,12,128,1,3,0,12.5
1,18,36,4,1,2,16,0,12.5
1,2,8,6,9,12,8,0,12.5
1,12,2,6,2,96,3,0,12.5
1,9,8,4,6,16,3,0,12.5
1,1,144,1,8,2,36,0,12.5
1,3,16,6,2,144,1,0,12.5
1,2,1,1296,1,1,32,0,12.5
1,1,2,144,2,4,36,0,12.5
1,8,27,1,12,16,2,0,12.5
1,9,24,2,12,4,4,0,12.5
1,12,8,27,16,2,1,0,12.5
1,1,27,4,48,4,4,0,12.5
1,12,4,3,2,36,8,0,12.5
0,1,12,8,9,6,16,0,90.28
1,16,1,6,216,1,4,0,12.5
0,1,3,96,1,48,6,0,90.28
1,6,12,3,64,1,6,0,12.5
1,1,2,216,24,4,2,0,12.5
1,36,6,1,48,8,1,0,12.5
1,16,81,2,2,1,16,0,12.5
1,36,2,6,8,4,6,0,12.5
1,3,3,32,8,12,3,0,12.5
1,6,8,27,8,2,4,0,12.5
1,48,9,1,4,6,8,0,12.5
1,12,2,27,4,1,32,0,12.5
1,6,3,6,48,2,8,0,12.5
1,216,2,2,8,6,2,0,12.5
1,3,4,8,18,8,6,0,12.5
1,2,4,36,16,1,18,0,12.5
1,4,4,6,24,9,4,0,12.5
1,1,6,72,4,2,24,0,12.5
1,9,3,24,16,1,8,0,12.5
1,9,3,12,4,2,32,0,12.5
0,1,72,2,48,2,6,0,90.28
1,4,54,1,16,1,24,0,12.5
1,2,8,9,8,72,1,0,12.5
