Kernel,gx,gy,gz,bx,by,gpuId,ipc
1,4,2,8,1,16,16,1,0.167147
1,1,16,4,4,8,8,1,0.167309
1,32,4,1,4,1,32,1,0.168197
1,16,1,4,64,2,2,1,0.167026
0,2,16,8,2,4,8,1,0.519875
1,64,1,1,4,8,8,1,0.167021
1,64,4,1,2,4,8,1,0.186889
1,4,16,4,2,1,32,1,0.186532
1,32,1,8,8,4,2,1,0.187157
1,2,1,8,32,32,1,1,0.190582
0,64,1,1,4,8,8,1,0.616769
1,8,2,2,2,128,2,1,0.175746
1,1,16,4,32,4,2,1,0.167051
1,2,256,1,1,16,2,1,0.551745
1,4,2,64,1,4,8,1,0.236572
1,8,1,8,128,1,2,1,0.167334
1,16,2,1,8,32,2,1,0.175316
0,1,4,4,64,1,16,1,0.608243
1,1,128,4,2,2,8,1,0.239363
1,1,256,1,4,4,4,1,0.186272
0,8,1,4,4,128,1,1,0.628865
0,1,1,32,64,8,1,1,0.592261
0,1,2,32,64,1,4,1,0.62378
1,64,1,1,4,4,16,1,0.167209
1,32,2,8,2,1,16,1,0.239078
1,32,1,8,2,32,1,1,0.187083
1,4,4,32,16,1,2,1,0.236167
1,64,1,4,16,1,4,1,0.186745
1,1,64,2,2,16,4,1,0.168013
1,2,2,4,256,4,1,1,0.190464
1,1,256,2,2,8,2,1,0.23957
0,2,4,64,8,2,2,1,0.432125
0,1,32,1,16,16,2,1,0.606461
0,1,8,4,2,8,32,1,0.62375
1,1,4,4,16,4,16,1,0.190794
1,2,16,2,16,4,4,1,0.167099
1,2,16,2,4,2,32,1,0.167014
1,1,2,64,16,8,1,1,0.167893
1,16,1,16,16,2,2,1,0.186565
1,1,64,4,8,4,2,1,0.186878
1,8,32,1,16,2,2,1,0.187228
1,64,2,1,32,2,2,1,0.168129
1,4,2,2,8,2,64,1,0.190536
0,2,16,2,4,2,32,1,0.654855
1,8,1,16,32,2,2,1,0.167787
1,4,8,8,16,2,2,1,0.186621
1,8,8,1,64,1,4,1,0.167193
1,1,2,256,2,8,2,1,0.236227
1,32,16,1,16,1,2,1,0.236148
1,64,1,2,8,8,2,1,0.168308
0,8,1,2,8,4,32,1,0.63363
1,1,64,1,2,4,32,1,0.167146
1,8,2,32,1,16,2,1,0.242861
1,4,4,8,2,64,1,1,0.167973
1,32,4,1,4,8,4,1,0.167911
1,16,4,8,2,8,2,1,0.241922
0,8,8,4,1,1,64,1,0.503501
1,1,8,32,2,8,4,1,0.187379
1,1,1,32,4,2,64,1,0.175936
1,4,32,1,1,2,64,1,0.363164
1,8,2,2,16,2,16,1,0.175687
0,2,1,256,4,4,2,1,0.43603
1,2,4,4,512,1,1,1,0.174967
1,8,2,4,128,1,2,1,0.16721
1,1,1,256,8,1,8,1,0.186748
1,4,1,16,32,4,2,1,0.167272
1,1,1,128,2,4,16,1,0.168008
1,2,128,1,8,8,1,1,0.186831
1,4,16,4,2,4,8,1,0.187025
1,32,1,4,1,16,8,1,0.168109
1,1,64,8,8,4,1,1,0.236995
1,8,8,2,16,1,8,1,0.168054
0,1,4,128,1,2,16,1,0.417648
0,4,4,1,4,64,4,1,0.613723
1,4,16,8,2,1,16,1,0.235746
1,32,4,1,64,1,2,1,0.169094
1,1,32,4,8,4,4,1,0.168224
1,64,1,1,2,64,2,1,0.166914
1,2,2,4,2,256,2,1,0.189969
1,2,1,16,4,2,64,1,0.175625
1,4,2,2,128,2,4,1,0.190372
1,4,32,1,4,4,8,1,0.167875
0,8,8,8,4,4,2,1,0.428064
0,4,64,2,1,4,8,1,0.409678
1,1,4,16,4,4,16,1,0.166972
1,2,64,1,4,2,16,1,0.168752
1,32,1,2,2,128,1,1,0.166981
1,1,1,16,8,16,8,1,0.190296
0,64,1,1,2,64,2,1,0.623864
1,16,8,2,16,1,4,1,0.186778
1,2,8,4,256,1,1,1,0.166899
1,32,4,1,8,16,1,1,0.16804
1,4,1,16,1,256,1,1,0.166991
1,1,4,4,4,256,1,1,0.190667
1,2,2,8,1,256,2,1,0.175308
1,128,1,1,2,32,2,1,0.168278
1,1,4,32,8,16,1,1,0.168435
1,32,4,4,16,2,1,1,0.239882
0,128,4,1,2,4,4,1,0.422156
1,4,4,4,16,4,4,1,0.167228
1,32,8,1,1,64,1,1,0.185992
1,1,8,2,256,1,4,1,0.190091
1,1,64,4,1,2,32,1,0.186706
1,16,1,16,2,2,16,1,0.186327
1,8,16,2,2,4,8,1,0.187038
1,2,4,2,128,8,1,1,0.190307
0,2,16,1,1,128,4,1,0.585594
1,8,1,64,16,2,1,1,0.240292
1,4,16,1,1,128,2,1,0.301724
1,2,128,1,8,4,2,1,0.186966
1,1,16,2,4,64,2,1,0.175723
1,4,1,16,2,64,2,1,0.166895
0,2,8,4,256,1,1,1,0.629426
1,16,16,1,16,2,2,1,0.18643
1,64,1,2,32,2,2,1,0.168519
1,1,2,64,64,2,1,1,0.167961
1,2,1,256,16,1,2,1,0.233784
1,128,1,2,16,1,4,1,0.187184
1,8,8,8,8,2,2,1,0.242983
1,1,32,16,2,16,1,1,0.239122
1,32,16,1,1,1,32,1,0.235477
1,2,16,8,2,4,8,1,0.186536
1,2,32,8,4,2,4,1,0.236396
1,1,32,1,128,4,1,1,0.175582
0,1,32,2,32,1,8,1,0.622771
1,1,4,16,4,32,2,1,0.167444
1,1,1,16,256,4,1,1,0.190435
1,2,2,8,4,128,1,1,0.175708
1,64,1,2,2,1,64,1,0.168749
1,8,1,32,2,1,32,1,0.186574
0,16,1,2,2,32,8,1,0.653816
1,16,1,1,16,2,32,1,0.190617
1,1,32,2,16,2,8,1,0.167264
