Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
0,4,2,4,2,16,16,0,0.343181
0,4,4,2,128,1,4,0,0.343238
0,8,2,8,1,4,32,0,0.347425
1,4,2,4,2,16,16,0,0.32314
0,2,32,8,1,32,1,0,0.77253
1,32,1,1,16,2,16,0,0.323265
1,1,4,128,1,16,2,0,0.768122
1,1,8,2,32,4,8,0,0.293192
1,2,16,2,1,16,16,0,0.335957
0,1,8,2,32,4,8,0,0.346369
1,2,128,2,1,32,1,0,0.767925
1,4,4,16,2,32,1,0,0.503228
1,2,64,2,4,8,2,0,0.5033
1,32,2,1,4,32,2,0,0.336188
1,64,4,2,2,16,1,0,0.767594
0,1,256,1,2,2,16,0,0.574671
0,2,4,4,512,1,1,0,0.343125
0,32,1,16,32,1,1,0,0.769825
0,1,32,1,8,4,16,0,0.342445
1,1,8,2,1,512,2,0,0.293778
1,4,2,8,1,128,2,0,0.336284
1,1,16,1,16,32,2,0,0.293384
1,4,64,2,4,8,1,0,0.761966
1,2,1,16,64,4,2,0,0.323301
1,8,2,1,8,16,8,0,0.293737
1,8,4,2,2,16,8,0,0.335767
1,4,2,2,2,512,1,0,0.293228
0,16,4,4,2,2,16,0,0.577408
0,1,2,8,8,64,2,0,0.346673
0,4,64,1,16,4,1,0,0.576393
1,2,1,32,1,16,16,0,0.33608
0,1,16,4,1,16,16,0,0.344663
1,64,1,1,16,1,16,0,0.336142
1,2,128,1,1,32,2,0,0.529171
0,4,4,2,64,1,8,0,0.342981
0,128,1,2,2,1,32,0,0.576989
1,2,4,32,32,1,2,0,0.503135
1,128,2,1,1,2,32,0,0.512835
1,8,2,8,1,64,2,0,0.339844
1,1,8,2,1,16,64,0,0.292005
1,4,8,4,1,64,2,0,0.339834
1,8,1,4,1,8,64,0,0.323352
1,8,32,1,8,4,2,0,0.503318
1,16,1,2,2,128,2,0,0.323409
1,1,16,2,64,2,4,0,0.323519
0,2,4,2,32,16,2,0,0.347021
1,8,2,1,8,64,2,0,0.292029
1,16,32,1,1,32,1,0,0.767983
1,16,1,16,16,2,2,0,0.503299
1,4,8,16,1,1,32,0,0.765314
1,2,8,4,16,2,8,0,0.336704
1,2,128,1,8,4,2,0,0.503333
1,2,2,16,64,2,2,0,0.336663
1,4,8,1,32,1,16,0,0.323293
1,4,2,4,2,8,32,0,0.323867
1,8,2,8,16,1,8,0,0.339872
0,4,4,32,1,32,1,0,0.770845
1,16,1,1,16,1,64,0,0.290262
0,8,8,1,1,16,16,0,0.345194
1,1,1,32,512,1,1,0,0.323287
0,8,2,32,8,4,1,0,0.773858
1,16,1,4,8,2,16,0,0.336909
0,4,2,4,8,1,64,0,0.343833
1,2,16,1,1,8,64,0,0.322954
1,1,8,2,256,1,4,0,0.289296
1,1,2,64,32,1,4,0,0.340076
1,1,64,8,2,4,4,0,0.765478
