Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  64,  3,  1,  48,  4, 0 , 67.02 
 1, 48,  2,  4,  16,  3,  2, 0 , 94.77 
 0, 32,  3,  1,  16,  6,  4, 0 , 68.3 
 1, 4,  48,  3,  16,  1,  4, 0 , 95.09 
 1, 4,  1,  288,  4,  2,  4, 0 , 99.38 
 1, 3,  64,  2,  8,  1,  12, 0 , 94.24 
 1, 1,  64,  3,  1,  48,  4, 0 , 87.22 
 0, 24,  8,  1,  1,  16,  12, 0 , 67.28 
 0, 4,  2,  6,  2,  384,  1, 0 , 68.85 
 0, 6,  2,  96,  1,  32,  1, 0 , 76.06 
 1, 6,  16,  4,  1,  48,  2, 0 , 89.39 
 0, 4,  6,  4,  2,  32,  6, 0 , 68.06 
 0, 24,  8,  6,  2,  8,  2, 0 , 75.83 
 0, 1,  4,  24,  12,  2,  16, 0 , 68.64 
 0, 3,  24,  4,  16,  8,  1, 0 , 65.46 
 0, 6,  24,  1,  4,  2,  32, 0 , 67.68 
 0, 12,  4,  4,  32,  2,  3, 0 , 66.27 
 0, 4,  16,  2,  4,  3,  24, 0 , 66.93 
 0, 8,  12,  2,  16,  12,  1, 0 , 65.97 
 0, 96,  1,  1,  8,  1,  48, 0 , 68.13 
 0, 1,  32,  6,  6,  1,  32, 0 , 67.3 
 0, 32,  1,  6,  1,  64,  3, 0 , 67.54 
 0, 3,  1,  16,  6,  4,  32, 0 , 68.91 
 0, 6,  1,  16,  1,  192,  2, 0 , 68.0 
 0, 6,  8,  3,  16,  8,  2, 0 , 67.17 
 0, 4,  48,  6,  4,  4,  2, 0 , 76.31 
 0, 4,  16,  2,  18,  4,  4, 0 , 67.72 
 0, 12,  4,  1,  8,  96,  1, 0 , 68.42 
 0, 6,  2,  8,  8,  16,  3, 0 , 67.76 
 0, 1,  2,  192,  16,  2,  3, 0 , 69.66 
 0, 1,  32,  2,  8,  6,  12, 0 , 66.5 
 0, 2,  2,  9,  32,  2,  16, 0 , 68.06 
 1, 1,  24,  4,  4,  8,  12, 0 , 94.61 
 0, 96,  2,  2,  1,  48,  2, 0 , 68.97 
 0, 1,  32,  2,  24,  1,  24, 0 , 65.97 
 0, 16,  6,  1,  2,  96,  2, 0 , 68.11 
 0, 2,  48,  1,  1,  128,  3, 0 , 67.38 
 0, 18,  64,  1,  1,  2,  16, 0 , 76.32 
 0, 72,  1,  4,  4,  16,  2, 0 , 66.29 
 0, 16,  1,  4,  32,  2,  9, 0 , 66.23 
 1, 3,  2,  12,  1,  512,  1, 0 , 87.56 
 0, 4,  72,  4,  32,  1,  1, 0 , 75.81 
 1, 6,  4,  2,  32,  24,  1, 0 , 95.41 
 1, 2,  4,  16,  12,  12,  2, 0 , 93.83 
 0, 32,  1,  9,  4,  1,  32, 0 , 66.21 
 0, 144,  1,  1,  2,  32,  4, 0 , 67.32 
 0, 9,  4,  1,  32,  32,  1, 0 , 67.76 
 0, 48,  4,  1,  64,  3,  1, 0 , 66.18 
 0, 12,  2,  2,  96,  4,  2, 0 , 69.49 
 1, 4,  96,  1,  16,  1,  6, 0 , 94.35 
 1, 3,  8,  16,  8,  6,  2, 0 , 94.6 
 0, 18,  32,  1,  1,  16,  4, 0 , 70.54 
 1, 3,  24,  4,  16,  8,  1, 0 , 90.88 
 1, 2,  8,  8,  3,  6,  16, 0 , 88.25 
 1, 4,  8,  3,  12,  16,  2, 0 , 87.18 
 0, 3,  8,  8,  6,  8,  4, 0 , 67.15 
 0, 4,  32,  1,  24,  1,  12, 0 , 67.11 
 0, 2,  2,  18,  2,  32,  8, 0 , 67.56 
 0, 2,  24,  3,  2,  2,  64, 0 , 67.59 
 1, 2,  1,  64,  1,  48,  6, 0 , 94.4 
 0, 1,  18,  8,  32,  8,  1, 0 , 67.32 
 1, 6,  1,  16,  64,  1,  6, 0 , 86.33 
 0, 8,  2,  3,  2,  12,  32, 0 , 69.03 
 0, 9,  64,  2,  4,  1,  8, 0 , 76.24 
 0, 36,  2,  1,  4,  8,  16, 0 , 68.7 
 1, 24,  2,  1,  8,  12,  8, 0 , 95.18 
 1, 6,  12,  8,  1,  1,  64, 0 , 94.1 
 0, 144,  1,  8,  1,  2,  16, 0 , 76.74 
 0, 6,  3,  2,  4,  64,  4, 0 , 68.18 
 1, 12,  8,  4,  6,  4,  4, 0 , 94.28 
 1, 2,  12,  6,  16,  1,  16, 0 , 96.68 
 0, 1,  4,  9,  2,  8,  64, 0 , 68.61 
 1, 1,  12,  6,  8,  1,  64, 0 , 86.91 
 1, 8,  1,  8,  3,  3,  64, 0 , 91.23 
 1, 8,  16,  3,  6,  2,  8, 0 , 91.79 
 0, 1,  4,  24,  64,  3,  2, 0 , 68.61 
 0, 24,  2,  1,  6,  32,  4, 0 , 69.42 
 1, 4,  1,  16,  18,  16,  2, 0 , 88.91 
 0, 6,  2,  8,  2,  96,  2, 0 , 67.78 
 1, 1,  4,  72,  32,  1,  4, 0 , 92.55 
 0, 144,  1,  2,  64,  2,  1, 0 , 66.47 
 0, 6,  16,  4,  3,  4,  8, 0 , 68.43 
 0, 12,  4,  2,  1,  96,  4, 0 , 67.75 
 1, 3,  4,  4,  2,  16,  24, 0 , 95.76 
 1, 4,  12,  1,  32,  3,  8, 0 , 96.36 
 0, 3,  16,  1,  2,  24,  16, 0 , 69.54 
 0, 36,  4,  8,  1,  4,  8, 0 , 76.36 
