Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
0,8,2,4,2,32,1,0,41.46
1,2,64,1,1,16,2,0,4.5
1,8,1,4,32,4,1,0,6.24
1,4,4,1,32,8,1,0,15.78
0,1,4,4,32,2,4,0,40.16
1,1,1,64,32,1,2,0,4.1
0,2,2,8,8,8,2,0,41.24
1,8,2,2,4,4,8,0,6.38
1,1,64,2,4,4,2,0,3.53
1,1,1,4,128,8,1,0,67.08
1,1,4,16,1,4,16,0,4.68
1,16,4,2,2,1,16,0,3.67
1,1,64,2,8,4,1,0,3.68
1,2,16,4,8,1,4,0,3.75
1,2,2,2,8,16,4,0,35.05
1,1,2,32,32,2,1,0,4.16
1,2,16,4,4,4,2,0,4.2
0,1,64,2,4,4,2,0,40.79
0,2,8,2,4,4,8,0,40.85
1,2,1,64,4,2,4,0,4.27
1,1,32,4,4,8,1,0,3.5
1,1,2,64,4,2,4,0,3.41
1,4,2,2,2,8,16,0,15.47
1,16,1,8,16,2,1,0,3.38
1,2,4,1,1,256,2,0,35.02
0,1,2,64,4,2,4,0,40.97
1,2,4,1,2,128,2,0,34.89
1,4,2,8,8,1,8,0,3.11
1,4,2,4,32,4,1,0,6.05
1,2,8,4,16,4,1,0,3.5
1,8,1,8,1,32,2,0,3.44
1,32,1,1,4,16,2,0,6.72
1,1,4,1,128,4,2,0,67.13
0,2,8,2,1,4,32,0,40.07
1,4,1,4,8,32,1,0,15.55
1,2,4,1,1,64,8,0,34.87
1,32,1,2,4,8,2,0,4.07
1,16,1,1,1,64,4,0,15.55
1,4,1,1,2,16,32,0,67.11
1,16,4,1,1,2,32,0,4.09
1,32,1,1,32,2,2,0,6.12
1,1,64,1,1,16,4,0,4.18
1,2,1,16,8,16,1,0,6.12
1,32,1,1,64,1,2,0,6.39
1,4,1,4,32,4,2,0,15.66
1,1,4,1,32,32,1,0,67.12
1,2,1,2,16,4,16,0,67.19
1,2,8,1,2,8,16,0,15.76
0,1,4,8,16,2,4,0,40.15
1,2,4,16,4,4,2,0,3.75
1,1,64,2,4,1,8,0,3.15
1,8,16,1,4,2,4,0,3.5
