gx,gy,gz,bx,by,bz,gpuId,smefficiency  
1,1,32768,32,1,1,0,97.1 
1,2,16384,32,1,1,0,97.31 
1,4,8192,32,1,1,0,97.31 
1,8,4096,32,1,1,0,97.42 
1,16,2048,32,1,1,0,97.04 
1,32,1024,32,1,1,0,97.62 
1,64,512,32,1,1,0,97.26 
1,128,256,32,1,1,0,97.2 
1,256,128,32,1,1,0,97.09 
1,512,64,32,1,1,0,97.23 
1,1024,32,32,1,1,0,97.14 
1,2048,16,32,1,1,0,97.51 
1,4096,8,32,1,1,0,97.16 
1,8192,4,32,1,1,0,97.54 
1,16384,2,32,1,1,0,97.44 
1,32768,1,32,1,1,0,97.06 
2,1,16384,32,1,1,0,97.42 
2,2,8192,32,1,1,0,97.09 
2,4,4096,32,1,1,0,97.21 
2,8,2048,32,1,1,0,97.35 
2,16,1024,32,1,1,0,97.23 
2,32,512,32,1,1,0,97.33 
2,64,256,32,1,1,0,97.35 
2,128,128,32,1,1,0,97.59 
2,256,64,32,1,1,0,97.32 
2,512,32,32,1,1,0,96.91 
2,1024,16,32,1,1,0,97.05 
2,2048,8,32,1,1,0,97.36 
2,4096,4,32,1,1,0,97.19 
2,8192,2,32,1,1,0,97.28 
2,16384,1,32,1,1,0,97.51 
4,1,8192,32,1,1,0,97.28 
4,2,4096,32,1,1,0,97.33 
4,4,2048,32,1,1,0,97.27 
4,8,1024,32,1,1,0,97.38 
4,16,512,32,1,1,0,97.43 
4,32,256,32,1,1,0,96.96 
4,64,128,32,1,1,0,97.33 
4,128,64,32,1,1,0,97.12 
4,256,32,32,1,1,0,97.47 
4,512,16,32,1,1,0,96.94 
4,1024,8,32,1,1,0,97.32 
4,2048,4,32,1,1,0,97.32 
4,4096,2,32,1,1,0,97.48 
4,8192,1,32,1,1,0,96.87 
8,1,4096,32,1,1,0,97.13 
8,2,2048,32,1,1,0,96.75 
8,4,1024,32,1,1,0,96.82 
8,8,512,32,1,1,0,97.11 
8,16,256,32,1,1,0,97.01 
8,32,128,32,1,1,0,96.99 
8,64,64,32,1,1,0,97.38 
8,128,32,32,1,1,0,97.2 
8,256,16,32,1,1,0,97.25 
8,512,8,32,1,1,0,97.39 
8,1024,4,32,1,1,0,96.98 
8,2048,2,32,1,1,0,97.0 
8,4096,1,32,1,1,0,96.95 
16,1,2048,32,1,1,0,96.91 
16,2,1024,32,1,1,0,97.05 
16,4,512,32,1,1,0,97.17 
16,8,256,32,1,1,0,96.86 
16,16,128,32,1,1,0,97.01 
16,32,64,32,1,1,0,96.9 
16,64,32,32,1,1,0,96.94 
16,128,16,32,1,1,0,97.04 
16,256,8,32,1,1,0,97.06 
16,512,4,32,1,1,0,97.01 
16,1024,2,32,1,1,0,96.77 
16,2048,1,32,1,1,0,97.0 
32,1,1024,32,1,1,0,97.19 
32,2,512,32,1,1,0,97.18 
32,4,256,32,1,1,0,97.02 
32,8,128,32,1,1,0,97.1 
32,16,64,32,1,1,0,96.74 
32,32,32,32,1,1,0,96.59 
32,64,16,32,1,1,0,97.02 
32,128,8,32,1,1,0,96.88 
32,256,4,32,1,1,0,96.97 
32,512,2,32,1,1,0,97.01 
32,1024,1,32,1,1,0,97.18 
64,1,512,32,1,1,0,97.22 
64,2,256,32,1,1,0,96.97 
64,4,128,32,1,1,0,96.75 
64,8,64,32,1,1,0,96.81 
64,16,32,32,1,1,0,96.97 
64,32,16,32,1,1,0,96.9 
64,64,8,32,1,1,0,97.2 
64,128,4,32,1,1,0,97.0 
64,256,2,32,1,1,0,96.93 
64,512,1,32,1,1,0,96.78 
128,1,256,32,1,1,0,97.24 
128,2,128,32,1,1,0,96.76 
128,4,64,32,1,1,0,96.7 
128,8,32,32,1,1,0,96.86 
128,16,16,32,1,1,0,96.86 
128,32,8,32,1,1,0,97.07 
128,64,4,32,1,1,0,97.02 
128,128,2,32,1,1,0,97.31 
128,256,1,32,1,1,0,97.47 
256,1,128,32,1,1,0,97.32 
256,2,64,32,1,1,0,97.15 
256,4,32,32,1,1,0,97.12 
256,8,16,32,1,1,0,97.25 
256,16,8,32,1,1,0,96.92 
256,32,4,32,1,1,0,97.18 
256,64,2,32,1,1,0,97.18 
256,128,1,32,1,1,0,97.12 
512,1,64,32,1,1,0,97.26 
512,2,32,32,1,1,0,97.14 
512,4,16,32,1,1,0,96.75 
512,8,8,32,1,1,0,97.09 
512,16,4,32,1,1,0,97.07 
512,32,2,32,1,1,0,96.88 
512,64,1,32,1,1,0,97.15 
1024,1,32,32,1,1,0,97.31 
1024,2,16,32,1,1,0,97.18 
1024,4,8,32,1,1,0,97.11 
1024,8,4,32,1,1,0,96.98 
1024,16,2,32,1,1,0,96.89 
1024,32,1,32,1,1,0,97.03 
2048,1,16,32,1,1,0,96.88 
2048,2,8,32,1,1,0,97.02 
2048,4,4,32,1,1,0,97.09 
2048,8,2,32,1,1,0,97.25 
2048,16,1,32,1,1,0,97.1 
4096,1,8,32,1,1,0,97.07 
4096,2,4,32,1,1,0,96.93 
4096,4,2,32,1,1,0,97.03 
4096,8,1,32,1,1,0,97.05 
8192,1,4,32,1,1,0,97.07 
8192,2,2,32,1,1,0,96.39 
8192,4,1,32,1,1,0,97.11 
16384,1,2,32,1,1,0,97.19 
16384,2,1,32,1,1,0,97.22 
32768,1,1,32,1,1,0,96.89 
1,1,16384,64,1,1,0,61.21 
1,2,8192,64,1,1,0,61.38 
1,4,4096,64,1,1,0,61.43 
1,8,2048,64,1,1,0,61.21 
1,16,1024,64,1,1,0,61.16 
1,32,512,64,1,1,0,61.15 
1,64,256,64,1,1,0,61.32 
1,128,128,64,1,1,0,61.4 
1,256,64,64,1,1,0,61.25 
1,512,32,64,1,1,0,61.29 
1,1024,16,64,1,1,0,61.27 
1,2048,8,64,1,1,0,61.4 
1,4096,4,64,1,1,0,61.21 
1,8192,2,64,1,1,0,61.35 
1,16384,1,64,1,1,0,61.09 
2,1,8192,64,1,1,0,61.34 
2,2,4096,64,1,1,0,61.46 
2,4,2048,64,1,1,0,61.31 
2,8,1024,64,1,1,0,61.22 
2,16,512,64,1,1,0,61.3 
2,32,256,64,1,1,0,61.31 
2,64,128,64,1,1,0,61.29 
2,128,64,64,1,1,0,61.34 
2,256,32,64,1,1,0,61.2 
2,512,16,64,1,1,0,61.26 
2,1024,8,64,1,1,0,61.31 
2,2048,4,64,1,1,0,61.25 
2,4096,2,64,1,1,0,61.33 
2,8192,1,64,1,1,0,61.3 
4,1,4096,64,1,1,0,61.3 
4,2,2048,64,1,1,0,61.28 
4,4,1024,64,1,1,0,61.26 
4,8,512,64,1,1,0,61.29 
4,16,256,64,1,1,0,61.32 
4,32,128,64,1,1,0,61.4 
4,64,64,64,1,1,0,61.31 
4,128,32,64,1,1,0,61.31 
4,256,16,64,1,1,0,61.27 
4,512,8,64,1,1,0,61.27 
4,1024,4,64,1,1,0,61.43 
4,2048,2,64,1,1,0,61.35 
4,4096,1,64,1,1,0,61.26 
8,1,2048,64,1,1,0,61.37 
8,2,1024,64,1,1,0,61.29 
8,4,512,64,1,1,0,61.24 
8,8,256,64,1,1,0,61.31 
8,16,128,64,1,1,0,61.23 
8,32,64,64,1,1,0,61.31 
8,64,32,64,1,1,0,61.32 
8,128,16,64,1,1,0,61.36 
8,256,8,64,1,1,0,61.41 
8,512,4,64,1,1,0,61.38 
8,1024,2,64,1,1,0,61.17 
8,2048,1,64,1,1,0,61.31 
16,1,1024,64,1,1,0,61.21 
16,2,512,64,1,1,0,61.33 
16,4,256,64,1,1,0,61.23 
16,8,128,64,1,1,0,61.28 
16,16,64,64,1,1,0,61.2 
16,32,32,64,1,1,0,61.26 
16,64,16,64,1,1,0,61.37 
16,128,8,64,1,1,0,61.31 
16,256,4,64,1,1,0,61.36 
16,512,2,64,1,1,0,61.31 
16,1024,1,64,1,1,0,61.23 
32,1,512,64,1,1,0,61.14 
32,2,256,64,1,1,0,61.23 
32,4,128,64,1,1,0,61.42 
32,8,64,64,1,1,0,61.23 
32,16,32,64,1,1,0,61.23 
32,32,16,64,1,1,0,61.37 
32,64,8,64,1,1,0,61.31 
32,128,4,64,1,1,0,61.23 
32,256,2,64,1,1,0,61.38 
32,512,1,64,1,1,0,61.31 
64,1,256,64,1,1,0,61.38 
64,2,128,64,1,1,0,61.35 
64,4,64,64,1,1,0,61.37 
64,8,32,64,1,1,0,61.37 
64,16,16,64,1,1,0,61.41 
64,32,8,64,1,1,0,61.4 
64,64,4,64,1,1,0,61.29 
64,128,2,64,1,1,0,61.17 
64,256,1,64,1,1,0,61.26 
128,1,128,64,1,1,0,61.32 
128,2,64,64,1,1,0,61.24 
128,4,32,64,1,1,0,61.28 
128,8,16,64,1,1,0,61.35 
128,16,8,64,1,1,0,61.47 
128,32,4,64,1,1,0,61.21 
