gx,gy,gz,bx,by,bz,smefficiency
2,1024,4,32,1,1,58.87
2,1024,4,16,2,1,58.21
2,1024,4,8,4,1,58.32
2,1024,4,4,8,1,58.85
2,1024,4,2,16,1,58.29
2,1024,4,1,32,1,58.32
2,1024,4,16,1,2,58.37
2,1024,4,8,2,2,58.75
2,1024,4,4,4,2,57.96
2,1024,4,2,8,2,58.02
2,1024,4,1,16,2,58.11
2,1024,4,8,1,4,58.3
2,1024,4,4,2,4,58.44
2,1024,4,2,4,4,58.41
2,1024,4,1,8,4,58.37
2,1024,4,4,1,8,58.69
2,1024,4,2,2,8,58.31
2,1024,4,1,4,8,58.17
2,1024,4,2,1,16,58.53
2,1024,4,1,2,16,58.3
2,1024,4,1,1,32,58.41

2,1024,4,32,1,1,58.61
2,1024,4,16,2,1,58.74
2,1024,4,8,4,1,58.54
2,1024,4,4,8,1,58.15
2,1024,4,2,16,1,58.22
2,1024,4,1,32,1,58.5
2,1024,4,16,1,2,58.68
2,1024,4,8,2,2,58.48
2,1024,4,4,4,2,58.43
2,1024,4,2,8,2,58.65
2,1024,4,1,16,2,58.74
2,1024,4,8,1,4,58.0
2,1024,4,4,2,4,58.66
2,1024,4,2,4,4,58.24
2,1024,4,1,8,4,58.3
2,1024,4,4,1,8,58.6
2,1024,4,2,2,8,58.57
2,1024,4,1,4,8,57.97
2,1024,4,2,1,16,58.6
2,1024,4,1,2,16,58.79
2,1024,4,1,1,32,58.25

2,1024,4,32,1,1,58.53
2,1024,4,16,2,1,58.58
2,1024,4,8,4,1,58.5
2,1024,4,4,8,1,58.34
2,1024,4,2,16,1,58.26
2,1024,4,1,32,1,58.43
2,1024,4,16,1,2,58.29
2,1024,4,8,2,2,57.94
2,1024,4,4,4,2,58.4
2,1024,4,2,8,2,58.7
2,1024,4,1,16,2,58.37
2,1024,4,8,1,4,58.48
2,1024,4,4,2,4,58.4
2,1024,4,2,4,4,57.83
2,1024,4,1,8,4,58.23
2,1024,4,4,1,8,58.63
2,1024,4,2,2,8,58.38
2,1024,4,1,4,8,58.27
2,1024,4,2,1,16,58.26
2,1024,4,1,2,16,58.03
2,1024,4,1,1,32,58.47

2,1024,4,32,1,1,57.83
2,1024,4,16,2,1,58.4
2,1024,4,8,4,1,58.35
2,1024,4,4,8,1,58.69
2,1024,4,2,16,1,58.46
2,1024,4,1,32,1,58.63
2,1024,4,16,1,2,58.2
2,1024,4,8,2,2,58.46
2,1024,4,4,4,2,58.55
2,1024,4,2,8,2,58.65
2,1024,4,1,16,2,58.68
2,1024,4,8,1,4,58.5
2,1024,4,4,2,4,58.84
2,1024,4,2,4,4,58.33
2,1024,4,1,8,4,58.22
2,1024,4,4,1,8,58.44
2,1024,4,2,2,8,58.3
2,1024,4,1,4,8,58.18
2,1024,4,2,1,16,58.2
2,1024,4,1,2,16,58.29
2,1024,4,1,1,32,57.97

2,1024,4,32,1,1,58.44
2,1024,4,16,2,1,58.25
2,1024,4,8,4,1,58.26
2,1024,4,4,8,1,58.35
2,1024,4,2,16,1,58.33
2,1024,4,1,32,1,58.49
2,1024,4,16,1,2,58.03
2,1024,4,8,2,2,58.75
2,1024,4,4,4,2,58.9
2,1024,4,2,8,2,58.96
2,1024,4,1,16,2,58.87
2,1024,4,8,1,4,58.57
2,1024,4,4,2,4,58.44
2,1024,4,2,4,4,58.41
2,1024,4,1,8,4,58.38
2,1024,4,4,1,8,58.6
2,1024,4,2,2,8,58.21
2,1024,4,1,4,8,58.44
2,1024,4,2,1,16,58.03
2,1024,4,1,2,16,58.77
2,1024,4,1,1,32,58.69

2,1024,4,32,1,1,58.43
2,1024,4,16,2,1,57.91
2,1024,4,8,4,1,57.79
2,1024,4,4,8,1,58.73
2,1024,4,2,16,1,58.56
2,1024,4,1,32,1,58.71
2,1024,4,16,1,2,58.67
2,1024,4,8,2,2,58.28
2,1024,4,4,4,2,58.47
2,1024,4,2,8,2,58.5
2,1024,4,1,16,2,58.21
2,1024,4,8,1,4,58.32
2,1024,4,4,2,4,58.19
2,1024,4,2,4,4,58.42
2,1024,4,1,8,4,58.61
2,1024,4,4,1,8,58.18
2,1024,4,2,2,8,58.38
2,1024,4,1,4,8,58.63
2,1024,4,2,1,16,58.67
2,1024,4,1,2,16,58.41
2,1024,4,1,1,32,57.81

2,1024,4,32,1,1,57.48
2,1024,4,16,2,1,57.97
2,1024,4,8,4,1,58.31
2,1024,4,4,8,1,57.73
2,1024,4,2,16,1,58.87
2,1024,4,1,32,1,58.22
2,1024,4,16,1,2,58.36
2,1024,4,8,2,2,58.91
2,1024,4,4,4,2,58.84
2,1024,4,2,8,2,57.46
2,1024,4,1,16,2,57.67
2,1024,4,8,1,4,58.21
2,1024,4,4,2,4,58.71
2,1024,4,2,4,4,58.38
2,1024,4,1,8,4,58.53
2,1024,4,4,1,8,58.2
2,1024,4,2,2,8,58.29
2,1024,4,1,4,8,58.48
2,1024,4,2,1,16,58.63
2,1024,4,1,2,16,58.84
2,1024,4,1,1,32,57.97

2,1024,4,32,1,1,57.8
2,1024,4,16,2,1,58.98
2,1024,4,8,4,1,58.52
2,1024,4,4,8,1,56.93
2,1024,4,2,16,1,58.91
2,1024,4,1,32,1,57.33
2,1024,4,16,1,2,58.21
2,1024,4,8,2,2,59.02
2,1024,4,4,4,2,58.64
2,1024,4,2,8,2,58.77
2,1024,4,1,16,2,58.63
2,1024,4,8,1,4,58.89
2,1024,4,4,2,4,58.72
2,1024,4,2,4,4,58.27
2,1024,4,1,8,4,58.3
2,1024,4,4,1,8,57.22
2,1024,4,2,2,8,58.41
2,1024,4,1,4,8,58.3
2,1024,4,2,1,16,58.62
2,1024,4,1,2,16,57.97
2,1024,4,1,1,32,58.17

2,1024,4,32,1,1,57.94
2,1024,4,16,2,1,58.57
2,1024,4,8,4,1,58.88
2,1024,4,4,8,1,58.05
2,1024,4,2,16,1,58.61
2,1024,4,1,32,1,58.54
2,1024,4,16,1,2,58.53
2,1024,4,8,2,2,57.34
2,1024,4,4,4,2,57.21
2,1024,4,2,8,2,58.7
2,1024,4,1,16,2,58.07
2,1024,4,8,1,4,58.39
2,1024,4,4,2,4,58.09
2,1024,4,2,4,4,58.26
2,1024,4,1,8,4,58.33
2,1024,4,4,1,8,58.17
2,1024,4,2,2,8,58.43
2,1024,4,1,4,8,58.42
2,1024,4,2,1,16,58.55
2,1024,4,1,2,16,58.64
2,1024,4,1,1,32,57.97

2,1024,4,32,1,1,58.37
2,1024,4,16,2,1,58.61
2,1024,4,8,4,1,58.68
2,1024,4,4,8,1,58.26
2,1024,4,2,16,1,58.91
2,1024,4,1,32,1,58.52
2,1024,4,16,1,2,58.63
2,1024,4,8,2,2,58.71
2,1024,4,4,4,2,58.42
2,1024,4,2,8,2,57.8
2,1024,4,1,16,2,58.63
2,1024,4,8,1,4,58.57
2,1024,4,4,2,4,58.5
2,1024,4,2,4,4,58.31
