gx,gy,gz,bx,by,bz,funcId,smefficiency 
1,1,8192,32,1,1,12,58.32 
1,2,4096,32,1,1,28,58.01 
1,4,2048,32,1,1,28,58.13 
1,8,1024,32,1,1,28,57.69 
1,16,512,32,1,1,28,58.2 
1,32,256,32,1,1,28,57.66 
1,64,128,32,1,1,28,58.38 
1,128,64,32,1,1,28,58.1 
1,256,32,32,1,1,28,58.27 
1,512,16,32,1,1,28,57.53 
1,1024,8,32,1,1,28,57.45 
1,2048,4,32,1,1,28,57.65 
1,4096,2,32,1,1,28,57.73 
1,8192,1,32,1,1,20,58.48 
2,1,4096,32,1,1,44,57.52 
2,2,2048,32,1,1,60,58.23 
2,4,1024,32,1,1,60,57.47 
2,8,512,32,1,1,60,58.11 
2,16,256,32,1,1,60,58.34 
2,32,128,32,1,1,60,58.22 
2,64,64,32,1,1,60,58.05 
2,128,32,32,1,1,60,58.24 
2,256,16,32,1,1,60,58.21 
2,512,8,32,1,1,60,58.47 
2,1024,4,32,1,1,60,57.3 
2,2048,2,32,1,1,60,57.39 
2,4096,1,32,1,1,52,57.57 
4,1,2048,32,1,1,44,58.36 
4,2,1024,32,1,1,60,57.54 
4,4,512,32,1,1,60,57.66 
4,8,256,32,1,1,60,57.64 
4,16,128,32,1,1,60,58.25 
4,32,64,32,1,1,60,57.75 
4,64,32,32,1,1,60,58.0 
4,128,16,32,1,1,60,58.1 
4,256,8,32,1,1,60,58.53 
4,512,4,32,1,1,60,58.03 
4,1024,2,32,1,1,60,58.14 
4,2048,1,32,1,1,52,58.29 
8,1,1024,32,1,1,44,57.88 
8,2,512,32,1,1,60,58.49 
8,4,256,32,1,1,60,57.88 
8,8,128,32,1,1,60,58.37 
8,16,64,32,1,1,60,58.04 
8,32,32,32,1,1,60,58.14 
8,64,16,32,1,1,60,57.64 
8,128,8,32,1,1,60,57.52 
8,256,4,32,1,1,60,57.83 
8,512,2,32,1,1,60,57.5 
8,1024,1,32,1,1,52,58.45 
16,1,512,32,1,1,44,57.85 
16,2,256,32,1,1,60,58.0 
16,4,128,32,1,1,60,58.56 
16,8,64,32,1,1,60,57.89 
16,16,32,32,1,1,60,58.19 
16,32,16,32,1,1,60,58.4 
16,64,8,32,1,1,60,57.85 
16,128,4,32,1,1,60,57.84 
16,256,2,32,1,1,60,57.66 
16,512,1,32,1,1,52,57.75 
32,1,256,32,1,1,44,57.96 
32,2,128,32,1,1,60,58.75 
32,4,64,32,1,1,60,58.21 
32,8,32,32,1,1,60,57.52 
32,16,16,32,1,1,60,57.66 
32,32,8,32,1,1,60,58.33 
32,64,4,32,1,1,60,57.94 
32,128,2,32,1,1,60,58.42 
32,256,1,32,1,1,52,57.81 
64,1,128,32,1,1,44,58.06 
64,2,64,32,1,1,60,58.36 
64,4,32,32,1,1,60,58.24 
64,8,16,32,1,1,60,58.17 
64,16,8,32,1,1,60,57.81 
64,32,4,32,1,1,60,58.24 
64,64,2,32,1,1,60,58.19 
64,128,1,32,1,1,52,57.66 
128,1,64,32,1,1,44,58.2 
128,2,32,32,1,1,60,58.21 
128,4,16,32,1,1,60,58.17 
128,8,8,32,1,1,60,58.16 
128,16,4,32,1,1,60,57.95 
128,32,2,32,1,1,60,55.67 
128,64,1,32,1,1,52,57.66 
256,1,32,32,1,1,44,57.68 
256,2,16,32,1,1,60,57.69 
256,4,8,32,1,1,60,57.36 
256,8,4,32,1,1,60,57.67 
256,16,2,32,1,1,60,57.69 
256,32,1,32,1,1,52,57.8 
512,1,16,32,1,1,44,57.55 
512,2,8,32,1,1,60,57.55 
512,4,4,32,1,1,60,57.35 
512,8,2,32,1,1,60,57.53 
512,16,1,32,1,1,52,58.35 
1024,1,8,32,1,1,44,57.91 
1024,2,4,32,1,1,60,57.28 
1024,4,2,32,1,1,60,57.87 
1024,8,1,32,1,1,52,57.39 
2048,1,4,32,1,1,44,57.6 
2048,2,2,32,1,1,60,58.13 
2048,4,1,32,1,1,52,58.17 
4096,1,2,32,1,1,44,57.65 
4096,2,1,32,1,1,52,58.71 
8192,1,1,32,1,1,36,57.45 
1,1,4096,64,1,1,12,32.35 
1,2,2048,64,1,1,28,32.15 
1,4,1024,64,1,1,28,32.34 
1,8,512,64,1,1,28,32.07 
1,16,256,64,1,1,28,32.39 
1,32,128,64,1,1,28,32.43 
1,64,64,64,1,1,28,31.74 
1,128,32,64,1,1,28,32.5 
1,256,16,64,1,1,28,32.23 
1,512,8,64,1,1,28,32.36 
1,1024,4,64,1,1,28,32.12 
1,2048,2,64,1,1,28,32.07 
1,4096,1,64,1,1,20,32.03 
2,1,2048,64,1,1,44,32.01 
2,2,1024,64,1,1,60,32.0 
2,4,512,64,1,1,60,32.24 
2,8,256,64,1,1,60,32.13 
2,16,128,64,1,1,60,32.16 
2,32,64,64,1,1,60,32.15 
2,64,32,64,1,1,60,32.14 
2,128,16,64,1,1,60,32.31 
2,256,8,64,1,1,60,32.22 
2,512,4,64,1,1,60,32.2 
