gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,1,8192,32,1,1,0,57.74
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,2,4096,32,1,1,0,57.92
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,4,2048,32,1,1,0,57.88
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,8,1024,32,1,1,0,57.96
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,16,512,32,1,1,0,58.82
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,32,256,32,1,1,0,57.65
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,64,128,32,1,1,0,57.7
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,128,64,32,1,1,0,58.09
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,256,32,32,1,1,0,58.07
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,512,16,32,1,1,0,58.06
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,1024,8,32,1,1,0,58.0
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,2048,4,32,1,1,0,58.04
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,4096,2,32,1,1,0,57.77
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,8192,1,32,1,1,0,58.02
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,1,4096,32,1,1,0,57.66
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,2,2048,32,1,1,0,57.93
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,4,1024,32,1,1,0,57.82
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,8,512,32,1,1,0,57.93
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,16,256,32,1,1,0,58.01
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,32,128,32,1,1,0,57.86
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,64,64,32,1,1,0,57.99
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,128,32,32,1,1,0,58.08
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,256,16,32,1,1,0,58.0
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,512,8,32,1,1,0,58.18
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,1024,4,32,1,1,0,57.75
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,2048,2,32,1,1,0,58.04
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,4096,1,32,1,1,0,57.69
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,1,2048,32,1,1,0,57.45
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,2,1024,32,1,1,0,57.92
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,4,512,32,1,1,0,57.43
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,8,256,32,1,1,0,57.87
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,16,128,32,1,1,0,58.0
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,32,64,32,1,1,0,57.84
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,64,32,32,1,1,0,58.25
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,128,16,32,1,1,0,58.59
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,256,8,32,1,1,0,57.89
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,512,4,32,1,1,0,57.69
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,1024,2,32,1,1,0,57.73
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,2048,1,32,1,1,0,57.53
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,1,1024,32,1,1,0,58.29
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,2,512,32,1,1,0,58.13
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,4,256,32,1,1,0,57.83
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,8,128,32,1,1,0,58.14
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,16,64,32,1,1,0,58.05
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,32,32,32,1,1,0,57.7
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,64,16,32,1,1,0,57.82
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,128,8,32,1,1,0,58.0
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,256,4,32,1,1,0,57.92
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,512,2,32,1,1,0,58.1
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,1024,1,32,1,1,0,58.12
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,1,512,32,1,1,0,58.25
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,2,256,32,1,1,0,57.75
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,4,128,32,1,1,0,57.8
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,8,64,32,1,1,0,58.46
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,16,32,32,1,1,0,58.05
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,32,16,32,1,1,0,57.89
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,64,8,32,1,1,0,57.83
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,128,4,32,1,1,0,58.16
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,256,2,32,1,1,0,57.79
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,512,1,32,1,1,0,58.1
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,1,256,32,1,1,0,57.8
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,2,128,32,1,1,0,57.88
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,4,64,32,1,1,0,57.85
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,8,32,32,1,1,0,58.19
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,16,16,32,1,1,0,57.59
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,32,8,32,1,1,0,57.92
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,64,4,32,1,1,0,58.15
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,128,2,32,1,1,0,58.04
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,256,1,32,1,1,0,58.11
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
64,1,128,32,1,1,0,57.92
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
64,2,64,32,1,1,0,57.99
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
64,4,32,32,1,1,0,58.07
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
64,8,16,32,1,1,0,57.83
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
64,16,8,32,1,1,0,58.19
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
64,32,4,32,1,1,0,58.0
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
64,64,2,32,1,1,0,58.08
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
64,128,1,32,1,1,0,57.8
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
128,1,64,32,1,1,0,57.85
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
128,2,32,32,1,1,0,57.65
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
128,4,16,32,1,1,0,58.08
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
128,8,8,32,1,1,0,58.26
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
128,16,4,32,1,1,0,58.31
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
128,32,2,32,1,1,0,57.94
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
128,64,1,32,1,1,0,58.01
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
256,1,32,32,1,1,0,57.57
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
256,2,16,32,1,1,0,58.59
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
256,4,8,32,1,1,0,58.22
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
256,8,4,32,1,1,0,58.17
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
256,16,2,32,1,1,0,58.15
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
256,32,1,32,1,1,0,57.8
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
512,1,16,32,1,1,0,57.72
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
512,2,8,32,1,1,0,58.19
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
512,4,4,32,1,1,0,58.12
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
512,8,2,32,1,1,0,58.67
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
512,16,1,32,1,1,0,57.58
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1024,1,8,32,1,1,0,58.11
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1024,2,4,32,1,1,0,57.85
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1024,4,2,32,1,1,0,57.89
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1024,8,1,32,1,1,0,57.79
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2048,1,4,32,1,1,0,58.01
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2048,2,2,32,1,1,0,57.75
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2048,4,1,32,1,1,0,57.9
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4096,1,2,32,1,1,0,57.69
