gx,gy,gz,bx,by,bz,gpuId,smefficiency 
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,1,128,32,1,1,0,18.16
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,2,64,32,1,1,0,18.17
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,4,32,32,1,1,0,18.17
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,8,16,32,1,1,0,18.17
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,16,8,32,1,1,0,18.21
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,32,4,32,1,1,0,18.16
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,64,2,32,1,1,0,18.15
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,128,1,32,1,1,0,18.19
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,1,64,32,1,1,0,18.26
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,2,32,32,1,1,0,18.23
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,4,16,32,1,1,0,18.24
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,8,8,32,1,1,0,18.23
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,16,4,32,1,1,0,18.22
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,32,2,32,1,1,0,18.21
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,64,1,32,1,1,0,18.16
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,1,32,32,1,1,0,18.26
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,2,16,32,1,1,0,18.23
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,4,8,32,1,1,0,18.2
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,8,4,32,1,1,0,18.22
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,16,2,32,1,1,0,18.21
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,32,1,32,1,1,0,18.16
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,1,16,32,1,1,0,18.27
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,2,8,32,1,1,0,18.21
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,4,4,32,1,1,0,18.19
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,8,2,32,1,1,0,18.22
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,16,1,32,1,1,0,18.18
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,1,8,32,1,1,0,18.26
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,2,4,32,1,1,0,18.23
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,4,2,32,1,1,0,18.23
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,8,1,32,1,1,0,18.15
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,1,4,32,1,1,0,18.25
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,2,2,32,1,1,0,18.21
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,4,1,32,1,1,0,18.15
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
64,1,2,32,1,1,0,18.27
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
64,2,1,32,1,1,0,18.15
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
128,1,1,32,1,1,0,18.29
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,1,64,64,1,1,0,10.5
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,2,32,64,1,1,0,10.49
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,4,16,64,1,1,0,10.5
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,8,8,64,1,1,0,10.49
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,16,4,64,1,1,0,10.5
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,32,2,64,1,1,0,10.5
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,64,1,64,1,1,0,10.53
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,1,32,64,1,1,0,10.62
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,2,16,64,1,1,0,10.57
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,4,8,64,1,1,0,10.56
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,8,4,64,1,1,0,10.56
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,16,2,64,1,1,0,10.57
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,32,1,64,1,1,0,10.51
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,1,16,64,1,1,0,10.61
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,2,8,64,1,1,0,10.56
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,4,4,64,1,1,0,10.56
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,8,2,64,1,1,0,10.57
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,16,1,64,1,1,0,10.52
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,1,8,64,1,1,0,10.61
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,2,4,64,1,1,0,10.56
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,4,2,64,1,1,0,10.56
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,8,1,64,1,1,0,10.5
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,1,4,64,1,1,0,10.62
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,2,2,64,1,1,0,10.56
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,4,1,64,1,1,0,10.51
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,1,2,64,1,1,0,10.61
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,2,1,64,1,1,0,10.5
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
64,1,1,64,1,1,0,10.62
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,1,32,128,1,1,0,10.49
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,2,16,128,1,1,0,10.49
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,4,8,128,1,1,0,10.47
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,8,4,128,1,1,0,10.48
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,16,2,128,1,1,0,10.48
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,32,1,128,1,1,0,10.52
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,1,16,128,1,1,0,10.59
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,2,8,128,1,1,0,10.59
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,4,4,128,1,1,0,10.53
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,8,2,128,1,1,0,10.54
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,16,1,128,1,1,0,10.5
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,1,8,128,1,1,0,10.58
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,2,4,128,1,1,0,10.54
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,4,2,128,1,1,0,10.54
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,8,1,128,1,1,0,10.5
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,1,4,128,1,1,0,10.59
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,2,2,128,1,1,0,10.59
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,4,1,128,1,1,0,10.49
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,1,2,128,1,1,0,10.59
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,2,1,128,1,1,0,10.49
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
32,1,1,128,1,1,0,10.59
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,1,16,256,1,1,0,10.52
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,2,8,256,1,1,0,10.46
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,4,4,256,1,1,0,10.46
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,8,2,256,1,1,0,10.46
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,16,1,256,1,1,0,10.5
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,1,8,256,1,1,0,10.59
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,2,4,256,1,1,0,10.53
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,4,2,256,1,1,0,10.54
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,8,1,256,1,1,0,10.49
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,1,4,256,1,1,0,10.6
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,2,2,256,1,1,0,10.54
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,4,1,256,1,1,0,10.48
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,1,2,256,1,1,0,10.57
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,2,1,256,1,1,0,10.47
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
16,1,1,256,1,1,0,10.57
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,1,8,512,1,1,0,9.59
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,2,4,512,1,1,0,9.58
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,4,2,512,1,1,0,9.58
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,8,1,512,1,1,0,9.58
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,1,4,512,1,1,0,9.62
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,2,2,512,1,1,0,9.61
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,4,1,512,1,1,0,9.58
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,1,2,512,1,1,0,9.62
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,2,1,512,1,1,0,9.58
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
8,1,1,512,1,1,0,9.65
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,1,4,1024,1,1,0,8.66
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,2,2,1024,1,1,0,8.65
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,4,1,1024,1,1,0,8.65
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,1,2,1024,1,1,0,8.66
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,2,1,1024,1,1,0,8.65
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
4,1,1,1024,1,1,0,8.67
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,1,128,16,2,1,0,18.16
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,2,64,16,2,1,0,18.2
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,4,32,16,2,1,0,18.18
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,8,16,16,2,1,0,18.19
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,16,8,16,2,1,0,18.19
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
1,32,4,16,2,1,0,18.18
gx,gy,gz,bx,by,bz,gpuId,smefficiency 
