gx,gy,gz,bx,by,bz,gpuId,smefficiency
1,1,8192,32,1,1,0,98.77
1,2,4096,32,1,1,0,98.85
1,4,2048,32,1,1,0,98.74
1,8,1024,32,1,1,0,98.76
1,16,512,32,1,1,0,98.74
1,32,256,32,1,1,0,98.77
1,64,128,32,1,1,0,98.81
1,128,64,32,1,1,0,98.82
1,256,32,32,1,1,0,98.73
1,512,16,32,1,1,0,98.81
1,1024,8,32,1,1,0,98.85
1,2048,4,32,1,1,0,98.74
1,4096,2,32,1,1,0,98.7
1,8192,1,32,1,1,0,98.75
2,1,4096,32,1,1,0,98.71
2,2,2048,32,1,1,0,98.74
2,4,1024,32,1,1,0,98.83
2,8,512,32,1,1,0,98.82
2,16,256,32,1,1,0,98.77
2,32,128,32,1,1,0,98.72
2,64,64,32,1,1,0,98.82
2,128,32,32,1,1,0,98.75
2,256,16,32,1,1,0,98.79
2,512,8,32,1,1,0,98.87
2,1024,4,32,1,1,0,98.74
2,2048,2,32,1,1,0,98.73
2,4096,1,32,1,1,0,98.7
4,1,2048,32,1,1,0,98.69
4,2,1024,32,1,1,0,98.87
4,4,512,32,1,1,0,98.7
4,8,256,32,1,1,0,98.73
4,16,128,32,1,1,0,98.79
4,32,64,32,1,1,0,98.87
4,64,32,32,1,1,0,98.76
4,128,16,32,1,1,0,98.76
4,256,8,32,1,1,0,98.68
4,512,4,32,1,1,0,98.82
4,1024,2,32,1,1,0,98.76
4,2048,1,32,1,1,0,98.8
8,1,1024,32,1,1,0,98.62
8,2,512,32,1,1,0,98.72
8,4,256,32,1,1,0,98.68
8,8,128,32,1,1,0,98.76
8,16,64,32,1,1,0,98.73
8,32,32,32,1,1,0,98.61
8,64,16,32,1,1,0,98.64
8,128,8,32,1,1,0,98.73
8,256,4,32,1,1,0,98.69
8,512,2,32,1,1,0,98.67
8,1024,1,32,1,1,0,98.76
16,1,512,32,1,1,0,98.8
16,2,256,32,1,1,0,98.71
16,4,128,32,1,1,0,98.71
16,8,64,32,1,1,0,98.77
16,16,32,32,1,1,0,98.62
16,32,16,32,1,1,0,98.75
16,64,8,32,1,1,0,98.62
16,128,4,32,1,1,0,98.75
16,256,2,32,1,1,0,98.75
16,512,1,32,1,1,0,98.6
32,1,256,32,1,1,0,98.64
32,2,128,32,1,1,0,98.77
32,4,64,32,1,1,0,98.7
32,8,32,32,1,1,0,98.73
32,16,16,32,1,1,0,98.73
32,32,8,32,1,1,0,98.67
32,64,4,32,1,1,0,98.86
32,128,2,32,1,1,0,98.64
32,256,1,32,1,1,0,98.72
64,1,128,32,1,1,0,98.81
64,2,64,32,1,1,0,98.78
64,4,32,32,1,1,0,98.81
64,8,16,32,1,1,0,98.74
64,16,8,32,1,1,0,98.69
64,32,4,32,1,1,0,98.73
64,64,2,32,1,1,0,98.86
64,128,1,32,1,1,0,98.75
128,1,64,32,1,1,0,98.75
128,2,32,32,1,1,0,98.78
128,4,16,32,1,1,0,98.75
128,8,8,32,1,1,0,98.76
128,16,4,32,1,1,0,98.75
128,32,2,32,1,1,0,98.75
128,64,1,32,1,1,0,98.79
256,1,32,32,1,1,0,98.76
256,2,16,32,1,1,0,98.76
256,4,8,32,1,1,0,98.83
256,8,4,32,1,1,0,98.8
256,16,2,32,1,1,0,98.81
256,32,1,32,1,1,0,98.79
512,1,16,32,1,1,0,98.65
512,2,8,32,1,1,0,98.71
512,4,4,32,1,1,0,98.82
512,8,2,32,1,1,0,98.65
512,16,1,32,1,1,0,98.78
1024,1,8,32,1,1,0,98.7
1024,2,4,32,1,1,0,98.75
1024,4,2,32,1,1,0,98.7
1024,8,1,32,1,1,0,98.68
2048,1,4,32,1,1,0,98.62
2048,2,2,32,1,1,0,98.69
2048,4,1,32,1,1,0,98.73
4096,1,2,32,1,1,0,98.74
4096,2,1,32,1,1,0,98.74
8192,1,1,32,1,1,0,98.74
1,1,4096,64,1,1,0,67.22
1,2,2048,64,1,1,0,67.19
1,4,1024,64,1,1,0,67.18
1,8,512,64,1,1,0,67.15
1,16,256,64,1,1,0,67.21
1,32,128,64,1,1,0,67.17
1,64,64,64,1,1,0,67.2
1,128,32,64,1,1,0,67.17
1,256,16,64,1,1,0,67.15
1,512,8,64,1,1,0,67.2
1,1024,4,64,1,1,0,67.2
1,2048,2,64,1,1,0,67.24
1,4096,1,64,1,1,0,67.17
2,1,2048,64,1,1,0,67.14
2,2,1024,64,1,1,0,67.27
2,4,512,64,1,1,0,67.2
2,8,256,64,1,1,0,67.22
2,16,128,64,1,1,0,67.23
2,32,64,64,1,1,0,67.24
2,64,32,64,1,1,0,67.26
2,128,16,64,1,1,0,67.28
2,256,8,64,1,1,0,67.22
2,512,4,64,1,1,0,67.27
2,1024,2,64,1,1,0,67.22
2,2048,1,64,1,1,0,67.19
4,1,1024,64,1,1,0,67.22
4,2,512,64,1,1,0,67.2
4,4,256,64,1,1,0,67.25
4,8,128,64,1,1,0,67.17
4,16,64,64,1,1,0,67.21
4,32,32,64,1,1,0,67.22
4,64,16,64,1,1,0,67.23
4,128,8,64,1,1,0,67.26
4,256,4,64,1,1,0,67.24
4,512,2,64,1,1,0,67.23
4,1024,1,64,1,1,0,67.22
8,1,512,64,1,1,0,67.21
8,2,256,64,1,1,0,67.26
8,4,128,64,1,1,0,67.28
8,8,64,64,1,1,0,67.25
8,16,32,64,1,1,0,67.24
8,32,16,64,1,1,0,67.23
8,64,8,64,1,1,0,67.23
8,128,4,64,1,1,0,67.26
8,256,2,64,1,1,0,67.26
8,512,1,64,1,1,0,67.22
16,1,256,64,1,1,0,67.21
16,2,128,64,1,1,0,67.19
16,4,64,64,1,1,0,67.23
16,8,32,64,1,1,0,67.23
16,16,16,64,1,1,0,67.21
16,32,8,64,1,1,0,67.16
16,64,4,64,1,1,0,67.25
16,128,2,64,1,1,0,67.2
16,256,1,64,1,1,0,67.25
32,1,128,64,1,1,0,67.17
32,2,64,64,1,1,0,67.26
32,4,32,64,1,1,0,67.25
32,8,16,64,1,1,0,67.25
32,16,8,64,1,1,0,67.19
32,32,4,64,1,1,0,67.28
32,64,2,64,1,1,0,67.24
32,128,1,64,1,1,0,67.22
64,1,64,64,1,1,0,67.23
64,2,32,64,1,1,0,67.26
