kernel,gx,gy,gz,bx,by,bz,funcId,smefficiency 
0,1,1,3200,32,1,1,12,70.0
1,1,1,3200,32,1,1,12,97.08 
0,1,2,1600,32,1,1,28,70.32
1,1,2,1600,32,1,1,28,96.85 
0,1,4,800,32,1,1,28,70.07
1,1,4,800,32,1,1,28,97.29 
0,1,5,640,32,1,1,28,69.59
1,1,5,640,32,1,1,28,97.83 
0,1,8,400,32,1,1,28,69.76
1,1,8,400,32,1,1,28,97.14 
0,1,10,320,32,1,1,28,70.44
1,1,10,320,32,1,1,28,97.25 
0,1,16,200,32,1,1,28,69.92
1,1,16,200,32,1,1,28,97.99 
0,1,20,160,32,1,1,28,70.62
1,1,20,160,32,1,1,28,98.31 
0,1,25,128,32,1,1,28,69.79
1,1,25,128,32,1,1,28,97.49 
0,1,32,100,32,1,1,28,70.48
1,1,32,100,32,1,1,28,97.24 
0,1,40,80,32,1,1,28,70.11
1,1,40,80,32,1,1,28,97.87 
0,1,50,64,32,1,1,28,71.04
1,1,50,64,32,1,1,28,98.21 
0,1,64,50,32,1,1,28,70.62
1,1,64,50,32,1,1,28,97.5 
0,1,80,40,32,1,1,28,70.93
1,1,80,40,32,1,1,28,97.12 
0,1,100,32,32,1,1,28,70.83
1,1,100,32,32,1,1,28,97.69 
0,1,128,25,32,1,1,28,53.99
1,1,128,25,32,1,1,28,97.41 
0,1,160,20,32,1,1,28,70.37
1,1,160,20,32,1,1,28,97.07 
0,1,200,16,32,1,1,28,71.33
1,1,200,16,32,1,1,28,97.06 
0,1,320,10,32,1,1,28,70.8
1,1,320,10,32,1,1,28,97.57 
0,1,400,8,32,1,1,28,70.5
1,1,400,8,32,1,1,28,97.63 
0,1,640,5,32,1,1,28,69.88
1,1,640,5,32,1,1,28,97.09 
0,1,800,4,32,1,1,28,70.34
1,1,800,4,32,1,1,28,97.4 
0,1,1600,2,32,1,1,28,70.88
1,1,1600,2,32,1,1,28,97.41 
0,1,3200,1,32,1,1,20,68.96
1,1,3200,1,32,1,1,20,97.48 
0,2,1,1600,32,1,1,44,71.15
1,2,1,1600,32,1,1,44,97.31 
0,2,2,800,32,1,1,60,69.35
1,2,2,800,32,1,1,60,97.89 
0,2,4,400,32,1,1,60,70.87
1,2,4,400,32,1,1,60,97.38 
0,2,5,320,32,1,1,60,68.64
1,2,5,320,32,1,1,60,97.66 
0,2,8,200,32,1,1,60,69.16
1,2,8,200,32,1,1,60,97.57 
0,2,10,160,32,1,1,60,71.84
1,2,10,160,32,1,1,60,97.89 
0,2,16,100,32,1,1,60,71.1
1,2,16,100,32,1,1,60,97.66 
0,2,20,80,32,1,1,60,70.97
1,2,20,80,32,1,1,60,96.8 
0,2,25,64,32,1,1,60,70.87
1,2,25,64,32,1,1,60,97.93 
0,2,32,50,32,1,1,60,71.32
1,2,32,50,32,1,1,60,97.55 
0,2,40,40,32,1,1,60,71.7
1,2,40,40,32,1,1,60,97.06 
0,2,50,32,32,1,1,60,71.85
1,2,50,32,32,1,1,60,97.7 
0,2,64,25,32,1,1,60,71.0
1,2,64,25,32,1,1,60,97.02 
0,2,80,20,32,1,1,60,70.43
1,2,80,20,32,1,1,60,97.22 
0,2,100,16,32,1,1,60,70.65
1,2,100,16,32,1,1,60,97.58 
0,2,160,10,32,1,1,60,70.86
1,2,160,10,32,1,1,60,97.96 
0,2,200,8,32,1,1,60,71.08
1,2,200,8,32,1,1,60,98.05 
0,2,320,5,32,1,1,60,71.37
1,2,320,5,32,1,1,60,97.96 
0,2,400,4,32,1,1,60,69.46
1,2,400,4,32,1,1,60,97.94 
0,2,800,2,32,1,1,60,69.06
