Kernel,gx,gy,gz,bx,by,bz,gpuId,gld_efficiency
0,1,20,5,1,32,32,0,21.69
0,16,5,5,4,8,8,0,21.69
0,2,4,50,1,4,64,0,21.69
0,16,4,10,8,5,4,0,21.69
0,40,16,1,1,80,2,0,21.35
0,25,2,4,256,2,1,0,21.69
0,1,5,64,10,16,2,0,21.69
0,128,1,1,8,100,1,0,21.69
0,25,8,4,64,2,1,0,21.69
0,40,40,1,1,16,4,0,20.44
0,8,4,20,40,2,2,0,21.69
0,8,16,25,1,2,16,0,21.69
0,4,40,20,1,1,32,0,21.69
0,2,20,4,1,16,40,0,21.69
0,2,8,10,2,160,2,0,21.69
0,40,4,20,4,4,2,0,21.69
0,1,40,10,1,16,16,0,21.69
0,160,10,2,1,2,16,0,21.69
0,2,20,8,20,8,2,0,21.69
0,5,128,1,2,16,5,0,21.69
0,20,5,4,64,2,2,0,21.69
0,2,8,8,16,2,25,0,21.69
0,2,64,25,8,4,1,0,21.69
0,4,4,20,4,8,10,0,21.69
0,5,4,20,1,8,32,0,21.69
0,8,16,1,1,25,32,0,21.29
0,2,16,5,32,10,2,0,21.69
0,10,32,10,1,32,1,0,21.69
0,5,20,2,8,1,64,0,21.69
0,100,2,16,1,32,1,0,21.69
0,1,32,4,2,40,10,0,21.69
0,8,10,5,16,8,2,0,21.69
0,10,1,10,4,256,1,0,21.69
0,1,200,16,16,1,2,0,21.69
0,4,10,4,20,32,1,0,21.69
0,1,1,100,2,128,4,0,21.69
0,20,4,2,160,4,1,0,21.69
0,16,8,1,160,1,5,0,21.69
0,10,1,80,4,1,32,0,21.69
0,1,1,1600,1,8,8,0,21.69
0,1,40,16,8,4,5,0,21.69
0,16,20,1,5,4,16,0,21.69
0,1,1,320,8,20,2,0,21.69
0,16,5,2,20,1,32,0,21.69
0,128,1,1,4,4,50,0,21.69
0,16,8,5,5,8,4,0,21.69
0,2,20,10,1,32,8,0,21.69
0,2,1,400,4,8,4,0,21.69
0,1,4,32,16,25,2,0,21.69
0,16,1,200,32,1,1,0,21.69
0,8,8,10,4,2,20,0,21.69
0,10,2,16,2,10,16,0,21.69
0,8,10,2,4,4,40,0,21.69
0,10,8,40,2,8,2,0,21.69
0,16,4,5,160,2,1,0,21.69
0,10,32,1,2,5,32,0,21.69
0,2,5,10,256,1,4,0,21.69
0,5,1,128,2,2,40,0,21.69
0,800,1,4,4,8,1,0,21.69
0,200,1,2,2,4,32,0,21.69
0,64,5,2,5,2,16,0,21.69
0,32,10,5,4,2,8,0,21.69
0,100,4,2,4,4,8,0,21.69
0,1,2,80,1,160,4,0,21.69
0,10,5,4,1,8,64,0,21.69
0,160,5,2,16,4,1,0,21.69
0,2,4,40,1,40,8,0,21.69
0,20,1,10,2,4,64,0,21.69
0,5,64,1,8,5,8,0,21.69
0,20,5,2,2,8,32,0,21.69
0,4,16,10,16,10,1,0,21.69
0,2,10,10,4,2,64,0,21.69
0,40,5,1,2,8,32,0,21.69
0,4,32,25,8,2,2,0,21.69
