Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
0,2,28,1,7,4,32,0,0.424619
0,1,32,7,16,7,2,0,0.4172
0,4,7,2,2,14,32,0,0.423865
0,4,14,1,56,16,1,0,0.335344
0,7,28,2,8,4,4,0,0.365569
0,4,14,2,4,8,14,0,0.424187
0,14,2,2,28,8,4,0,0.424409
0,8,14,2,7,8,4,0,0.424324
0,2,1,56,32,1,14,0,0.334943
0,7,4,7,8,1,32,0,0.379737
0,98,2,1,16,4,4,0,0.424173
0,7,4,2,32,28,1,0,0.37987
0,392,1,2,8,1,8,0,0.181746
0,2,14,8,8,2,14,0,0.42426
0,112,2,1,16,7,2,0,0.420006
0,392,1,1,4,4,8,0,0.28946
0,4,14,4,1,56,4,0,0.379763
0,7,1,7,256,4,1,0,0.340637
0,2,4,14,7,32,2,0,0.423407
0,7,2,16,1,4,56,0,0.378551
0,28,4,1,1,32,14,0,0.287842
0,7,7,4,1,4,64,0,0.379549
0,4,4,7,2,32,7,0,0.42468
0,7,8,2,28,4,4,0,0.424587
0,1,2,49,2,128,2,0,0.423768
0,56,2,2,14,16,1,0,0.380215
0,1,7,14,32,4,4,0,0.420983
0,49,8,2,8,1,8,0,0.20575
0,4,14,2,14,8,4,0,0.422832
0,2,14,2,4,8,28,0,0.424061
0,1,8,7,4,112,2,0,0.416141
0,4,7,4,16,2,14,0,0.423977
0,1,2,49,8,16,4,0,0.421778
0,2,2,56,7,16,2,0,0.423995
0,1,49,16,8,1,8,0,0.181624
0,56,1,2,7,32,2,0,0.415666
0,4,392,1,4,1,8,0,0.1369
0,28,28,2,2,1,16,0,0.155255
0,2,28,7,32,4,1,0,0.329421
0,2,4,7,7,4,32,0,0.424482
0,7,28,8,16,1,2,0,0.155496
0,2,4,7,1,224,4,0,0.379726
0,2,56,1,7,32,2,0,0.420498
0,2,49,16,2,16,1,0,0.154953
0,14,56,2,8,1,4,0,0.155534
0,2,7,14,2,32,4,0,0.424662
0,2,1,196,32,2,2,0,0.360034
0,4,1,14,28,4,8,0,0.415812
0,7,2,28,1,64,2,0,0.327526
0,7,8,1,14,32,2,0,0.424122
0,112,1,2,8,1,28,0,0.334949
0,7,7,8,16,1,8,0,0.328036
0,4,7,2,8,28,4,0,0.424114
0,1,112,7,32,2,1,0,0.181343
0,1,14,56,1,1,64,0,0.156844
0,7,4,2,224,4,1,0,0.379894
0,14,1,56,16,1,4,0,0.181303
0,4,49,2,1,64,2,0,0.320807
0,1,16,7,1,64,7,0,0.333766
0,1,4,14,8,14,8,0,0.416822
0,7,16,2,8,2,14,0,0.424093
0,16,7,7,2,4,8,0,0.230214
0,392,2,2,16,1,2,0,0.155221
0,4,49,4,64,1,1,0,0.180482
0,1,224,1,16,7,2,0,0.334592
0,28,2,2,1,56,8,0,0.379786
0,16,98,1,2,1,16,0,0.136958
0,1,4,28,32,2,7,0,0.417394
0,56,1,1,4,32,7,0,0.335012
0,1,4,14,2,64,7,0,0.415921
0,196,1,8,1,8,4,0,0.136852
0,1,32,49,4,1,8,0,0.1366
0,7,2,16,16,14,1,0,0.379958
0,392,1,2,2,16,2,0,0.22946
0,1,49,1,2,256,2,0,0.340099
0,14,1,4,4,56,4,0,0.417098
0,4,1,196,16,4,1,0,0.181186
0,2,56,1,32,14,1,0,0.334856
0,16,14,1,28,1,8,0,0.334935
0,49,16,2,4,2,4,0,0.172317
0,7,32,1,2,56,2,0,0.422186
0,1,7,7,32,1,32,0,0.340071
0,1,4,56,8,28,1,0,0.334997
0,7,8,7,32,1,4,0,0.327879
