Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  8,  1,  32,  2,  1, 0,1.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  16,  2,  2,  1,  64, 0,1.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  8,  1,  64,  1,  4, 0,1.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 32,  1,  1,  1,  64,  2, 1,1.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  1,  32,  1,  16,  2, 1,1.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  64,  2,  4,  1,  8, 0,1.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  8,  2,  4,  32,  1, 0,1.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  8,  16,  8,  1,  4, 0,1.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  2,  4,  1,  64,  8, 0,1.0
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  4,  1,  4,  4,  64, 0,1.0
