Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
0,24,4,3,2,2,8,0,0.072858
0,1,1,16,4,18,8,0,0.147905
0,2,24,1,2,4,24,0,0.112177
0,1,8,12,24,1,4,0,0.111716
0,4,1,4,6,24,4,0,0.153543
0,2,1,6,128,3,2,0,0.174213
0,2,3,48,1,8,4,0,0.070666
0,3,4,8,3,1,32,0,0.115209
0,2,4,4,6,24,2,0,0.117542
0,48,1,1,12,8,2,0,0.112457
0,1,2,6,4,192,1,0,0.16625
0,16,2,1,6,1,48,0,0.114562
0,1,2,48,8,12,1,0,0.110719
0,2,1,48,6,4,4,0,0.116099
0,4,4,18,16,2,1,0,0.070308
0,3,2,4,3,8,16,0,0.126167
0,1,3,12,64,1,4,0,0.112568
0,2,2,4,4,12,12,0,0.162743
0,2,2,6,16,6,4,0,0.124204
0,1,2,8,48,2,6,0,0.152782
0,1,2,36,8,16,1,0,0.111179
0,1,12,2,3,16,8,0,0.123802
0,1,1,16,8,12,6,0,0.148042
0,12,4,1,24,4,2,0,0.11723
0,1,3,48,64,1,1,0,0.086543
0,9,1,1,2,512,1,0,0.197451
0,2,8,3,24,2,4,0,0.113734
0,4,6,4,3,8,4,0,0.113286
0,8,2,2,144,2,1,0,0.111815
0,4,2,4,2,8,18,0,0.115244
0,1,8,3,24,4,4,0,0.128398
0,1,8,4,3,2,48,0,0.112989
0,16,1,6,8,1,12,0,0.109533
0,2,1,16,9,2,16,0,0.116494
0,8,1,3,2,16,12,0,0.123457
0,2,4,2,32,3,6,0,0.162971
0,1,3,16,4,3,16,0,0.11771
0,6,2,8,8,12,1,0,0.115649
0,48,2,1,8,3,4,0,0.115582
0,32,1,1,9,1,32,0,0.115201
0,1,18,16,2,8,2,0,0.071767
0,2,16,1,8,2,18,0,0.111869
0,1,24,4,4,24,1,0,0.114155
0,12,2,2,24,1,8,0,0.115913
0,12,2,1,32,1,12,0,0.126275
0,3,6,2,1,256,1,0,0.11654
0,24,1,1,4,2,48,0,0.122237
0,2,12,4,32,3,1,0,0.111796
0,8,3,3,1,32,4,0,0.11086
0,2,3,16,3,4,8,0,0.117473
0,4,6,4,2,4,12,0,0.11469
0,1,18,2,8,4,8,0,0.113857
0,3,4,4,48,4,1,0,0.112005
0,1,6,2,96,1,8,0,0.171334
0,6,1,4,64,6,1,0,0.12609
0,24,1,1,2,16,12,0,0.126989
0,2,12,1,8,16,3,0,0.126986
0,36,2,1,8,4,4,0,0.116171
0,2,3,2,12,8,8,0,0.192445
0,1,72,2,1,1,64,0,0.086619
0,2,1,6,16,16,3,0,0.17417
0,12,1,1,6,8,16,0,0.171779
0,8,4,9,8,4,1,0,0.070435
0,4,1,8,4,18,4,0,0.116567
0,4,6,4,24,4,1,0,0.115722
0,8,1,3,1,6,64,0,0.126257
0,3,3,2,1,64,8,0,0.148886
0,3,1,8,64,2,3,0,0.126401
0,2,12,2,48,1,4,0,0.115941
0,1,6,2,2,64,6,0,0.17422
0,4,8,1,8,12,3,0,0.116204
0,4,1,6,4,12,8,0,0.123007
0,8,3,2,12,2,8,0,0.117322
0,8,2,2,1,288,1,0,0.112586
0,12,6,2,4,16,1,0,0.089357
0,3,2,12,4,32,1,0,0.11615
0,24,4,1,8,4,3,0,0.115391
0,1,3,32,6,4,4,0,0.116688
0,4,1,8,6,3,16,0,0.115522
0,2,16,1,24,2,6,0,0.112165
0,1,4,4,3,192,1,0,0.148606
0,1,32,9,4,4,2,0,0.07202
0,4,2,3,2,16,12,0,0.124254
0,1,4,8,3,3,32,0,0.117639
0,18,4,1,4,32,1,0,0.112036
0,1,6,8,6,8,4,0,0.117375
0,3,3,2,128,1,4,0,0.148771
0,2,12,3,2,4,16,0,0.118391
0,1,48,2,48,2,1,0,0.111008
0,2,48,3,4,8,1,0,0.070345
0,6,1,3,4,64,2,0,0.150593
0,2,9,16,1,16,2,0,0.071949
0,2,6,12,1,8,8,0,0.087397
0,8,2,1,32,9,2,0,0.158643
0,2,8,6,2,24,2,0,0.116939
0,6,12,2,4,2,8,0,0.089497
0,1,12,8,2,2,24,0,0.112839
0,1,288,1,2,4,4,0,0.069851
0,6,4,2,3,16,4,0,0.113843
0,12,4,1,12,4,4,0,0.11226
0,8,1,2,3,12,16,0,0.152582
0,12,6,2,2,1,32,0,0.086968
0,1,4,3,4,24,8,0,0.173964
0,4,2,4,2,3,48,0,0.113813
0,2,4,2,8,36,2,0,0.162879
0,4,1,12,3,2,32,0,0.113331
0,32,1,3,32,3,1,0,0.115005
0,3,12,8,1,1,32,0,0.069292
0,1,4,12,24,8,1,0,0.115167
0,24,2,6,4,2,4,0,0.072863
0,1,2,6,2,128,3,0,0.173986
0,8,3,2,8,8,3,0,0.117437
0,4,2,18,16,4,1,0,0.08761
0,3,4,2,3,32,4,0,0.124198
0,18,4,2,32,2,1,0,0.08766
0,3,6,16,4,8,1,0,0.070327
0,1,48,2,1,48,2,0,0.110911
0,4,1,4,1,9,64,0,0.150261
0,16,1,6,4,6,4,0,0.112434
0,3,4,2,12,32,1,0,0.122316
0,2,9,1,4,64,2,0,0.149412
0,24,1,1,12,1,32,0,0.121415
0,16,1,1,2,288,1,0,0.147071
0,1,6,16,96,1,1,0,0.114688
0,3,8,4,2,4,12,0,0.116861
0,8,6,1,1,32,6,0,0.127255
0,2,2,18,4,16,2,0,0.11712
0,2,3,48,4,1,8,0,0.069872
0,1,16,2,2,4,36,0,0.113236
0,12,2,2,1,3,64,0,0.115286
0,1,8,2,16,6,6,0,0.153101
0,1,1,12,6,2,64,0,0.177866
0,3,1,8,1,192,2,0,0.12798
0,4,12,1,16,3,4,0,0.112366
0,3,16,2,1,3,32,0,0.114951
0,2,1,12,3,128,1,0,0.126191
0,24,1,6,4,1,16,0,0.085097
0,1,24,2,3,32,2,0,0.118576
0,2,16,1,18,1,16,0,0.115044
0,16,3,1,1,3,64,0,0.134487
0,2,3,2,3,32,8,0,0.190732
0,8,1,6,12,4,4,0,0.117371
0,2,3,6,8,16,2,0,0.113914
0,6,2,24,8,4,1,0,0.070171
0,4,3,12,16,4,1,0,0.087479
0,2,1,18,64,1,4,0,0.110603
0,3,2,3,4,2,64,0,0.152472
0,8,2,1,2,36,8,0,0.158689
0,8,1,4,4,6,12,0,0.116889
0,1,288,1,1,16,2,0,0.069685
0,1,1,9,1,128,8,0,0.189431
0,2,6,1,8,2,48,0,0.181625
0,2,12,1,3,2,64,0,0.122186
0,1,12,1,8,32,3,0,0.180266
0,8,1,3,16,24,1,0,0.12336
0,6,8,2,6,1,16,0,0.111296
0,9,1,1,256,2,2,0,0.203952
0,4,4,2,18,8,2,0,0.113547
0,3,8,1,48,2,4,0,0.127095
0,3,4,4,3,1,64,0,0.111906
0,6,3,1,16,4,8,0,0.146912
0,4,8,3,8,2,6,0,0.114505
