Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
0,2,16,32,32,4,8,0,5.69
0,1,4096,4,32,1,2,0,61.4
0,4096,1,4,1,64,1,0,61.26
0,8,32,32,8,8,2,0,35.75
0,2,512,1,64,1,16,0,5.7
0,32,4,32,1,256,1,0,21.19
0,512,4,16,2,2,8,0,97.04
0,128,4,8,4,8,8,0,21.2
0,2,16,32,32,4,8,0,5.7
0,256,2,64,8,4,1,0,97.21
0,1,4,256,32,32,1,0,5.69
0,4,128,8,1,64,4,0,21.24
0,1,256,4,1,32,32,0,5.69
0,1,8,128,1,32,32,0,5.7
0,2,4096,2,2,1,32,0,61.18
0,256,4,1,4,256,1,0,5.69
0,32,16,16,4,1,32,0,35.75
0,4,4,1024,2,4,8,0,61.28
0,64,16,1,32,32,1,0,5.7
0,16,2,128,64,2,2,0,21.23
0,128,64,2,1,1,64,0,61.38
0,4,4,512,64,1,2,0,35.68
0,4,1,256,128,2,4,0,5.69
0,1,64,64,16,4,4,0,21.32
0,512,1,32,1,4,16,0,60.69
0,1,512,32,1,64,1,0,61.38
0,1,64,128,8,1,16,0,35.98
0,32,2,16,32,1,32,0,5.69
0,256,64,1,2,8,4,0,61.28
0,8,32,4,2,128,4,0,5.7
0,256,16,8,8,1,4,0,97.03
0,512,1,2,256,2,2,0,5.69
0,2,256,16,4,2,16,0,35.68
0,32,2,64,128,1,2,0,21.25
0,4,8,128,32,8,1,0,21.26
0,2,1,4096,4,8,4,0,35.8
0,4,256,8,8,1,16,0,35.65
0,1,1024,4,1,16,16,0,21.23
0,1,1,2048,2,4,64,0,11.09
0,128,1,256,1,32,1,0,96.98
0,32,64,1,2,8,32,0,11.11
0,64,16,8,2,64,1,0,35.84
0,32,64,4,32,1,4,0,35.78
0,16,64,32,1,4,8,0,97.03
0,256,8,1,1,64,8,0,11.07
0,16,64,32,4,2,4,0,97.34
0,16,64,8,1,64,2,0,35.91
0,4,4,64,1,64,16,0,5.69
0,256,1,8,1,512,1,0,11.06
0,1,64,512,1,2,16,0,97.19
0,1024,2,1,256,1,2,0,11.12
0,32,32,1,1,512,2,0,5.69
0,16,16,8,1,128,4,0,11.11
0,32,32,1,1,1024,1,0,5.7
0,8,4,256,32,2,2,0,35.91
0,2,16,128,4,8,8,0,21.27
0,8,1,256,64,8,1,0,11.12
0,8,512,4,8,4,2,0,61.39
0,256,4,4,2,16,8,0,21.25
0,64,256,2,4,8,1,0,97.22
0,64,64,2,2,8,8,0,35.89
0,2,32,128,1,32,4,0,35.77
0,16,1,1024,8,1,8,0,61.22
0,2048,1,2,16,8,2,0,21.18
0,4,16,64,32,2,4,0,21.29
0,1,4096,4,2,16,2,0,61.26
0,1,4096,1,4,2,32,0,21.27
0,4,1024,1,1,64,4,0,21.23
0,2,2048,2,4,32,1,0,35.82
0,128,32,2,32,2,2,0,35.87
0,1024,4,1,1,4,64,0,24.05
0,512,4,8,1,4,16,0,61.31
0,2048,4,4,1,16,2,0,97.03
0,1,2,4096,16,2,4,0,35.97
0,2,1,512,32,4,8,0,5.69
0,2048,1,8,4,1,16,0,61.33
0,1,1,2048,32,4,4,0,11.12
0,128,1,64,64,2,1,0,35.8
0,16,128,2,2,4,32,0,21.25
0,256,8,16,4,1,8,0,97.4
0,8,32,64,4,8,2,0,60.95
0,512,16,2,2,16,2,0,61.21
0,1,64,16,512,2,1,0,5.69
0,1,512,2,4,8,32,0,5.66
0,128,128,1,4,1,16,0,61.07
0,256,32,2,1,4,16,0,61.22
0,1024,1,16,4,2,8,0,61.15
0,2,32,32,8,32,2,0,11.14
0,16,1,128,1,32,16,0,11.13
0,2,32,256,2,4,8,0,61.33
0,1,512,2,4,8,32,0,5.66
0,64,32,16,1,16,2,0,97.11
0,512,2,1,1,64,16,0,5.65
0,4,4,512,128,1,1,0,35.8
0,4,16,256,4,2,8,0,61.17
0,2,64,8,16,2,32,0,5.66
0,64,8,8,4,64,1,0,21.3
0,1,8192,1,2,32,2,0,35.88
0,2048,2,1,1,4,64,0,24.1
0,1,8192,4,1,16,2,0,97.14
0,1024,32,1,2,16,1,0,96.9
0,1,1,2048,256,2,1,0,11.11
0,1,2,8192,32,1,2,0,61.16
0,1,4,256,32,32,1,0,5.66
0,16,128,2,1,16,16,0,21.3
0,2,8,64,16,32,2,0,5.66
0,64,64,8,2,1,16,0,97.66
0,64,8,8,128,1,2,0,21.29
0,1,2048,1,16,2,16,0,11.13
0,4,16,128,2,64,1,0,35.65
0,64,8,16,16,2,4,0,36.01
0,4,4,128,128,1,4,0,11.14
0,1,32,128,1,128,2,0,21.31
0,512,32,2,1,4,8,0,97.37
0,4,64,8,2,8,32,0,11.14
0,2048,1,2,2,8,16,0,21.27
0,2,128,32,2,16,4,0,35.7
0,8,64,4,128,4,1,0,11.13
0,512,4,8,16,1,4,0,61.17
0,512,2,1,1,64,16,0,5.65
0,16,1,256,2,2,64,0,21.33
0,4,1024,2,2,16,4,0,35.98
0,4,16,128,4,32,1,0,35.24
0,2,4,128,256,4,1,0,5.66
0,1,1,4096,16,4,4,0,21.28
0,1,1,4096,32,4,2,0,21.26
0,32,1,256,4,1,32,0,35.72
0,4,16,256,1,16,4,0,61.14
0,4,128,4,1,16,32,0,11.14
0,8,4,64,2,64,4,0,11.14
0,16,1,256,8,1,32,0,21.31
0,1,1,1024,16,2,32,0,5.66
0,4096,1,8,2,4,4,0,97.02
0,8,128,1,64,1,16,0,5.66
0,8,8,64,1,128,2,0,21.29
0,2,2048,2,8,8,2,0,35.85
0,8,512,4,32,2,1,0,61.24
0,64,2,256,32,1,1,0,97.42
0,8,16,32,4,32,2,0,21.33
0,16,1,1024,64,1,1,0,61.11
0,2,8192,1,4,16,1,0,61.14
0,16,64,2,16,16,2,0,11.09
0,8,8,16,128,8,1,0,5.66
0,16,4,128,1,64,2,0,35.49
0,8,32,32,64,2,1,0,35.62
0,2,32,32,4,128,1,0,11.13
0,2,64,8,32,4,8,0,5.66
0,256,8,1,2,16,16,0,11.13
0,128,2,64,32,2,1,0,61.34
0,4096,2,1,2,32,2,0,35.67
0,2,8,128,16,4,8,0,11.14
0,256,4,32,8,1,4,0,97.13
0,1,1,2048,8,2,32,0,11.12
0,64,128,1,4,32,1,0,35.81
0,8192,2,2,8,2,2,0,97.18
0,8,512,1,2,32,4,0,21.3
0,1,8,512,32,4,2,0,21.29
0,4,32,64,2,4,16,0,35.87
0,128,1,16,16,1,32,0,11.09
0,1,256,8,4,4,32,0,11.14
0,1,1024,8,2,64,1,0,35.92
0,32,8,64,32,1,2,0,60.38
0,1,128,256,1,2,16,0,97.51
0,64,128,2,2,2,16,0,61.31
0,1,2048,2,2,64,2,0,21.3
0,4,16,256,64,1,1,0,61.22
0,1,16,128,16,32,1,0,11.14
0,1,128,64,2,64,1,0,35.91
0,8,64,2,32,2,16,0,5.67
0,1,4,8192,2,16,1,0,97.69
0,1,8,128,2,128,4,0,5.66
0,16,32,4,128,4,1,0,11.13
0,128,16,2,32,4,2,0,21.33
0,1,1,32768,2,4,4,0,97.2
0,8,2048,2,32,1,1,0,97.36
0,256,1,16,1,4,64,0,21.32
0,64,2,16,8,2,32,0,11.15
0,512,2,32,1,32,1,0,97.46
0,2,16,128,128,2,1,0,21.31
0,1,4,8192,2,8,2,0,96.97
0,2,4,4096,2,1,16,0,97.21
0,1,2,4096,8,16,1,0,35.9
0,2,1,1024,1,512,1,0,11.13
0,4,4,256,1,32,8,0,21.28
0,4,256,32,16,2,1,0,96.8
0,16,4,32,1,256,2,0,11.13
0,32,32,1,1024,1,1,0,5.66
0,64,128,1,8,2,8,0,35.77
0,8,128,16,4,8,2,0,61.09
0,128,1,16,1,32,16,0,11.13
0,32,8,4,2,128,4,0,5.66
0,32,16,16,8,8,2,0,35.89
0,2,2,2048,4,4,8,0,35.62
0,1,256,4,64,8,2,0,5.66
0,8,1,512,32,1,8,0,21.31
