Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
0,128,2,16,8,4,2,0,31.95
0,16,16,2,2,32,8,0,5.8
0,128,8,8,32,1,1,0,58.12
0,1,1024,2,128,1,1,0,19.43
0,1,8,64,1,512,1,0,5.79
0,2,64,4,1,512,1,0,5.82
0,128,2,8,8,8,2,0,19.43
0,32,1,64,16,1,8,0,19.39
0,1,2,4096,16,2,1,0,58.22
0,4,16,128,1,2,16,0,58.15
0,16,4,16,2,2,64,0,11.18
0,2,32,4,1024,1,1,0,5.79
0,2,32,32,8,1,16,0,19.49
0,1,64,16,64,1,4,0,11.17
0,4,32,4,256,1,2,0,5.81
0,4,128,2,4,8,8,0,11.2
0,1,16,32,32,2,8,0,5.84
0,4,1,64,4,4,64,0,5.81
0,32,4,2,256,1,4,0,5.78
0,16,8,4,1,64,8,0,5.8
0,8,32,16,8,4,2,0,31.97
0,32,8,4,128,1,2,0,11.16
0,1,64,8,32,8,2,0,5.85
0,32,1,64,128,1,1,0,19.44
0,256,16,2,1,32,1,0,58.35
0,2,1,256,4,16,8,0,5.85
0,2,2,128,8,2,32,0,5.8
0,1024,4,2,2,4,4,0,58.25
0,2,8,16,2,256,2,0,5.79
0,16,4,16,1,8,32,0,11.18
0,2048,1,2,1,64,1,0,31.85
0,8,128,4,1,1,64,0,31.6
0,8,1,64,1,8,64,0,5.79
0,4096,1,1,1,64,1,0,31.33
0,128,2,2,16,4,8,0,5.8
0,2,1,128,16,32,2,0,5.83
0,256,2,16,4,8,1,0,58.21
0,8,64,16,1,8,4,0,58.14
0,256,2,2,4,16,4,0,11.19
0,1,64,128,1,1,32,0,58.08
0,64,8,8,4,1,16,0,31.98
0,16,8,2,2,256,2,0,5.79
0,4,16,32,16,2,4,0,19.44
0,64,8,2,4,32,2,0,11.18
0,128,8,4,1,1,64,0,31.91
0,512,1,2,2,32,4,0,11.23
0,1,32,8,2,8,64,0,5.82
0,1,1,1024,128,2,1,0,11.13
0,2,2,64,16,1,64,0,5.78
0,2,16,32,16,16,1,0,11.23
