Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  16,  1,  16,  1,  2, 0 , 13.35
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  2,  1,  1,  128,  2, 0 , 6.88
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  2,  1,  2,  8,  4, 0 , 9.78
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  16,  2,  2,  8,  4, 0 , 10.32
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  1,  16,  4,  4,  8, 0 , 9.73
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  2,  1,  64,  4,  2, 0 , 4.96
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  1,  2,  4,  128,  2, 0 , 4.01
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  2,  4,  8,  2,  8, 0 , 10.5
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  1,  32,  1,  16,  2, 0 , 13.51
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  2,  4,  16,  1,  2, 0 , 13.44
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  1,  1,  16,  4,  8, 0 , 4.95
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  1,  1,  1,  128,  2, 0 , 6.66
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  1,  1,  32,  8,  4, 0 , 3.96
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  1,  128,  4,  8,  1, 0 , 13.62
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  4,  2,  1,  64,  8, 0 , 4.88
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  8,  8,  8,  2,  4, 0 , 9.86
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  1,  2,  32,  2,  16, 0 , 3.97
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  64,  1,  2,  4,  4, 0 , 13.54
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  2,  4,  4,  8,  1, 0 , 13.67
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  4,  8,  2,  16,  4, 0 , 9.69
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  4,  1,  8,  4,  8, 0 , 6.86
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  4,  2,  32,  1,  1, 0 , 13.23
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  1,  16,  2,  8,  8, 0 , 9.63
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  4,  1,  4,  128,  1, 0 , 4.93
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  128,  1,  32,  1,  1, 0 , 13.47
