Kernel,gx,gy,gz,bx,by,bz,gpuId,gld_efficiency
1,176,11,1,2,1,32,0,12.5
1,88,4,1,4,11,8,0,12.5
1,484,2,2,2,2,16,0,12.5
1,1,2,968,1,16,4,0,12.5
1,11,1,176,16,2,2,0,12.5
1,4,1,968,32,1,1,0,12.5
0,2,484,2,4,4,4,0,90.28
0,1,176,1,64,1,11,0,90.28
1,11,32,1,1,11,32,0,12.5
0,1,242,1,16,32,1,0,90.28
0,176,11,1,2,1,32,0,90.28
1,2,1,242,4,1,64,0,12.5
1,1,44,8,352,1,1,0,12.5
1,121,1,1,2,256,2,0,12.5
0,1,22,11,16,32,1,0,90.28
1,176,2,11,1,8,4,0,12.5
1,2,11,176,16,2,1,0,12.5
1,8,22,2,2,16,11,0,12.5
1,22,2,4,32,2,11,0,12.5
1,16,2,121,1,32,1,0,12.5
1,1,11,88,16,1,8,0,12.5
1,1,176,11,2,32,1,0,12.5
1,22,4,4,16,22,1,0,12.5
1,4,4,11,32,2,11,0,12.5
0,3872,1,1,1,2,16,0,90.28
1,16,1,11,2,22,16,0,12.5
1,22,8,1,88,4,2,0,12.5
1,88,1,2,8,2,44,0,12.5
1,11,1,352,2,4,4,0,12.5
1,11,88,1,1,32,4,0,12.5
1,11,1,44,4,8,8,0,12.5
1,22,8,1,11,64,1,0,12.5
1,2,22,8,44,8,1,0,12.5
1,11,11,8,8,2,8,0,12.5
1,8,121,2,2,1,32,0,12.5
0,16,1,22,11,1,32,0,90.28
1,22,2,8,2,176,1,0,12.5
1,22,1,44,2,64,1,0,12.5
1,16,2,121,2,16,1,0,12.5
1,4,11,88,2,1,16,0,12.5
1,8,22,1,11,32,2,0,12.5
1,1,11,88,4,1,32,0,12.5
1,2,968,2,4,8,1,0,12.5
0,484,1,8,32,1,1,0,90.28
1,4,44,22,2,16,1,0,12.5
1,2,121,4,4,1,32,0,12.5
0,22,11,1,1,8,64,0,57.5
1,4,8,11,8,22,2,0,12.5
1,2,11,11,4,4,32,0,12.5
1,16,1,22,2,8,22,0,12.5
1,2,2,121,8,4,8,0,12.5
0,22,2,8,22,4,4,0,90.28
1,11,176,1,2,16,2,0,12.5
1,4,22,2,4,22,8,0,12.5
1,22,2,8,88,1,4,0,12.5
1,11,16,1,1,32,22,0,12.5
1,1,2,176,176,2,1,0,12.5
1,121,1,1,4,8,32,0,12.5
1,88,2,1,11,8,8,0,12.5
1,1,44,4,22,32,1,0,12.5
1,44,11,2,16,2,4,0,12.5
0,1,11,44,4,2,32,0,90.28
1,176,22,1,2,8,2,0,12.5
0,1,22,22,128,2,1,0,90.28
1,11,1,44,2,16,8,0,12.5
1,44,11,4,16,1,4,0,12.5
1,176,1,11,4,4,4,0,12.5
1,22,1,11,32,8,2,0,12.5
1,121,1,2,2,32,8,0,12.5
1,11,1,176,4,4,4,0,12.5
1,4,242,2,16,2,2,0,12.5
0,88,11,4,4,8,1,0,90.28
1,484,4,2,1,2,16,0,12.5
1,484,1,1,32,4,2,0,12.5
1,11,8,44,16,1,2,0,12.5
1,1,11,11,512,2,1,0,12.5
1,88,4,1,22,4,4,0,12.5
1,121,8,2,1,16,4,0,12.5
1,16,11,2,16,2,11,0,12.5
1,8,242,1,16,1,4,0,12.5
1,4,4,11,88,1,8,0,12.5
1,2,121,4,1,16,8,0,12.5
0,22,1,8,88,1,8,0,90.28
0,1,176,2,22,8,2,0,90.28
1,4,11,22,8,4,4,0,12.5
1,2,11,88,8,2,4,0,12.5
1,176,2,11,8,4,1,0,12.5
1,2,11,11,2,64,4,0,12.5
1,484,8,1,16,2,1,0,12.5
1,22,11,1,1,64,8,0,12.5
1,8,11,11,16,2,4,0,12.5
0,8,2,11,8,8,11,0,90.28
0,1,11,22,1,256,2,0,90.28
1,32,1,121,2,1,16,0,12.5
1,484,1,1,4,2,32,0,12.5
1,352,1,11,1,2,16,0,12.5
1,121,16,1,8,2,4,0,12.5
1,1,16,242,8,4,1,0,12.5
1,1,22,44,2,4,16,0,12.5
1,88,1,44,8,1,4,0,12.5
1,1,22,44,64,2,1,0,12.5
0,1,22,44,16,4,2,0,90.28
1,44,22,2,16,1,4,0,12.5
1,1,968,2,1,8,8,0,12.5
1,2,242,8,8,2,2,0,12.5
1,121,8,4,4,8,1,0,12.5
1,1,88,11,4,16,2,0,12.5
1,1,4,88,16,2,11,0,12.5
0,11,2,44,32,1,4,0,90.28
1,1,44,8,88,1,4,0,12.5
1,16,1,22,88,4,1,0,12.5
1,11,44,1,1,256,1,0,12.5
1,1,2,242,1,8,32,0,12.5
1,22,11,8,2,4,8,0,12.5
1,242,8,2,16,1,2,0,12.5
1,88,1,4,1,32,11,0,12.5
1,11,4,44,1,4,16,0,12.5
0,121,1,16,1,8,8,0,90.28
1,1,1936,1,2,1,32,0,12.5
1,1,88,4,22,1,16,0,12.5
1,4,2,44,1,22,16,0,12.5
1,8,2,11,2,176,2,0,12.5
1,44,4,2,1,11,32,0,12.5
1,2,4,22,2,16,22,0,12.5
1,484,1,2,1,8,16,0,12.5
1,4,2,44,22,4,4,0,12.5
1,2,44,11,16,1,8,0,12.5
1,242,16,1,8,4,1,0,12.5
0,22,1,8,32,11,2,0,90.28
1,2,16,11,1,176,2,0,12.5
1,16,1,11,2,16,22,0,12.5
1,121,2,1,4,2,64,0,12.5
1,22,88,1,1,4,16,0,12.5
1,1,11,176,2,2,16,0,12.5
1,44,2,2,16,2,22,0,12.5
1,2,176,11,32,1,1,0,12.5
0,4,4,11,1,176,4,0,90.28
0,2,2,121,8,2,16,0,90.28
1,1,176,1,44,2,8,0,12.5
1,22,1,11,32,16,1,0,12.5
1,2,11,11,8,16,4,0,12.5
