Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
0,4,1,256,2,16,2,0,0.879032
0,16,8,16,4,4,2,0,0.750974
0,1,128,8,1,64,1,0,0.79794
1,32,2,1,64,1,16,0,0.046363
0,1,2048,1,1,16,2,0,0.67248
1,16,16,1,32,8,1,0,0.046982
1,2,1,256,1,128,1,0,0.046323
1,1,64,2,8,32,2,0,0.047377
1,32,2,8,16,8,1,0,0.046725
1,4,512,1,8,1,4,0,0.047599
1,1,16,128,8,2,2,0,0.047626
1,32,16,2,8,4,2,0,0.046249
1,4,16,4,8,32,1,0,0.046815
1,1,8,8,2,512,1,0,0.046975
1,32,4,1,16,16,2,0,0.047283
0,32,16,2,8,4,2,0,0.851392
0,1,128,2,1,32,8,0,0.830853
1,1,2,64,32,2,8,0,0.047497
1,32,8,4,32,1,2,0,0.046893
0,256,1,1,2,4,32,0,0.858877
1,4,16,4,1,128,2,0,0.04675
1,8,16,2,16,16,1,0,0.047269
0,16,4,4,2,8,16,0,0.878796
1,4,64,2,1,64,2,0,0.046199
1,128,2,1,1,32,8,0,0.241938
1,4,1,128,32,1,4,0,0.046757
1,1,16,32,8,4,4,0,0.046728
1,2,2,32,16,1,32,0,0.046114
0,4,64,2,1,64,2,0,0.872169
1,16,2,16,2,2,32,0,0.046358
1,2,256,2,4,16,1,0,0.046194
0,8,64,4,2,4,4,0,0.733805
0,2,2,32,16,1,32,0,0.925549
1,2,4,256,16,2,1,0,0.047294
1,1,1,128,1,512,1,0,0.047551
1,1,1024,2,2,16,1,0,0.047535
1,1,64,2,16,32,1,0,0.047452
1,4,2,64,64,2,1,0,0.046651
1,1,4,64,4,8,8,0,0.047748
1,16,1,32,4,1,32,0,0.046127
1,16,8,2,1,4,64,0,0.046774
1,4,64,4,1,16,4,0,0.045619
1,4,16,1,8,64,2,0,0.04768
1,8,4,8,1,8,32,0,0.046661
1,2,32,8,1,16,8,0,0.046992
1,128,1,4,1,32,4,0,0.045587
1,2,32,4,1,8,32,0,0.046015
1,8,16,4,8,8,2,0,0.045542
1,2,1,64,1,8,64,0,0.047037
1,8,32,4,1,4,16,0,0.046632
1,1,32,64,2,1,16,0,0.047594
1,2,1,1024,1,8,4,0,0.048028
1,2,1,64,8,16,4,0,0.046548
1,64,1,2,1,8,64,0,0.046828
1,4,2,8,2,32,16,0,0.046508
1,2,16,8,16,16,1,0,0.048093
1,16,8,4,32,4,1,0,0.047005
1,1,8,256,2,16,1,0,0.047826
1,2,4,16,8,1,64,0,0.046911
1,8,1,256,2,4,4,0,0.047825
1,1,64,2,2,256,1,0,0.047255
1,1,64,4,2,4,32,0,0.046656
1,4,16,4,4,1,64,0,0.046635
0,8,16,4,8,8,2,0,0.884889
1,4,64,8,2,1,16,0,0.047623
1,4,1,64,4,4,16,0,0.046669
1,4,1,128,8,2,8,0,0.045341
1,8,16,8,4,16,1,0,0.045871
1,8,16,2,64,1,4,0,0.046857
1,4,4,4,4,256,1,0,0.047966
1,2,256,1,1,2,64,0,0.081289
1,32,64,1,8,2,2,0,0.047938
1,2,32,32,16,2,1,0,0.0482
1,4,128,2,32,2,1,0,0.046298
1,4,2,128,2,8,4,0,0.046509
1,512,1,4,1,32,1,0,0.046935
1,32,2,32,4,4,2,0,0.046935
1,8,4,4,2,32,8,0,0.046556
1,4,16,1,16,1,64,0,0.047449
0,8,1,16,16,2,16,0,0.891161
1,1,16,32,32,4,1,0,0.046519
1,8,16,4,2,4,16,0,0.046308
1,4,32,16,8,2,2,0,0.047547
1,2,16,4,2,256,1,0,0.047697
1,16,8,16,2,4,4,0,0.047704
1,1,1024,2,2,8,2,0,0.047975
1,128,4,1,32,1,4,0,0.04664
1,4,4,4,2,256,2,0,0.047479
1,2,16,2,2,256,2,0,0.046674
1,2,32,4,32,2,4,0,0.047238
0,4,1,128,8,2,8,0,0.823746
1,32,8,1,1,8,32,0,0.461627
0,1,4,512,4,8,1,0,0.704895
1,1,16,4,4,64,4,0,0.04772
1,1,64,2,128,2,2,0,0.046927
1,4,64,2,8,4,4,0,0.046764
1,4,16,4,256,1,1,0,0.046765
1,64,1,1,8,2,64,0,0.046717
1,8,8,8,8,16,1,0,0.046448
1,32,4,8,8,8,1,0,0.046232
1,64,1,16,1,2,32,0,0.046215
1,16,4,4,4,1,64,0,0.047241
0,2,64,16,1,32,1,0,0.684976
0,2,1,512,8,1,8,0,0.819552
0,2,2,16,2,128,4,0,1.075929
0,4,4,32,4,4,8,0,0.902325
1,16,1,16,4,16,4,0,0.046938
1,2,2,16,8,2,64,0,0.046738
1,64,16,2,1,1,32,0,0.047187
1,1,8,16,2,32,8,0,0.046637
1,4,128,2,8,4,2,0,0.046444
1,64,16,1,4,16,1,0,0.045665
1,64,1,2,16,32,1,0,0.047044
1,16,8,4,16,8,1,0,0.0456
1,64,2,1,64,2,4,0,0.047057
1,16,16,1,64,1,4,0,0.046981
1,128,1,2,8,8,4,0,0.046882
1,1,128,8,4,8,2,0,0.046154
1,16,16,4,16,1,4,0,0.04687
1,8,8,1,8,4,32,0,0.047329
1,8,4,4,1,128,4,0,0.04776
0,16,4,8,8,2,8,0,0.883909
0,8,64,1,16,2,4,0,0.962558
1,256,2,2,4,16,1,0,0.046376
1,1,4,128,64,1,2,0,0.045922
