Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
1,1,88,4,4,8,11,0,0.159939
0,8,1,22,44,2,8,0,0.369892
1,11,11,1,16,8,8,0,0.01156
1,1,1,176,11,32,2,0,0.314827
0,11,88,4,2,4,4,0,0.60454
1,176,1,2,4,4,22,0,0.164154
1,11,2,16,16,2,11,0,0.160515
0,11,11,1,16,8,8,0,0.084074
1,22,4,2,8,11,8,0,0.314571
1,1,16,11,16,2,22,0,0.314801
1,8,1,22,8,22,4,0,0.314605
0,22,22,1,128,2,1,0,0.102504
1,2,88,1,11,1,64,0,0.314579
0,484,1,1,64,2,2,0,0.09529
0,4,484,1,8,1,8,0,0.204524
0,2,11,8,11,1,64,0,0.362956
1,4,1,44,11,32,2,0,0.314439
0,1,2,88,32,11,2,0,0.3686
1,88,4,1,11,32,1,0,0.163317
1,242,4,2,2,1,32,0,0.019945
1,4,88,1,44,8,1,0,0.166929
1,121,1,1,16,16,4,0,0.007934
1,44,4,1,176,4,1,0,0.314428
1,11,1,88,2,64,1,0,0.015144
1,11,8,4,44,4,2,0,0.16694
1,4,242,4,2,16,1,0,0.502141
1,16,1,242,1,16,2,0,0.501924
1,4,121,8,2,4,4,0,0.501588
1,4,2,44,352,1,1,0,0.163245
0,121,1,1,16,16,4,0,0.08798
1,2,121,16,1,1,32,0,0.501574
1,44,1,88,16,2,1,0,0.501796
0,1,8,22,4,176,1,0,0.363789
1,1,11,32,44,4,2,0,0.161662
1,4,44,1,11,4,16,0,0.314673
1,1,1,176,2,88,4,0,0.314691
1,11,16,2,88,1,4,0,0.160218
1,1,11,176,16,1,4,0,0.015794
1,1,176,1,8,4,22,0,0.314765
0,352,1,1,11,4,8,0,0.228532
1,8,11,2,22,16,2,0,0.314589
1,121,2,2,4,8,8,0,0.012427
1,8,121,2,2,32,1,0,0.017886
1,1,88,2,22,32,1,0,0.314924
1,121,8,4,4,8,1,0,0.501706
1,484,1,1,4,4,16,0,0.020198
1,8,22,1,2,352,1,0,0.314586
1,1,44,4,1,32,22,0,0.314457
1,1,22,11,8,64,1,0,0.016456
1,8,11,44,1,8,4,0,0.502186
1,1,176,11,1,2,32,0,0.018025
1,2,1,88,2,352,1,0,0.31474
1,4,22,22,4,8,2,0,0.018955
1,8,11,2,16,11,4,0,0.314528
0,2,4,44,1,16,22,0,0.230037
0,484,2,4,8,4,1,0,0.60904
1,1,16,242,1,4,8,0,0.501774
1,11,16,1,32,2,11,0,0.314784
1,8,11,11,2,2,32,0,0.015514
1,242,4,4,8,4,1,0,0.501953
1,11,32,11,32,1,1,0,0.502498
1,22,2,8,44,4,2,0,0.160165
1,22,4,44,1,16,2,0,0.501592
1,4,22,44,2,2,8,0,0.50185
1,1,1,176,32,22,1,0,0.314455
1,1,11,22,4,128,1,0,0.012964
1,1,44,11,2,32,4,0,0.011829
0,11,16,11,1,4,16,0,0.194428
