Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  4,  36,  24,  1,  8, 0,0.759564
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 48,  3,  1,  6,  2,  48, 0,0.82014
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 48,  3,  3,  3,  16,  4, 0,0.900732
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 54,  24,  2,  4,  8,  1, 0,0.487435
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 6,  24,  2,  48,  3,  2, 0,0.943282
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 54,  24,  2,  4,  8,  1, 0,0.389668
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 32,  3,  9,  6,  4,  4, 0,0.74664
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 1,  3,  36,  6,  4,  32, 0,0.747469
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 48,  3,  1,  6,  8,  12, 0,0.727263
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  36,  8,  8,  36,  1, 0,0.807597
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  144,  1,  8,  6,  12, 0,0.721278
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  27,  6,  4,  128,  1, 0,0.819887
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  27,  2,  24,  8,  1, 0,0.761159
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 12,  1,  8,  8,  27,  4, 0,0.727653
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 27,  8,  4,  3,  2,  16, 0,0.754142
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 9,  72,  2,  1,  1,  64, 0,0.712997
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 3,  288,  1,  2,  1,  48, 0,0.908384
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  48,  1,  48,  9,  2, 0,0.726277
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 72,  2,  2,  2,  4,  36, 0,0.802776
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  6,  6,  1,  64,  12, 0,0.684185
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 108,  4,  1,  1,  64,  3, 0,0.768943
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 1,  18,  48,  16,  2,  3, 0,0.899123
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 18,  12,  1,  24,  4,  4, 0,0.775041
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 216,  4,  1,  4,  4,  6, 0,0.737436
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 18,  4,  3,  12,  2,  16, 0,0.774995
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 12,  1,  8,  2,  72,  6, 0,0.735804
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 27,  2,  16,  2,  12,  4, 0,0.758005
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 9,  32,  9,  8,  1,  4, 0,0.38128
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 32,  3,  3,  3,  32,  3, 0,0.941752
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  9,  9,  8,  1,  32, 0,0.830544
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 36,  72,  1,  8,  1,  4, 0,0.387478
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  3,  96,  4,  72,  1, 0,0.825411
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  3,  72,  3,  32,  1, 0,0.747624
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 18,  1,  16,  8,  6,  6, 0,0.8051
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 9,  4,  8,  48,  2,  3, 0,0.79587
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  72,  12,  12,  4,  2, 0,0.749624
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 72,  1,  12,  2,  8,  6, 0,0.735685
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 108,  1,  4,  6,  32,  1, 0,0.762843
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 36,  4,  1,  48,  4,  3, 0,0.715336
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  1,  288,  1,  6,  16, 0,0.74577
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 324,  8,  1,  8,  1,  4, 0,0.381179
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 9,  32,  3,  4,  4,  6, 0,0.740356
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  6,  16,  2,  9,  48, 0,0.733383
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  4,  81,  16,  2,  8, 0,0.804771
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  9,  4,  2,  48,  6, 0,0.730384
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 32,  27,  1,  12,  8,  1, 0,0.730881
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 48,  6,  1,  16,  18,  1, 0,0.790981
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 32,  1,  9,  9,  32,  1, 0,0.800371
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 27,  1,  32,  2,  3,  16, 0,0.744643
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  324,  8,  1,  8,  4, 0,0.379778
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 12,  36,  1,  6,  4,  8, 0,0.759885
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  4,  8,  72,  1,  12, 0,0.73093
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  96,  1,  6,  24,  2, 0,0.811447
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 32,  1,  9,  9,  16,  2, 0,0.798124
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  9,  9,  32,  2,  8, 0,0.811107
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  1,  864,  3,  8,  4, 0,0.742972
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 81,  4,  2,  8,  8,  2, 0,0.782047
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  3,  9,  8,  32,  3, 0,0.682766
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 24,  4,  3,  2,  36,  4, 0,0.793837
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  6,  27,  4,  4,  32, 0,0.813902
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  9,  6,  16,  4,  6, 0,0.765288
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 16,  18,  1,  2,  12,  12, 0,0.815605
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 6,  3,  48,  1,  4,  24, 0,0.746444
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 12,  1,  24,  8,  2,  18, 0,0.801069
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 54,  6,  8,  2,  1,  16, 0,0.388838
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  48,  1,  9,  8,  8, 0,0.718239
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 1,  324,  8,  1,  8,  4, 0,0.488777
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  432,  3,  16,  2,  2, 0,0.72513
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  9,  12,  64,  4,  1, 0,0.806969
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 3,  48,  3,  1,  6,  32, 0,0.902491
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 1,  4,  216,  48,  1,  2, 0,0.919074
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 3,  24,  3,  2,  48,  4, 0,0.909207
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 9,  1,  32,  3,  32,  3, 0,0.936368
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 12,  3,  72,  4,  1,  8, 0,0.392193
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 216,  6,  1,  4,  4,  4, 0,0.69113
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 27,  12,  2,  1,  2,  64, 0,0.791116
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 16,  9,  3,  3,  8,  8, 0,0.903335
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 54,  16,  3,  16,  1,  2, 0,0.383883
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  27,  6,  4,  4,  8, 0,0.789981
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 18,  3,  2,  2,  64,  6, 0,0.69044
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  24,  3,  3,  128,  1, 0,0.787182
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  3,  16,  18,  6,  8, 0,0.729996
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  6,  8,  1,  48,  12, 0,0.724013
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  6,  24,  4,  9,  8, 0,0.81137
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 6,  36,  1,  128,  3,  1, 0,0.77275
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  1,  1296,  8,  4,  2, 0,0.727237
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  9,  24,  1,  3,  32, 0,0.741073
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  18,  8,  24,  3,  8, 0,0.727937
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  3,  864,  32,  1,  1, 0,0.383814
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  6,  6,  9,  16,  2, 0,0.793883
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 1, 2,  3,  72,  16,  12,  1, 0,0.897394
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 3,  108,  1,  16,  2,  8, 0,0.791989
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 144,  2,  3,  96,  1,  1, 0,0.743413
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
