Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
0,4,1,16,2,1,32,0,0.071332
1,2,2,8,4,16,2,0,0.071723
1,4,16,1,1,64,1,0,0.070854
0,1,4,4,16,16,1,0,0.124546
1,4,1,1,8,2,64,0,0.495549
1,32,1,1,16,2,4,0,0.071581
0,1,1,16,8,8,4,0,0.124553
1,128,1,1,32,1,1,0,0.070675
1,2,8,1,8,1,32,0,0.123655
1,1,16,8,4,8,1,0,0.070567
0,4,1,32,8,2,2,0,0.071249
0,8,4,1,1,128,1,0,0.071415
0,4,16,1,1,4,16,0,0.071325
0,1,128,1,2,1,16,0,0.071244
1,2,1,4,64,1,8,0,0.246848
0,1,16,2,2,4,16,0,0.071378
1,2,1,8,2,128,1,0,0.123795
0,16,2,4,1,1,32,0,0.071241
1,1,1,4,16,8,8,0,0.495771
1,4,1,8,8,16,1,0,0.071806
1,1,2,2,32,1,32,0,0.495726
1,32,2,2,2,8,2,0,0.070618
1,1,32,1,8,1,16,0,0.071776
1,1,2,4,2,256,1,0,0.247648
1,2,1,4,2,32,8,0,0.248321
1,1,8,2,2,32,4,0,0.123921
0,8,1,2,2,64,2,0,0.124554
0,4,8,2,8,1,8,0,0.071338
0,8,1,4,2,1,64,0,0.071399
1,2,4,16,1,2,16,0,0.070477
0,1,64,1,4,2,8,0,0.071333
0,4,8,2,4,8,2,0,0.071336
1,2,8,1,64,2,2,0,0.123966
1,1,4,2,64,1,8,0,0.247859
0,8,2,4,2,2,16,0,0.071363
0,1,2,2,32,2,16,0,0.492235
0,2,16,4,1,4,8,0,0.071243
1,8,1,1,1,512,1,0,0.248205
1,1,2,32,1,2,32,0,0.070833
1,16,1,2,8,16,1,0,0.071714
0,2,4,16,1,2,16,0,0.071302
1,2,8,4,1,32,2,0,0.070769
1,16,1,1,16,2,8,0,0.123891
1,32,4,1,8,2,2,0,0.070554
1,1,1,64,8,8,1,0,0.070901
1,2,2,1,16,2,32,0,0.496049
1,16,2,2,1,1,64,0,0.070807
1,8,1,1,8,8,8,0,0.24717
1,2,2,8,8,8,2,0,0.071757
1,2,16,1,1,128,1,0,0.071709
1,2,4,4,1,4,32,0,0.071529
1,1,16,8,1,1,32,0,0.070608
1,1,8,4,8,1,16,0,0.071763
1,1,64,2,32,1,1,0,0.070625
1,2,4,2,1,128,2,0,0.123826
1,4,8,4,4,1,8,0,0.070635
1,1,4,16,16,4,1,0,0.07093
1,4,1,4,8,1,32,0,0.123737
1,8,1,4,1,32,4,0,0.071873
1,1,8,2,8,32,1,0,0.123763
1,4,2,2,32,4,2,0,0.123986
0,1,32,1,2,16,4,0,0.071396
1,32,1,1,2,1,64,0,0.071876
1,1,1,32,8,4,4,0,0.071768
1,2,2,2,128,2,2,0,0.248007
1,1,32,1,1,8,16,0,0.071916
1,4,2,4,32,4,1,0,0.071907
1,2,1,4,64,8,1,0,0.247545
0,2,2,4,128,1,2,0,0.124554
1,1,16,4,64,1,1,0,0.070741
1,1,1,128,2,1,16,0,0.070703
1,2,2,8,8,4,4,0,0.071792
1,64,1,2,1,16,2,0,0.07078
1,1,4,4,8,32,1,0,0.123806
1,8,4,4,1,8,4,0,0.070641
1,1,64,1,1,64,1,0,0.070734
1,1,2,4,128,2,2,0,0.248116
1,8,4,1,2,16,4,0,0.071965
1,32,2,2,16,2,1,0,0.07058
1,4,8,2,4,4,4,0,0.070948
1,1,2,8,1,4,64,0,0.124057
1,1,4,16,2,32,1,0,0.070898
1,16,1,1,1,16,16,0,0.123862
1,128,1,1,16,2,1,0,0.070494
1,1,16,1,1,64,4,0,0.123778
1,1,1,32,1,64,2,0,0.071539
1,1,1,16,8,2,16,0,0.123793
1,2,1,16,8,1,16,0,0.071599
1,1,32,2,64,1,1,0,0.070756
1,16,2,2,1,4,16,0,0.070565
1,8,4,4,4,4,2,0,0.070756
1,1,2,2,128,4,2,0,0.495512
1,1,8,8,2,1,32,0,0.070862
