Kernel,gx,gy,gz,bx,by,bz,gpuId,shared_efficiency
1,2,16,5,64,5,2,0,0.0
1,100,16,1,16,4,1,0,0.0
1,8,2,50,64,2,1,0,0.0
1,1,1,640,10,4,4,0,0.0
0,8,1,40,16,2,10,0,0.0
1,2,20,8,5,64,1,0,0.0
0,2,40,2,20,16,2,0,0.0
1,5,16,4,1,32,10,0,0.0
1,1,1,200,128,4,1,0,0.0
0,2,16,5,64,5,2,0,0.0
1,2,160,1,4,40,2,0,0.0
1,4,2,20,80,1,8,0,0.0
1,2,40,4,8,1,40,0,0.0
0,5,16,4,5,4,16,0,0.0
1,2,100,4,64,1,2,0,0.0
1,20,20,1,2,4,32,0,0.0
1,4,25,1,128,8,1,0,0.0
1,10,1,320,1,2,16,0,0.0
1,40,10,1,128,2,1,0,0.0
1,1,5,20,1,512,2,0,0.0
1,4,50,1,16,16,2,0,0.0
1,2,20,5,16,16,2,0,0.0
1,8,5,80,2,1,16,0,0.0
1,8,8,2,1,50,16,0,0.0
1,80,2,4,4,4,10,0,0.0
1,16,8,1,200,1,4,0,0.0
0,1,50,2,8,32,4,0,0.0
1,20,4,2,32,4,5,0,0.0
1,2,8,8,40,20,1,0,0.0
1,1,16,10,8,5,16,0,0.0
1,5,1,80,4,1,64,0,0.0
1,1,800,1,4,8,4,0,0.0
1,4,4,25,2,16,8,0,0.0
0,2,25,16,16,8,1,0,0.0
1,1,40,16,1,5,32,0,0.0
1,50,2,8,4,2,16,0,0.0
1,10,4,4,80,2,4,0,0.0
1,2,1,160,80,4,1,0,0.0
1,8,5,16,8,2,10,0,0.0
1,5,128,1,1,40,4,0,0.0
1,1,5,32,2,160,2,0,0.0
0,16,2,4,50,8,2,0,0.0
1,8,8,5,8,2,20,0,0.0
1,5,32,5,32,1,4,0,0.0
1,4,10,16,20,2,4,0,0.0
1,10,1,10,8,32,4,0,0.0
1,4,20,8,8,10,2,0,0.0
1,8,2,10,8,40,2,0,0.0
1,10,16,1,5,64,2,0,0.0
1,4,80,1,4,5,16,0,0.0
1,4,20,20,1,16,4,0,0.0
1,5,1,40,2,8,32,0,0.0
1,1,64,10,4,20,2,0,0.0
1,5,20,16,1,2,32,0,0.0
1,1,128,5,1,32,5,0,0.0
1,160,2,2,20,2,4,0,0.0
1,4,20,8,40,4,1,0,0.0
1,2,40,4,4,80,1,0,0.0
0,1,8,25,2,16,16,0,0.0
1,4,4,20,1,80,4,0,0.0
1,160,1,1,4,5,32,0,0.0
1,8,20,2,2,32,5,0,0.0
1,80,8,1,5,2,16,0,0.0
1,40,8,10,4,2,4,0,0.0
0,32,5,5,2,2,32,0,0.0
0,10,5,2,128,4,2,0,0.0
1,64,5,2,1,20,8,0,0.0
1,20,1,8,64,2,5,0,0.0
0,40,4,2,5,2,32,0,0.0
1,50,1,2,32,4,8,0,0.0
1,64,2,1,10,8,10,0,0.0
1,10,10,16,4,1,16,0,0.0
1,1,16,20,1,20,16,0,0.0
1,5,20,4,32,2,4,0,0.0
0,40,16,5,4,8,1,0,0.0
1,8,25,1,4,128,1,0,0.0
1,4,100,1,1,32,8,0,0.0
1,20,1,160,2,1,16,0,0.0
1,2,5,16,1,160,4,0,0.0
1,20,4,20,1,1,64,0,0.0
1,1600,1,1,1,1,64,0,0.0
1,5,5,8,1,8,64,0,0.0
1,10,5,2,128,1,8,0,0.0
1,2,8,20,40,2,4,0,0.0
1,8,16,1,16,1,50,0,0.0
1,2,5,10,1,1024,1,0,0.0
1,160,5,1,1,2,64,0,0.0
1,4,1,80,80,4,1,0,0.0
0,32,1,25,16,4,2,0,0.0
1,100,4,4,16,1,4,0,0.0
1,25,8,2,8,4,8,0,0.0
1,64,1,2,1,200,4,0,0.0
1,160,2,10,4,1,8,0,0.0
1,4,4,50,1,16,8,0,0.0
