Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
1,64,8,2,1,2,32,0,2.36
0,64,2,1,2,32,8,0,39.82
1,32,2,4,8,16,2,0,4.23
1,2,64,16,2,2,8,0,2.08
0,128,1,1,4,16,8,0,40.09
1,8,64,1,4,8,4,0,2.28
0,128,1,2,1,8,32,0,37.18
1,16,16,2,32,4,1,0,2.48
1,4,32,1,2,32,8,0,3.86
1,1,64,4,32,2,4,0,3.06
1,1,256,8,8,2,2,0,2.03
1,4,8,32,8,4,2,0,2.74
1,16,1,128,32,1,1,0,2.06
1,32,32,1,2,8,4,0,2.67
1,4,2,256,2,1,16,0,2.19
0,64,2,4,8,1,16,0,35.22
0,16,8,4,16,2,4,0,33.74
1,1,16,8,32,16,1,0,3.91
1,2,32,2,4,32,4,0,3.95
1,512,1,2,1,32,2,0,2.58
0,1,256,8,8,2,2,0,38.34
1,2,8,8,2,128,2,0,4.0
1,32,2,4,2,4,32,0,3.54
1,4,256,1,1,8,8,0,8.64
0,4,1,128,8,8,2,0,35.53
1,1,32,4,256,2,1,0,3.78
1,2,128,4,8,1,8,0,2.48
1,1,4,128,8,16,1,0,2.45
1,64,1,1,1,64,16,0,4.28
1,64,1,16,2,16,2,0,2.71
1,2,2,512,2,16,1,0,2.09
1,32,4,16,16,1,2,0,2.14
1,8,4,8,4,64,1,0,4.3
1,8,2,32,2,16,4,0,2.83
1,2,16,8,1,64,4,0,3.93
1,64,2,16,1,32,1,0,2.17
1,32,16,4,8,1,4,0,2.24
0,1,4,16,64,4,4,0,43.83
0,4,1,64,2,2,64,0,36.23
1,32,4,1,8,8,8,0,3.49
1,1,64,2,16,1,32,0,2.91
0,1,512,2,8,1,8,0,37.07
1,1,16,8,8,64,1,0,3.65
1,32,8,2,32,1,4,0,2.26
1,4,256,2,1,4,8,0,2.13
1,1,2,1024,1,1,32,0,2.17
1,4,1,256,1,1,64,0,2.52
1,4,1,512,8,1,4,0,2.1
1,128,1,4,4,8,4,0,2.64
1,8,16,1,64,8,1,0,3.68
1,4,16,8,8,4,4,0,2.97
1,4,4,128,4,2,4,0,2.11
1,2,8,32,4,1,32,0,2.41
1,4,64,1,1,4,64,0,7.49
1,1,4,128,8,4,4,0,2.93
1,256,2,1,2,4,16,0,2.66
1,32,4,2,16,8,2,0,4.1
1,128,1,4,1,128,1,0,2.27
0,8,2,32,2,64,1,0,33.86
0,8,16,2,128,2,1,0,35.94
1,2,64,8,1,8,8,0,2.48
1,2,128,4,16,1,4,0,2.37
1,16,8,8,2,8,4,0,2.8
1,8,1,8,512,2,1,0,5.12
1,4,128,1,1,8,16,0,13.51
1,8,16,1,1,16,32,0,31.71
1,4,32,4,8,2,8,0,2.89
1,4,2,8,2,64,8,0,4.45
1,1,64,1,32,4,8,0,4.89
1,2,16,16,4,2,16,0,2.68
1,32,4,1,64,4,2,0,3.53
0,16,16,4,1,2,32,0,37.5
1,1,1,64,32,16,2,0,5.05
1,1,8,16,4,4,32,0,3.76
1,128,1,16,32,1,1,0,2.13
1,1,16,8,4,8,16,0,3.36
1,32,2,4,32,8,1,0,3.84
1,1,32,32,2,8,4,0,2.21
1,8,2,4,64,16,1,0,5.11
1,64,1,8,64,2,1,0,2.55
1,32,1,2,2,128,4,0,4.82
1,4,1,64,2,128,1,0,3.27
1,32,4,4,128,1,1,0,2.22
1,256,1,1,1,4,64,0,4.02
1,2,512,1,2,1,32,0,2.55
1,8,1,64,8,8,2,0,2.66
1,128,1,2,1,256,1,0,3.74
1,4,2,32,16,1,16,0,3.18
1,8,1,32,16,4,4,0,3.78
1,1,1,128,128,4,1,0,3.51
1,512,1,4,2,16,1,0,1.94
1,1,512,1,16,1,8,0,2.5
1,1,512,1,4,32,1,0,2.34
1,32,2,8,2,64,1,0,2.41
1,1024,1,1,1,16,4,0,2.76
1,2,8,16,8,2,16,0,3.31
1,128,8,1,64,1,1,0,2.88
1,256,1,2,2,8,8,0,2.27
1,4,16,4,1,32,8,0,4.12
1,4,128,1,32,4,1,0,2.71
1,2,16,2,1024,1,1,0,4.93
1,4,1,128,8,2,8,0,2.27
1,1,1,512,4,2,16,0,2.73
1,16,1,4,64,2,8,0,4.18
1,8,1,64,1,64,2,0,2.31
1,4,16,16,1,16,4,0,2.36
1,1,16,32,32,2,2,0,2.77
1,2,128,2,4,8,4,0,2.25
1,16,2,8,16,2,8,0,3.57
1,1,1024,1,2,32,1,0,2.77
1,2,16,4,2,4,64,0,3.8
1,4,8,4,2,128,2,0,3.56
1,8,16,1,32,16,1,0,4.07
1,8,8,8,2,16,4,0,2.23
1,8,8,32,16,1,2,0,2.05
1,16,16,4,2,8,4,0,2.58
0,256,4,1,1,2,32,0,37.67
1,1,2,256,16,8,1,0,2.33
0,512,1,4,2,16,1,0,38.46
1,16,1,32,4,32,1,0,2.4
1,1,2,64,8,16,4,0,3.44
1,256,1,8,16,2,1,0,2.16
1,4,64,2,8,4,4,0,2.86
1,64,8,1,2,64,1,0,2.26
1,64,8,4,32,1,1,0,2.08
1,1,1,64,16,1,64,0,5.12
1,8,128,1,8,1,8,0,2.34
1,4,4,4,2,256,2,0,4.39
1,1,4,64,32,8,1,0,3.56
1,128,2,1,128,1,2,0,4.51
0,4,128,1,128,1,1,0,35.6
1,4,1,512,1,32,1,0,2.21
1,1,128,8,8,1,8,0,2.9
1,32,16,1,1,8,16,0,13.55
1,32,4,1,32,16,1,0,3.48
1,1,64,1,128,1,8,0,5.67
1,2,1,64,16,1,32,0,5.19
1,16,1,32,4,2,16,0,2.59
1,1,64,4,4,32,2,0,3.43
