Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
1,1,5,40,2,256,1,0,10.67
0,1,800,4,2,2,8,0,30.57
0,4,1,160,2,16,5,0,31.14
0,1,20,8,160,4,1,0,33.04
0,1,32,5,2,10,32,0,31.54
1,5,8,80,2,2,8,0,4.26
1,10,10,16,8,2,4,0,6.53
1,1,40,16,40,1,4,0,3.8
1,40,1,20,4,32,1,0,7.2
1,4,32,5,5,8,4,0,4.54
1,5,2,32,40,8,1,0,5.13
1,2,2,40,80,2,4,0,6.02
1,32,5,1,20,2,16,0,6.21
1,4,8,5,40,16,1,0,6.64
1,100,1,32,2,8,2,0,3.93
1,1,40,8,160,2,1,0,4.39
1,32,5,5,8,4,4,0,5.18
0,8,16,1,4,40,5,0,32.97
1,4,8,20,4,10,4,0,3.79
0,100,1,16,4,8,2,0,32.64
1,4,80,1,16,5,4,0,5.24
1,32,2,2,8,10,10,0,6.36
1,5,8,5,128,4,1,0,11.66
1,5,4,16,20,16,1,0,5.44
1,8,4,5,5,64,2,0,7.05
1,4,2,80,4,5,8,0,5.09
1,5,10,8,1,64,4,0,9.58
1,4,16,25,4,8,2,0,4.94
0,4,8,20,4,10,4,0,29.9
1,10,20,16,2,8,2,0,3.96
1,2,10,20,4,16,4,0,6.78
1,1,128,1,200,1,4,0,6.37
1,5,4,80,4,1,16,0,5.25
1,16,1,10,80,4,2,0,6.58
1,2,2,32,4,25,8,0,6.37
1,5,10,8,16,8,2,0,8.19
1,1,4,40,80,8,1,0,8.14
1,50,8,1,8,16,2,0,8.08
0,1,1,400,32,8,1,0,32.13
1,5,8,4,10,4,16,0,7.99
1,25,2,32,4,16,1,0,5.5
1,10,1,32,1,10,32,0,6.3
1,8,5,10,4,8,8,0,10.37
1,25,2,2,4,4,64,0,8.97
1,2,16,4,10,10,8,0,6.39
1,16,5,8,40,2,2,0,4.58
1,1,4,200,32,1,4,0,7.18
1,2,320,5,8,1,4,0,2.84
1,8,2,20,16,1,20,0,5.12
0,2,320,5,8,1,4,0,30.7
1,50,2,32,16,2,1,0,3.62
1,8,1,400,8,2,2,0,3.77
1,320,1,2,16,1,10,0,4.38
1,1,16,8,8,4,25,0,6.39
1,1,40,40,4,2,8,0,5.39
1,1,2,160,4,8,10,0,4.69
1,40,20,1,32,1,4,0,6.88
1,2,160,1,8,8,5,0,6.22
1,25,4,2,16,16,2,0,12.87
1,80,20,2,8,2,2,0,3.11
1,10,40,4,8,4,2,0,5.63
1,1,320,5,32,1,2,0,6.01
1,25,4,8,2,1,64,0,7.34
1,32,1,5,1,10,64,0,6.59
0,1,1,160,1,20,32,0,31.54
1,1,4,400,1,8,8,0,8.06
1,4,8,4,8,10,10,0,6.05
1,8,2,10,1,128,5,0,7.26
1,2,1,320,1,80,2,0,4.05
1,10,10,2,1,16,32,0,11.88
1,20,2,4,32,5,4,0,6.27
1,8,5,16,5,8,4,0,3.42
1,5,32,1,5,32,4,0,5.72
1,4,1,32,1,100,8,0,6.19
1,1,25,32,8,8,2,0,8.0
1,16,10,1,32,1,20,0,5.95
1,10,16,1,1,640,1,0,7.67
1,5,16,10,8,8,2,0,9.76
