Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  8,  11,  8,  11,  8, 1,80.83 
 1, 16,  1,  22,  44,  2,  4, 0,92.03 
 0, 2,  88,  22,  1,  1,  32, 1,80.28 
 0, 11,  176,  1,  8,  8,  1, 1,80.68 
 0, 1,  352,  1,  11,  16,  2, 1,80.26 
 0, 44,  1,  4,  44,  1,  16, 1,79.53 
 0, 1,  2,  121,  32,  1,  16, 1,79.98 
 0, 2,  4,  44,  11,  32,  1, 1,80.32 
 0, 1,  44,  8,  4,  88,  1, 1,80.78 
 0, 1,  4,  242,  32,  2,  2, 1,80.2 
 0, 4,  1,  242,  16,  1,  8, 1,79.45 
 0, 4,  121,  1,  16,  8,  2, 1,79.32 
 0, 1,  2,  242,  2,  128,  1, 1,78.13 
 0, 11,  11,  4,  8,  1,  32, 1,79.38 
 0, 4,  968,  1,  2,  4,  4, 1,81.0 
 0, 4,  44,  1,  11,  2,  32, 1,80.95 
 0, 2,  1,  88,  4,  8,  22, 1,79.37 
 0, 22,  1,  22,  4,  64,  1, 1,79.04 
 1, 484,  1,  1,  1,  128,  2, 1,99.55 
 0, 44,  1,  11,  32,  8,  1, 1,79.68 
 1, 8,  484,  1,  16,  1,  2, 1,99.71 
 1, 1,  2,  242,  2,  128,  1, 1,99.62 
 0, 22,  8,  2,  22,  16,  1, 1,80.86 
 0, 121,  1,  4,  32,  1,  8, 1,79.71 
 0, 1,  44,  4,  2,  44,  8, 1,81.52 
 0, 11,  16,  1,  16,  2,  22, 1,80.85 
 0, 44,  88,  1,  2,  8,  2, 1,82.39 
 0, 8,  1,  22,  1,  11,  64, 1,80.18 
 0, 121,  8,  2,  64,  1,  1, 1,80.95 
 0, 1,  1,  352,  2,  16,  11, 1,80.22 
 0, 4,  11,  44,  4,  4,  4, 1,80.23 
 0, 22,  8,  2,  176,  1,  2, 1,80.85 
 0, 88,  11,  2,  4,  1,  16, 1,80.17 
 0, 1,  176,  2,  1,  88,  4, 1,80.9 
 1, 44,  11,  1,  8,  2,  16, 0,97.77 
 0, 4,  22,  4,  1,  44,  8, 0,73.68 
 1, 1,  22,  88,  4,  16,  1, 0,98.22 
 0, 16,  1,  11,  176,  4,  1, 0,71.46 
 1, 8,  1,  22,  44,  2,  8, 1,97.87 
 1, 4,  22,  44,  4,  4,  2, 0,98.92 
 0, 1,  88,  44,  2,  4,  4, 0,74.64 
 0, 1,  484,  4,  4,  16,  1, 0,72.54 
 0, 242,  2,  8,  16,  1,  2, 0,75.57 
 0, 22,  4,  4,  16,  2,  11, 0,74.25 
 0, 1936,  1,  2,  1,  2,  16, 0,74.69 
 0, 8,  1,  484,  2,  8,  2, 0,74.01 
 0, 22,  8,  1,  4,  88,  2, 0,71.47 
 0, 2,  11,  16,  1,  16,  22, 0,73.03 
 1, 44,  8,  11,  16,  1,  2, 0,98.7 
 1, 176,  1,  1,  2,  352,  1, 0,97.65 
 1, 22,  11,  2,  32,  8,  1, 1,99.6 
 0, 44,  11,  2,  8,  1,  16, 0,73.37 
 0, 968,  1,  4,  2,  1,  16, 0,74.75 
 1, 44,  2,  4,  44,  2,  4, 0,92.36 
 1, 88,  1,  2,  8,  11,  8, 0,97.75 
 1, 1,  8,  121,  2,  64,  1, 0,98.34 
 1, 44,  22,  2,  4,  1,  16, 0,98.53 
 0, 11,  16,  1,  4,  11,  16, 0,71.59 
 0, 11,  8,  2,  8,  2,  44, 0,71.36 
 0, 8,  11,  11,  32,  1,  4, 0,72.83 
 1, 2,  968,  1,  2,  1,  32, 0,98.48 
 0, 4,  2,  121,  8,  8,  2, 0,74.02 
 0, 1,  11,  32,  4,  44,  2, 0,74.33 
 0, 1,  176,  22,  8,  2,  2, 0,75.51 
 1, 16,  1,  22,  1,  32,  11, 0,92.43 
 0, 1,  11,  44,  8,  4,  8, 0,73.0 
 0, 4,  121,  4,  4,  16,  1, 0,73.21 
 0, 1,  44,  4,  22,  8,  4, 0,72.92 
 1, 4,  88,  1,  4,  2,  44, 0,92.69 
 0, 2,  121,  4,  16,  4,  2, 0,72.43 
 1, 4,  484,  1,  2,  4,  8, 0,98.35 
 0, 22,  1,  8,  11,  16,  4, 0,72.03 
 1, 22,  11,  1,  32,  1,  16, 0,98.0 
 0, 22,  8,  1,  32,  22,  1, 0,71.62 
 0, 2,  22,  4,  22,  8,  4, 0,71.5 
 0, 1,  176,  2,  22,  1,  16, 0,73.44 
 0, 121,  4,  1,  1,  128,  2, 0,72.16 
 1, 16,  1,  22,  11,  8,  4, 0,92.18 
 1, 121,  2,  1,  32,  16,  1, 0,97.26 
 1, 2,  11,  8,  1,  44,  16, 0,97.67 
 0, 88,  2,  2,  8,  2,  22, 0,73.71 
 0, 242,  4,  4,  4,  2,  4, 0,75.26 
 0, 1,  44,  4,  8,  11,  8, 0,72.23 
 0, 44,  1,  22,  1,  64,  2, 1,78.32 
 1, 1,  11,  32,  22,  8,  2, 0,92.22 
 1, 22,  1,  8,  1,  16,  44, 1,97.86 
 1, 8,  1,  242,  8,  2,  4, 0,98.21 
 0, 22,  44,  4,  2,  16,  1, 0,75.06 
 1, 11,  8,  2,  8,  2,  44, 0,97.85 
 0, 2,  1,  121,  256,  2,  1, 0,72.48 
 1, 1,  32,  11,  88,  1,  4, 0,92.29 
 0, 1,  1,  242,  4,  8,  16, 0,71.82 
 0, 2,  1,  176,  352,  1,  1, 0,74.97 
 1, 44,  1,  8,  176,  2,  1, 0,92.3 
 0, 1,  4,  968,  1,  8,  4, 0,75.65 
 0, 88,  1,  11,  16,  8,  1, 0,74.33 
 0, 1,  44,  11,  4,  2,  32, 0,73.64 
 1, 1,  176,  1,  2,  352,  1, 0,97.76 
 1, 121,  4,  4,  4,  8,  2, 0,98.55 
 0, 1,  1,  176,  44,  4,  4, 0,73.69 
 0, 11,  22,  1,  8,  64,  1, 1,79.02 
 0, 4,  88,  1,  8,  2,  22, 0,72.81 
 1, 4,  968,  1,  2,  1,  16, 0,98.97 
 1, 4,  11,  22,  64,  2,  1, 0,98.28 
 1, 1,  32,  11,  2,  176,  1, 0,92.19 
 0, 22,  16,  11,  2,  1,  16, 0,75.91 
 0, 44,  4,  2,  2,  16,  11, 0,74.03 
 0, 16,  242,  1,  16,  2,  1, 0,74.41 
 0, 2,  44,  2,  1,  22,  32, 0,71.83 
 0, 11,  8,  2,  8,  2,  44, 1,80.89 
 0, 4,  484,  2,  8,  2,  2, 0,75.0 
 0, 8,  22,  2,  2,  8,  22, 0,73.66 
 0, 88,  11,  2,  4,  8,  2, 0,71.79 
 0, 1,  484,  1,  32,  4,  2, 0,73.56 
 0, 2,  4,  44,  1,  32,  11, 0,74.65 
 1, 4,  2,  22,  64,  11,  1, 0,97.84 
 0, 2,  1,  1936,  1,  16,  2, 1,80.6 
 1, 1,  2,  968,  8,  4,  2, 1,99.89 
 1, 8,  4,  11,  1,  32,  11, 0,92.18 
 0, 44,  22,  2,  1,  4,  16, 0,72.63 
 0, 1,  484,  2,  32,  1,  4, 0,73.86 
 0, 11,  22,  4,  16,  8,  1, 0,74.33 
 1, 11,  16,  2,  44,  1,  8, 0,92.07 
 0, 2,  4,  121,  8,  8,  2, 0,74.11 
 1, 121,  2,  2,  16,  1,  16, 0,98.28 
 0, 484,  1,  1,  4,  4,  16, 0,73.98 
