Kernel,gx,gy,gz,bx,by,bz,gpuId,efficiency-warp-execution 
 0, 1,  2,  8,  8,  2,  36, 0,100.0 
 0, 1,  9,  2,  128,  1,  4, 1,100.0 
 1, 1,  2,  8,  8,  2,  36, 0,100.0 
 0, 1,  24,  1,  32,  1,  12, 0,100.0 
 0, 1,  4,  12,  1,  192,  1, 0,100.0 
 0, 3,  4,  1,  6,  2,  64, 0,100.0 
 0, 4,  4,  1,  3,  32,  6, 0,100.0 
 0, 4,  1,  9,  4,  8,  8, 0,100.0 
 1, 12,  1,  2,  8,  2,  24, 0,100.0 
 1, 2,  4,  4,  18,  1,  16, 1,100.0 
 0, 3,  8,  2,  64,  1,  3, 0,100.0 
 0, 18,  1,  1,  16,  2,  16, 0,100.0 
 0, 1,  2,  6,  24,  1,  32, 0,100.0 
 1, 1,  2,  24,  4,  6,  8, 0,100.0 
 1, 6,  6,  4,  1,  1,  64, 0,100.0 
 0, 6,  8,  1,  96,  1,  2, 1,100.0 
 0, 6,  6,  2,  16,  2,  4, 0,100.0 
 0, 3,  4,  8,  12,  8,  1, 0,100.0 
 0, 2,  6,  1,  12,  4,  16, 0,100.0 
 0, 2,  2,  6,  12,  1,  32, 0,100.0 
 0, 8,  1,  2,  8,  3,  24, 0,100.0 
 0, 1,  2,  8,  8,  2,  36, 1,100.0 
 0, 1,  4,  6,  64,  2,  3, 1,100.0 
 0, 24,  2,  6,  4,  4,  2, 0,100.0 
 0, 4,  12,  3,  16,  1,  4, 0,100.0 
 1, 4,  1,  4,  288,  2,  1, 1,100.0 
 0, 3,  16,  3,  2,  8,  4, 0,100.0 
 1, 1,  2,  8,  18,  1,  32, 1,100.0 
 0, 3,  3,  1,  64,  16,  1, 1,100.0 
 0, 6,  1,  3,  16,  8,  4, 1,100.0 
 0, 3,  16,  2,  4,  12,  2, 0,100.0 
 0, 1,  1,  36,  2,  2,  64, 0,100.0 
 0, 1,  1,  16,  4,  48,  3, 0,100.0 
 1, 3,  2,  2,  128,  2,  3, 1,100.0 
 0, 6,  3,  4,  8,  2,  8, 0,100.0 
 0, 2,  2,  4,  4,  72,  2, 0,100.0 
 0, 8,  3,  3,  4,  1,  32, 1,100.0 
 1, 2,  8,  1,  2,  96,  3, 0,100.0 
 0, 8,  2,  3,  64,  1,  3, 0,100.0 
 1, 2,  3,  16,  8,  1,  12, 1,100.0 
 0, 8,  3,  2,  64,  1,  3, 0,100.0 
 0, 8,  3,  2,  1,  8,  24, 0,100.0 
 1, 1,  3,  32,  4,  24,  1, 1,100.0 
 0, 6,  16,  3,  4,  2,  4, 0,100.0 
 1, 1,  9,  2,  128,  1,  4, 1,100.0 
 0, 1,  16,  9,  1,  64,  1, 1,100.0 
