'gx:1, gy:1, gz:207, bx:32, by:1, bz:1, ' 
'gx:1, gy:3, gz:69, bx:32, by:1, bz:1, ' 
'gx:1, gy:9, gz:23, bx:32, by:1, bz:1, ' 
'gx:1, gy:23, gz:9, bx:32, by:1, bz:1, ' 
'gx:1, gy:69, gz:3, bx:32, by:1, bz:1, ' 
'gx:1, gy:207, gz:1, bx:32, by:1, bz:1, ' 
'gx:3, gy:1, gz:69, bx:32, by:1, bz:1, ' 
'gx:3, gy:3, gz:23, bx:32, by:1, bz:1, ' 
'gx:3, gy:23, gz:3, bx:32, by:1, bz:1, ' 
'gx:3, gy:69, gz:1, bx:32, by:1, bz:1, ' 
'gx:9, gy:1, gz:23, bx:32, by:1, bz:1, ' 
'gx:9, gy:23, gz:1, bx:32, by:1, bz:1, ' 
'gx:23, gy:1, gz:9, bx:32, by:1, bz:1, ' 
'gx:23, gy:3, gz:3, bx:32, by:1, bz:1, ' 
'gx:23, gy:9, gz:1, bx:32, by:1, bz:1, ' 
'gx:69, gy:1, gz:3, bx:32, by:1, bz:1, ' 
'gx:69, gy:3, gz:1, bx:32, by:1, bz:1, ' 
'gx:207, gy:1, gz:1, bx:32, by:1, bz:1, ' 
'gx:1, gy:1, gz:69, bx:96, by:1, bz:1, ' 
'gx:1, gy:3, gz:23, bx:96, by:1, bz:1, ' 
'gx:1, gy:23, gz:3, bx:96, by:1, bz:1, ' 
'gx:1, gy:69, gz:1, bx:96, by:1, bz:1, ' 
'gx:3, gy:1, gz:23, bx:96, by:1, bz:1, ' 
'gx:3, gy:23, gz:1, bx:96, by:1, bz:1, ' 
'gx:23, gy:1, gz:3, bx:96, by:1, bz:1, ' 
'gx:23, gy:3, gz:1, bx:96, by:1, bz:1, ' 
'gx:69, gy:1, gz:1, bx:96, by:1, bz:1, ' 
'gx:1, gy:1, gz:23, bx:288, by:1, bz:1, ' 
'gx:1, gy:23, gz:1, bx:288, by:1, bz:1, ' 
'gx:23, gy:1, gz:1, bx:288, by:1, bz:1, ' 
'gx:1, gy:1, gz:9, bx:736, by:1, bz:1, ' 
'gx:1, gy:3, gz:3, bx:736, by:1, bz:1, ' 
'gx:1, gy:9, gz:1, bx:736, by:1, bz:1, ' 
'gx:3, gy:1, gz:3, bx:736, by:1, bz:1, ' 
'gx:3, gy:3, gz:1, bx:736, by:1, bz:1, ' 
'gx:9, gy:1, gz:1, bx:736, by:1, bz:1, ' 
'gx:1, gy:1, gz:207, bx:16, by:2, bz:1, ' 
'gx:1, gy:3, gz:69, bx:16, by:2, bz:1, ' 
'gx:1, gy:9, gz:23, bx:16, by:2, bz:1, ' 
'gx:1, gy:23, gz:9, bx:16, by:2, bz:1, ' 
'gx:1, gy:69, gz:3, bx:16, by:2, bz:1, ' 
'gx:1, gy:207, gz:1, bx:16, by:2, bz:1, ' 
'gx:3, gy:1, gz:69, bx:16, by:2, bz:1, ' 
'gx:3, gy:3, gz:23, bx:16, by:2, bz:1, ' 
'gx:3, gy:23, gz:3, bx:16, by:2, bz:1, ' 
'gx:3, gy:69, gz:1, bx:16, by:2, bz:1, ' 
'gx:9, gy:1, gz:23, bx:16, by:2, bz:1, ' 
'gx:9, gy:23, gz:1, bx:16, by:2, bz:1, ' 
'gx:23, gy:1, gz:9, bx:16, by:2, bz:1, ' 
'gx:23, gy:3, gz:3, bx:16, by:2, bz:1, ' 
'gx:23, gy:9, gz:1, bx:16, by:2, bz:1, ' 
'gx:69, gy:1, gz:3, bx:16, by:2, bz:1, ' 
'gx:69, gy:3, gz:1, bx:16, by:2, bz:1, ' 
'gx:207, gy:1, gz:1, bx:16, by:2, bz:1, ' 
'gx:1, gy:1, gz:69, bx:48, by:2, bz:1, ' 
'gx:1, gy:3, gz:23, bx:48, by:2, bz:1, ' 
'gx:1, gy:23, gz:3, bx:48, by:2, bz:1, ' 
'gx:1, gy:69, gz:1, bx:48, by:2, bz:1, ' 
'gx:3, gy:1, gz:23, bx:48, by:2, bz:1, ' 
'gx:3, gy:23, gz:1, bx:48, by:2, bz:1, ' 
'gx:23, gy:1, gz:3, bx:48, by:2, bz:1, ' 
'gx:23, gy:3, gz:1, bx:48, by:2, bz:1, ' 
'gx:69, gy:1, gz:1, bx:48, by:2, bz:1, ' 
'gx:1, gy:1, gz:23, bx:144, by:2, bz:1, ' 
'gx:1, gy:23, gz:1, bx:144, by:2, bz:1, ' 
'gx:23, gy:1, gz:1, bx:144, by:2, bz:1, ' 
'gx:1, gy:1, gz:9, bx:368, by:2, bz:1, ' 
'gx:1, gy:3, gz:3, bx:368, by:2, bz:1, ' 
'gx:1, gy:9, gz:1, bx:368, by:2, bz:1, ' 
'gx:3, gy:1, gz:3, bx:368, by:2, bz:1, ' 
'gx:3, gy:3, gz:1, bx:368, by:2, bz:1, ' 
'gx:9, gy:1, gz:1, bx:368, by:2, bz:1, ' 
'gx:1, gy:1, gz:69, bx:32, by:3, bz:1, ' 
'gx:1, gy:3, gz:23, bx:32, by:3, bz:1, ' 
'gx:1, gy:23, gz:3, bx:32, by:3, bz:1, ' 
'gx:1, gy:69, gz:1, bx:32, by:3, bz:1, ' 
'gx:3, gy:1, gz:23, bx:32, by:3, bz:1, ' 
'gx:3, gy:23, gz:1, bx:32, by:3, bz:1, ' 
'gx:23, gy:1, gz:3, bx:32, by:3, bz:1, ' 
'gx:23, gy:3, gz:1, bx:32, by:3, bz:1, ' 
'gx:69, gy:1, gz:1, bx:32, by:3, bz:1, ' 
'gx:1, gy:1, gz:23, bx:96, by:3, bz:1, ' 
'gx:1, gy:23, gz:1, bx:96, by:3, bz:1, ' 
'gx:23, gy:1, gz:1, bx:96, by:3, bz:1, ' 
'gx:1, gy:1, gz:207, bx:8, by:4, bz:1, ' 
'gx:1, gy:3, gz:69, bx:8, by:4, bz:1, ' 
'gx:1, gy:9, gz:23, bx:8, by:4, bz:1, ' 
'gx:1, gy:23, gz:9, bx:8, by:4, bz:1, ' 
'gx:1, gy:69, gz:3, bx:8, by:4, bz:1, ' 
'gx:1, gy:207, gz:1, bx:8, by:4, bz:1, ' 
'gx:3, gy:1, gz:69, bx:8, by:4, bz:1, ' 
'gx:3, gy:3, gz:23, bx:8, by:4, bz:1, ' 
'gx:3, gy:23, gz:3, bx:8, by:4, bz:1, ' 
'gx:3, gy:69, gz:1, bx:8, by:4, bz:1, ' 
'gx:9, gy:1, gz:23, bx:8, by:4, bz:1, ' 
'gx:9, gy:23, gz:1, bx:8, by:4, bz:1, ' 
'gx:23, gy:1, gz:9, bx:8, by:4, bz:1, ' 
'gx:23, gy:3, gz:3, bx:8, by:4, bz:1, ' 
'gx:23, gy:9, gz:1, bx:8, by:4, bz:1, ' 
'gx:69, gy:1, gz:3, bx:8, by:4, bz:1, ' 
'gx:69, gy:3, gz:1, bx:8, by:4, bz:1, ' 
'gx:207, gy:1, gz:1, bx:8, by:4, bz:1, ' 
'gx:1, gy:1, gz:69, bx:24, by:4, bz:1, ' 
'gx:1, gy:3, gz:23, bx:24, by:4, bz:1, ' 
'gx:1, gy:23, gz:3, bx:24, by:4, bz:1, ' 
'gx:1, gy:69, gz:1, bx:24, by:4, bz:1, ' 
'gx:3, gy:1, gz:23, bx:24, by:4, bz:1, ' 
'gx:3, gy:23, gz:1, bx:24, by:4, bz:1, ' 
'gx:23, gy:1, gz:3, bx:24, by:4, bz:1, ' 
'gx:23, gy:3, gz:1, bx:24, by:4, bz:1, ' 
'gx:69, gy:1, gz:1, bx:24, by:4, bz:1, ' 
'gx:1, gy:1, gz:23, bx:72, by:4, bz:1, ' 
'gx:1, gy:23, gz:1, bx:72, by:4, bz:1, ' 
'gx:23, gy:1, gz:1, bx:72, by:4, bz:1, ' 
'gx:1, gy:1, gz:9, bx:184, by:4, bz:1, ' 
'gx:1, gy:3, gz:3, bx:184, by:4, bz:1, ' 
'gx:1, gy:9, gz:1, bx:184, by:4, bz:1, ' 
'gx:3, gy:1, gz:3, bx:184, by:4, bz:1, ' 
'gx:3, gy:3, gz:1, bx:184, by:4, bz:1, ' 
'gx:9, gy:1, gz:1, bx:184, by:4, bz:1, ' 
'gx:1, gy:1, gz:69, bx:16, by:6, bz:1, ' 
'gx:1, gy:3, gz:23, bx:16, by:6, bz:1, ' 
'gx:1, gy:23, gz:3, bx:16, by:6, bz:1, ' 
